SYMBOL	ENTREZID	BD_NR.Veh.R1	BD_NR.Veh.R2	Tissue (HPA)	Cell type (HPA)	Level (HPA)	Reliability (HPA)
A1BG	1	35.8357	26.919	NA	NA	NA	NA
A1BG-AS1	503538	4.05246	5.65032	NA	NA	NA	NA
A2M	2	2.46203	3.76151	NA	NA	NA	NA
A2M-AS1	144571	0.338741	0.327101	NA	NA	NA	NA
A4GALT	53947	1.32561	1.34156	NA	NA	NA	NA
AAAS	8086	36.7505	42.7341	cerebral-cortex	glial-cells	Low	Approved
AACS	65985	7.54847	7.65647	NA	NA	NA	NA
AADAT	51166	10.5272	11.6897	NA	NA	NA	NA
AAGAB	79719	32.7119	35.8269	cerebral-cortex	glial-cells	Medium	Supported
AAK1	22848	10.9902	5.80842	NA	NA	NA	NA
AAMDC	28971	48.3753	30.1802	NA	NA	NA	NA
AAMP	14	67.594	48.7084	cerebral-cortex	glial-cells	Medium	Approved
AAR2	25980	21.6689	19.9138	NA	NA	NA	NA
AARD	441376	0.146658	0.13182	NA	NA	NA	NA
AARS2	57505	4.72172	8.68209	cerebral-cortex	glial-cells	Low	Approved
AARSD1	80755	57.7287	37.8484	cerebral-cortex	glial-cells	Low	Supported
AASDH	132949	5.05707	4.75693	cerebral-cortex	glial-cells	Low	Approved
AASDHPPT	60496	39.0622	38.2446	cerebral-cortex	glial-cells	Medium	Approved
AASS	10157	11.0439	14.5152	cerebral-cortex	glial-cells	Low	Enhanced
AATF	26574	23.372	21.9934	NA	NA	NA	NA
AATK	9625	1.96906	0.970266	cerebral-cortex	glial-cells	Medium	Enhanced
ABAT	18	20.0954	11.8994	cerebral-cortex	glial-cells	Medium	Enhanced
ABCA1	19	0.732986	2.40719	cerebral-cortex	glial-cells	Low	Approved
ABCA10	10349	4.63041	2.07508	NA	NA	NA	NA
ABCA13	154664	0.089673	0.0998292	NA	NA	NA	NA
ABCA17P	650655	0.105769	0.253861	NA	NA	NA	NA
ABCA2	20	10.3009	8.11824	cerebral-cortex	glial-cells	Medium	Approved
ABCA3	21	2.88612	3.21966	NA	NA	NA	NA
ABCA4	24	0.179554	0.497407	NA	NA	NA	NA
ABCA5	23461	1.54661	1.53748	cerebral-cortex	glial-cells	Low	Approved
ABCA6	23460	0.337501	0.529046	NA	NA	NA	NA
ABCA7	10347	6.43049	4.54321	NA	NA	NA	NA
ABCA8	10351	1.44009	1.30086	NA	NA	NA	NA
ABCA9	10350	5.728	4.46785	NA	NA	NA	NA
ABCB1	5243	0.0659621	0.652651	NA	NA	NA	NA
ABCB10	23456	11.3925	10.3156	NA	NA	NA	NA
ABCB4	5244	0.48884	0.915357	NA	NA	NA	NA
ABCB6	10058	15.1443	27.0012	NA	NA	NA	NA
ABCB7	22	11.5585	12.4628	NA	NA	NA	NA
ABCB8	11194	13.6827	21.4076	cerebral-cortex	glial-cells	Low	Approved
ABCB9	23457	7.40248	5.06337	cerebral-cortex	glial-cells	Medium	Approved
ABCC1	4363	4.53844	10.0531	NA	NA	NA	NA
ABCC10	89845	5.61305	6.49924	cerebral-cortex	glial-cells	Low	Approved
ABCC11	85320	0.113547	0.0265902	cerebral-cortex	glial-cells	Low	Approved
ABCC2	1244	0.129731	0.32051	NA	NA	NA	NA
ABCC3	8714	0.132368	0.338452	NA	NA	NA	NA
ABCC4	10257	0.774775	2.59999	NA	NA	NA	NA
ABCC5	10057	15.9834	20.0743	NA	NA	NA	NA
ABCC6	368	1.51923	1.21731	NA	NA	NA	NA
ABCC6P1	653190	0.595116	0.622564	NA	NA	NA	NA
ABCC6P2	730013	0.622642	0.326514	NA	NA	NA	NA
ABCC8	6833	0.624297	0.0226234	NA	NA	NA	NA
ABCC9	10060	7.94308	2.56954	NA	NA	NA	NA
ABCD1	215	2.01927	0.0881151	NA	NA	NA	NA
ABCD2	225	0.0457885	0.121441	NA	NA	NA	NA
ABCD3	5825	21.1353	22.7535	cerebral-cortex	glial-cells	High	Enhanced
ABCD4	5826	44.0935	39.3112	NA	NA	NA	NA
ABCE1	6059	36.9675	40.8572	cerebral-cortex	glial-cells	Medium	Approved
ABCF2	10061	21.2588	30.2614	cerebral-cortex	glial-cells	Low	Approved
ABCF3	55324	26.2909	26.4179	cerebral-cortex	glial-cells	High	Approved
ABCG1	9619	4.71196	2.14221	NA	NA	NA	NA
ABCG4	64137	0.316528	0.727293	NA	NA	NA	NA
ABHD1	84696	1.01675	0.17884	NA	NA	NA	NA
ABHD10	55347	18.1914	20.2301	cerebral-cortex	glial-cells	Low	Supported
ABHD11	83451	0.157845	0.10293	cerebral-cortex	glial-cells	Low	Approved
ABHD12	26090	13.9592	15.5774	NA	NA	NA	NA
ABHD12B	145447	0.176483	0.0355063	NA	NA	NA	NA
ABHD13	84945	6.22796	6.67155	cerebral-cortex	glial-cells	Medium	Approved
ABHD14A	25864	11.3444	11.2024	cerebral-cortex	glial-cells	Medium	Approved
ABHD14A-ACY1	100526760	0.431954	0.0598075	NA	NA	NA	NA
ABHD14B	84836	10.2038	5.65708	cerebral-cortex	glial-cells	Low	Supported
ABHD15	116236	2.09818	2.72957	cerebral-cortex	glial-cells	Low	Approved
ABHD16B	140701	2.95822	2.93863	NA	NA	NA	NA
ABHD17A	81926	35.0182	22.4608	NA	NA	NA	NA
ABHD17AP3	648359	0.522943	0.136563	NA	NA	NA	NA
ABHD17AP6	644988	0.579404	0.202189	NA	NA	NA	NA
ABHD17B	51104	15.467	14.5818	NA	NA	NA	NA
ABHD17C	58489	7.60869	6.32328	NA	NA	NA	NA
ABHD2	11057	5.03655	8.09344	cerebral-cortex	glial-cells	Low	Approved
ABHD3	171586	7.12036	11.1829	cerebral-cortex	glial-cells	Low	Approved
ABHD4	63874	10.5995	17.7567	NA	NA	NA	NA
ABHD5	51099	3.85449	5.9969	NA	NA	NA	NA
ABHD6	57406	1.28952	1.93676	NA	NA	NA	NA
ABHD8	79575	6.36269	8.22463	NA	NA	NA	NA
