SYMBOL	ENTREZID	BD_R.Veh.R1	BD_R.Veh.R2	Tissue (HPA)	Cell type (HPA)	Level (HPA)	Reliability (HPA)
A1BG	1	6.85642	15.8943	NA	NA	NA	NA
A1BG-AS1	503538	2.63192	3.43807	NA	NA	NA	NA
A2M	2	31.8901	26.8956	NA	NA	NA	NA
A2M-AS1	144571	1.2937	1.30838	NA	NA	NA	NA
A4GALT	53947	0.105743	2.79368	NA	NA	NA	NA
AAAS	8086	40.6593	39.9247	cerebral-cortex	glial-cells	Low	Approved
AACS	65985	10.4492	10.2089	NA	NA	NA	NA
AADAT	51166	20.3143	18.9963	NA	NA	NA	NA
AAGAB	79719	40.0203	41.5369	cerebral-cortex	glial-cells	Medium	Supported
AAK1	22848	5.19845	4.05834	NA	NA	NA	NA
AAMDC	28971	12.9041	19.7729	NA	NA	NA	NA
AAMP	14	41.1872	41.5531	cerebral-cortex	glial-cells	Medium	Approved
AAR2	25980	18.5216	19.6346	NA	NA	NA	NA
AARD	441376	0.168743	0.151059	NA	NA	NA	NA
AARS2	57505	8.63397	8.86426	cerebral-cortex	glial-cells	Low	Approved
AARSD1	80755	31.37	36.2015	cerebral-cortex	glial-cells	Low	Supported
AASDH	132949	5.74916	4.34932	cerebral-cortex	glial-cells	Low	Approved
AASDHPPT	60496	39.1223	39.1351	cerebral-cortex	glial-cells	Medium	Approved
AASS	10157	47.3679	30.1288	cerebral-cortex	glial-cells	Low	Enhanced
AATF	26574	25.0548	23.8759	NA	NA	NA	NA
AATK	9625	1.18421	0.870551	cerebral-cortex	glial-cells	Medium	Enhanced
ABAT	18	68.0576	53.3427	cerebral-cortex	glial-cells	Medium	Enhanced
ABCA1	19	7.70012	4.76311	cerebral-cortex	glial-cells	Low	Approved
ABCA10	10349	1.14214	1.55291	NA	NA	NA	NA
ABCA13	154664	0.116866	0.160025	NA	NA	NA	NA
ABCA17P	650655	0.193749	0.0679198	NA	NA	NA	NA
ABCA2	20	13.7123	12.4438	cerebral-cortex	glial-cells	Medium	Approved
ABCA3	21	8.71909	7.13962	NA	NA	NA	NA
ABCA4	24	0.0473412	0.254405	NA	NA	NA	NA
