	SYMBOL	ENTREZID	BD_NR.Veh.R1	BD_R.Veh.R1	Ctrl_Fam.Veh.R1	Ctrl_NIH1.Veh.R1	BD_NR.Li.R1	BD_R.Li.R1	Ctrl_Fam.Li.R1	Ctrl_NIH1.Li.R1	BD_NR.Val.R1	BD_R.Val.R1	Ctrl_Fam.Val.R1	Ctrl_NIH1.Val.R1	BD_NR.Veh.R2	BD_R.Veh.R2	Ctrl_Fam.Veh.R2	Ctrl_NIH1.Veh.R2	BD_NR.Li.R2	BD_R.Li.R2	Ctrl_NIH1.Li.R2	BD_NR.Val.R2	BD_R.Val.R2	Ctrl_Fam.Val.R2	Ctrl_NIH1.Val.R2	Ctrl_Fam.Li.R2
A1BG	A1BG	1	35.8357	6.85642	25.8421	13.0867	15.6866	5.86148	25.9152	7.5956	21.351	11.8212	33.3366	17.5244	26.919	15.8943	24.6652	27.4968	23.8797	12.7637	21.2501	21.3537	30.8877	21.3186	20.8427	22.3579
A1BG-AS1	A1BG-AS1	503538	4.05246	2.63192	5.30832	5.04591	4.29674	2.10877	5.42064	5.18881	4.35098	3.79737	4.96161	5.82937	5.65032	3.43807	7.41617	5.04822	3.27022	3.87735	4.77078	5.59914	4.48446	6.4297	6.23507	6.12392
A2M	A2M	2	2.46203	31.8901	187.467	8.52777	6.28097	32.8143	165.076	8.80332	1.92614	12.2851	179.226	3.90835	3.76151	26.8956	198.192	48.3677	5.99298	26.9034	48.5024	4.58576	55.2952	137.371	9.96602	218.27
A2M-AS1	A2M-AS1	144571	0.338741	1.2937	0.607836	0.297436	0.459594	1.18353	0.445265	0.164486	0.300912	0.88897	0.616842	0.167469	0.327101	1.30838	0.516242	0.0750659	0.359484	0.997816	0.227838	0.0535893	0.972804	0.219802	0.119004	0.568244
A4GALT	A4GALT	53947	1.32561	0.105743	0.670594	0.085539	1.41696	0.273063	0.563671	0.312887	1.79164	0.801967	0.917138	1.30135	1.34156	2.79368	0.168589	0.333497	0.937008	1.75622	1.04344	4.20496	6.35369	0.201614	1.25612	0.111227
AAAS	AAAS	8086	36.7505	40.6593	34.5147	39.5063	35.6814	37.8978	31.5447	36.3279	36.6115	36.5004	27.5504	33.2111	42.7341	39.9247	41.4389	39.7331	37.6541	39.4256	37.9122	31.8729	32.0704	33.4656	30.0772	44.08
AACS	AACS	65985	7.54847	10.4492	7.95426	8.62379	7.6263	10.3606	8.41479	7.78225	7.81789	9.8657	9.63296	8.27703	7.65647	10.2089	11.2342	8.05948	9.36862	10.1654	8.25785	7.44945	10.2559	9.60683	7.99915	12.4238
AADAT	AADAT	51166	10.5272	20.3143	9.567	14.106	9.94305	22.5457	9.60527	12.1036	8.48017	15.1046	11.0371	11.0167	11.6897	18.9963	10.8417	12.5347	12.3648	18.7838	11.7028	9.42602	13.2686	7.37216	12.633	12.7139
AAGAB	AAGAB	79719	32.7119	40.0203	35.2622	33.1591	27.5126	42.3833	38.9764	33.3221	31.3233	39.0992	36.3818	36.9661	35.8269	41.5369	33.5821	40.446	27.8143	42.0265	40.4908	37.6284	47.8801	35.6516	36.4893	32.7352
AAK1	AAK1	22848	10.9902	5.19845	5.4358	8.74763	5.52549	5.13173	7.92473	6.6077	4.95814	7.53695	5.70104	6.06566	5.80842	4.05834	5.86914	4.49269	6.0281	6.10764	5.34172	6.16464	4.2139	7.70447	6.65719	5.40887
AAMDC	AAMDC	28971	48.3753	12.9041	40.1191	25.9727	24.9603	11.3008	41.6733	33.8278	30.7785	20.2031	44.0079	30.273	30.1802	19.7729	46.7365	40.1001	28.6283	18.7728	32.9184	37.2087	44.1677	51.5216	43.8674	50.5389
AAMP	AAMP	14	67.594	41.1872	51.0813	41.1394	58.461	34.7782	53.0179	38.6993	53.4268	40.9327	58.7069	48.5567	48.7084	41.5531	56.9982	43.2904	44.7413	35.9134	42.0703	45.127	42.376	56.9529	42.6036	59.1955
AAR2	AAR2	25980	21.6689	18.5216	16.1604	16.6825	20.9434	17.4793	16.8904	14.7236	18.147	16.701	15.2208	16.3372	19.9138	19.6346	18.0321	16.8905	17.273	17.3333	17.6619	18.6283	16.8189	16.6558	13.8153	17.4242
AARD	AARD	441376	0.146658	0.168743	0.394152	0.280887	0.0289908	0.140869	0.223683	0.392459	0.152614	0.173904	0.926301	0.601635	0.13182	0.151059	0.158708	0.404946	0.0837026	0.103537	0.666298	0.0507185	0.664723	0.979739	0.711818	0.183716
AARS2	AARS2	57505	4.72172	8.63397	5.04848	6.70396	6.24003	9.28778	4.88341	6.3398	7.26194	7.97089	6.81431	6.46361	8.68209	8.86426	7.07755	6.59954	6.80382	6.80707	6.24062	8.02814	6.78802	5.59204	7.12939	6.24183
AARSD1	AARSD1	80755	57.7287	31.37	27.3016	32.0686	47.8746	33.0973	29.8691	29.7012	33.8312	31.4992	35.7779	31.9253	37.8484	36.2015	41.3076	42.1139	34.5575	36.7603	36.1362	36.0042	37.4004	29.0289	29.1567	40.1132
AASDH	AASDH	132949	5.05707	5.74916	5.42611	6.16485	6.86132	5.33097	4.39015	7.0629	4.42897	5.39156	4.54737	6.75602	4.75693	4.34932	4.96787	6.52843	6.21689	4.8627	5.54588	4.02632	3.70133	5.34022	6.43357	5.2015
AASDHPPT	AASDHPPT	60496	39.0622	39.1223	53.1179	32.8552	42.7658	45.4123	45.7857	36.5985	45.1877	45.3114	42.4483	36.3693	38.2446	39.1351	44.7238	35.9116	40.2831	42.7451	39.7839	39.5066	39.0382	51.117	33.4294	41.7124
AASS	AASS	10157	11.0439	47.3679	18.3763	23.1099	24.7254	49.6552	13.9253	26.0229	24.8648	46.0256	19.4093	28.1968	14.5152	30.1288	18.7429	16.5908	20.4994	36.6973	17.8213	20.9399	20.1356	28.7402	25.4027	18.1325
AATF	AATF	26574	23.372	25.0548	23.6509	19.5025	21.2129	27.2134	25.5455	18.9089	21.7856	20.5943	20.5612	15.599	21.9934	23.8759	27.6152	20.3735	18.9977	24.3894	20.6841	17.5378	21.6337	21.6119	17.7716	30.5755
AATK	AATK	9625	1.96906	1.18421	0.90067	1.40577	1.64839	1.1629	0.564269	2.07935	1.37082	1.67508	0.579418	2.61107	0.970266	0.870551	0.460146	2.0055	1.93438	1.02572	1.07051	0.393721	0.793233	0.305956	2.62892	0.459669
ABAT	ABAT	18	20.0954	68.0576	53.4527	53.9952	22.586	51.1834	40.8988	67.6525	20.4866	73.3888	47.5182	64.6703	11.8994	53.3427	58.5939	59.2902	21.4473	53.0854	58.6983	16.7746	45.2473	75.8279	53.5261	49.9854
ABCA1	ABCA1	19	0.732986	7.70012	9.06829	3.24877	0.816134	5.89365	11.8928	5.18558	0.596204	4.40845	5.1148	1.69908	2.40719	4.76311	8.76951	4.49053	2.10131	4.68793	4.79219	0.984791	1.865	2.06271	1.62928	7.74747
ABCA10	ABCA10	10349	4.63041	1.14214	0.427561	0.741205	2.45618	0.454705	0.0212253	0.853643	0.976786	0.541494	0.14712	0.33188	2.07508	1.55291	0.211144	0.429251	1.14612	1.05779	0.323279	0.515014	0.769409	0.0262666	0.189456	0.109098
ABCA13	ABCA13	154664	0.089673	0.116866	0.0967989	0.637583	0.0425737	0.123138	0.0368738	0.703775	0.0214425	0.0657233	0.105885	0.200743	0.0998292	0.160025	0.022863	0.830261	0.311964	0.139205	1.19389	0.0180577	0.298247	0.0173769	0.169468	0.0216346
ABCA17P	ABCA17P	650655	0.105769	0.193749	0.154651	0.455865	0.116693	0.0356801	0.70238	0.322367	0.122588	0.0597484	0.0292561	0.194705	0.253861	0.0679198	0.0319229	0.539501	0.18399	0.360658	0.111559	0.0133244	0.141572	0.771203	0.134391	0.511342
ABCA2	ABCA2	20	10.3009	13.7123	16.7027	16.0169	11.7357	10.5864	12.9651	12.6695	9.15213	11.0247	15.6121	16.5211	8.11824	12.4438	22.9068	16.4092	9.63115	8.76917	13.5463	5.42843	8.81851	21.1297	13.2125	22.7513
ABCA3	ABCA3	21	2.88612	8.71909	16.8108	12.6722	4.10778	6.88464	14.3407	12.4643	5.22282	7.97659	17.1263	13.2565	3.21966	7.13962	20.7501	13.2204	2.71971	5.43836	11.0366	4.92817	5.46697	19.6083	12.902	21.5306
ABCA4	ABCA4	24	0.179554	0.0473412	0.337979	0.0191848	0.534178	0.0599491	0.506627	0.0366747	0.0857619	0.086579	0.227651	0.00681721	0.497407	0.254405	0.386192	0.13284	0.548943	0.740097	0.344226	0.282083	0.261268	0.315977	0.0375105	0.740423
ABCA5	ABCA5	23461	1.54661	25.0943	1.25757	12.1996	1.65833	22.5907	1.42782	23.2065	1.80037	21.2982	1.85464	11.1792	1.53748	20.0661	2.69343	10.4274	3.56193	20.6712	13.3444	2.29919	8.33564	3.18739	11.078	3.31081
ABCA6	ABCA6	23460	0.337501	0.164504	0.0643872	0.15996	0.393813	0.0376283	0.24278	0.0818776	0.383765	0.203852	0.2312	0.436476	0.529046	1.55778	0	0.111387	1.07419	1.66169	0.272947	0.569793	0.331039	0.107956	0	0.0244007
ABCA7	ABCA7	10347	6.43049	7.44106	3.01017	5.00576	8.44305	6.90488	3.51707	7.0596	5.85496	9.61595	6.60833	6.45277	4.54321	6.81554	3.44	8.77922	3.24545	4.40074	6.4291	5.01603	5.65918	4.15759	8.06124	4.93275
ABCA8	ABCA8	10351	1.44009	1.28056	3.34737	1.42379	3.43564	1.05974	3.51673	1.17048	1.08819	1.42295	5.36423	2.88862	1.30086	4.84143	1.9078	1.01873	1.2471	4.19082	0.724617	1.53338	4.84987	7.88507	1.65418	2.59724
