	SYMBOL	ENTREZID	BD_NR.Veh.R1	BD_NR.Veh.R2
A1BG	A1BG	1	35.8357	26.919
A1BG-AS1	A1BG-AS1	503538	4.05246	5.65032
A2M	A2M	2	2.46203	3.76151
A2M-AS1	A2M-AS1	144571	0.338741	0.327101
A4GALT	A4GALT	53947	1.32561	1.34156
AAAS	AAAS	8086	36.7505	42.7341
AACS	AACS	65985	7.54847	7.65647
AADAT	AADAT	51166	10.5272	11.6897
AAGAB	AAGAB	79719	32.7119	35.8269
AAK1	AAK1	22848	10.9902	5.80842
AAMDC	AAMDC	28971	48.3753	30.1802
AAMP	AAMP	14	67.594	48.7084
AAR2	AAR2	25980	21.6689	19.9138
AARD	AARD	441376	0.146658	0.13182
AARS2	AARS2	57505	4.72172	8.68209
AARSD1	AARSD1	80755	57.7287	37.8484
AASDH	AASDH	132949	5.05707	4.75693
AASDHPPT	AASDHPPT	60496	39.0622	38.2446
AASS	AASS	10157	11.0439	14.5152
AATF	AATF	26574	23.372	21.9934
AATK	AATK	9625	1.96906	0.970266
ABAT	ABAT	18	20.0954	11.8994
ABCA1	ABCA1	19	0.732986	2.40719
ABCA10	ABCA10	10349	4.63041	2.07508
ABCA13	ABCA13	154664	0.089673	0.0998292
ABCA17P	ABCA17P	650655	0.105769	0.253861
ABCA2	ABCA2	20	10.3009	8.11824
ABCA3	ABCA3	21	2.88612	3.21966
ABCA4	ABCA4	24	0.179554	0.497407
ABCA5	ABCA5	23461	1.54661	1.53748
ABCA6	ABCA6	23460	0.337501	0.529046
ABCA7	ABCA7	10347	6.43049	4.54321
ABCA8	ABCA8	10351	1.44009	1.30086
ABCA9	ABCA9	10350	5.728	4.46785
ABCB1	ABCB1	5243	0.0659621	0.652651
ABCB10	ABCB10	23456	11.3925	10.3156
ABCB4	ABCB4	5244	0.48884	0.915357
ABCB6	ABCB6	10058	15.1443	27.0012
ABCB7	ABCB7	22	11.5585	12.4628
ABCB8	ABCB8	11194	13.6827	21.4076
ABCB9	ABCB9	23457	7.40248	5.06337
ABCC1	ABCC1	4363	4.53844	10.0531
ABCC10	ABCC10	89845	5.61305	6.49924
ABCC11	ABCC11	85320	0.113547	0.0265902
ABCC2	ABCC2	1244	0.129731	0.32051
ABCC3	ABCC3	8714	0.132368	0.338452
ABCC4	ABCC4	10257	0.774775	2.59999
ABCC5	ABCC5	10057	15.9834	20.0743
ABCC6	ABCC6	368	1.51923	1.21731
ABCC6P1	ABCC6P1	653190	0.595116	0.622564
ABCC6P2	ABCC6P2	730013	0.622642	0.326514
ABCC8	ABCC8	6833	0.624297	0.0226234
ABCC9	ABCC9	10060	7.94308	2.56954
ABCD1	ABCD1	215	2.01927	0.0881151
ABCD2	ABCD2	225	0.0457885	0.121441
ABCD3	ABCD3	5825	21.1353	22.7535
ABCD4	ABCD4	5826	44.0935	39.3112
ABCE1	ABCE1	6059	36.9675	40.8572
ABCF2	ABCF2	10061	21.2588	30.2614
ABCF3	ABCF3	55324	26.2909	26.4179
ABCG1	ABCG1	9619	4.71196	2.14221
ABCG4	ABCG4	64137	0.316528	0.727293
ABHD1	ABHD1	84696	1.01675	0.17884
ABHD10	ABHD10	55347	18.1914	20.2301
ABHD11	ABHD11	83451	0.157845	0.10293
ABHD12	ABHD12	26090	13.9592	15.5774
ABHD12B	ABHD12B	145447	0.176483	0.0355063
ABHD13	ABHD13	84945	6.22796	6.67155
ABHD14A	ABHD14A	25864	11.3444	11.2024
ABHD14A-ACY1	ABHD14A-ACY1	100526760	0.431954	0.0598075
ABHD14B	ABHD14B	84836	10.2038	5.65708
ABHD15	ABHD15	116236	2.09818	2.72957
ABHD16B	ABHD16B	140701	2.95822	2.93863
ABHD17A	ABHD17A	81926	35.0182	22.4608
ABHD17AP3	ABHD17AP3	648359	0.522943	0.136563
ABHD17AP6	ABHD17AP6	644988	0.579404	0.202189
ABHD17B	ABHD17B	51104	15.467	14.5818
ABHD17C	ABHD17C	58489	7.60869	6.32328
ABHD2	ABHD2	11057	5.03655	8.09344
ABHD3	ABHD3	171586	7.12036	11.1829
ABHD4	ABHD4	63874	10.5995	17.7567
ABHD5	ABHD5	51099	3.85449	5.9969
ABHD6	ABHD6	57406	1.28952	1.93676
ABHD8	ABHD8	79575	6.36269	8.22463
ABI1	ABI1	10006	16.633	19.1701
ABI2	ABI2	10152	29.9521	46.5442
ABI3BP	ABI3BP	25890	3.04919	3.03932
ABL1	ABL1	25	35.5786	44.6723
ABL2	ABL2	27	10.634	8.19155
ABLIM1	ABLIM1	3983	12.1513	16.8611
ABLIM2	ABLIM2	84448	2.63821	2.54458
ABLIM3	ABLIM3	22885	63.1394	11.3275
ABR	ABR	29	18.0869	26.3108
ABRACL	ABRACL	58527	51.1878	34.7677
ABT1	ABT1	29777	0.401376	0.209056
ABTB1	ABTB1	80325	7.28831	4.88602
ABTB2	ABTB2	25841	3.2437	5.67642
ACAA1	ACAA1	30	23.354	24.2503
ACAA2	ACAA2	10449	74.3088	67.9319
ACACA	ACACA	31	25.9048	33.0063
ACACB	ACACB	32	1.93813	1.63018
ACAD10	ACAD10	80724	14.0216	12.3484
ACAD11	ACAD11	84129	5.12661	6.77236
ACAD8	ACAD8	27034	15.3524	16.9934
ACAD9	ACAD9	28976	33.043	31.1119
ACADL	ACADL	33	1.08495	0.325162
ACADM	ACADM	34	36.7384	39.8698
ACADS	ACADS	35	3.18731	2.09109
ACADSB	ACADSB	36	4.60941	3.80174
ACADVL	ACADVL	37	108.712	106.687
ACAN	ACAN	176	1.32219	0.258151
ACAP1	ACAP1	9744	3.69897	2.02478
ACAP2	ACAP2	23527	10.2199	15.2525
ACAP2-IT1	ACAP2-IT1	100874306	0	0.516084
ACAP3	ACAP3	116983	31.593	26.2367
ACAT1	ACAT1	38	58.4216	33.0247
ACAT2	ACAT2	39	160.977	123.209
ACBD3	ACBD3	64746	22.6696	20.7426
ACBD4	ACBD4	79777	2.40782	1.12163
ACBD5	ACBD5	91452	8.77984	10.5836
ACBD6	ACBD6	84320	55.8207	37.6408
ACBD7	ACBD7	414149	1.07075	1.79061
ACCS	ACCS	84680	0.430247	1.18338
ACD	ACD	65057	10.3076	11.4452
ACE2	ACE2	59272	0.103635	0.0134803
ACER2	ACER2	340485	0.461026	1.77513
ACER3	ACER3	55331	0.807273	4.26295
ACHE	ACHE	43	13.7032	3.95844
ACIN1	ACIN1	22985	114.187	78.583
ACKR2	ACKR2	1238	0.0205536	0.0160432
ACKR3	ACKR3	57007	1.53729	1.45454
ACLY	ACLY	47	1.00789	0.964758
ACMSD	ACMSD	130013	0.158157	0.0988901
ACO1	ACO1	48	22.8243	21.4983
ACO2	ACO2	50	46.871	38.38
ACOT1	ACOT1	641371	3.76847	2.91832
ACOT11	ACOT11	26027	5.23282	2.92561
ACOT12	ACOT12	134526	0.624422	0.206768
ACOT13	ACOT13	55856	26.2656	18.1192
ACOT2	ACOT2	10965	14.4563	12.2813
ACOT4	ACOT4	122970	0.203557	0.218646
ACOT7	ACOT7	11332	33.7208	36.7945
ACOT8	ACOT8	10005	14.0088	8.72299
ACOT9	ACOT9	23597	18.1269	22.1435
ACOX1	ACOX1	51	6.54065	7.50421
ACOX2	ACOX2	8309	4.5921	3.94971
ACOX3	ACOX3	8310	16.9909	9.50438
