SYMBOL	ENTREZID	Bipolar disorder 1a BD1a_NA	Bipolar disorder 1b BD1b_NA	Bipolar disorder 2a BD2a_NA	Bipolar disorder 2a BD2a_NA2	Bipolar disorder 3a BD3a_NA	Bipolar disorder 3b BD3b_NA	Bipolar disorder 4a BD4a_NA	Bipolar disorder 4b BD4b_NA	Bipolar disorder 5a BD5a_NA	Bipolar disorder 5b BD5b_NA	Tissue (HPA)	Cell type (HPA)	Level (HPA)	Reliability (HPA)
A1BG	1	17.8381	19.9171	29.0515	32.2381	36.1852	37.6241	40.8146	38.3191	24.2937	19.195	NA	NA	NA	NA
A1BG-AS1	503538	5.87523	6.53721	14.1633	13.881	14.6092	15.6698	13.4807	13.781	7.90349	6.00404	NA	NA	NA	NA
A2M	2	1.41933	1.30748	2.06229	1.5257	2.56111	3.14583	5.65537	5.67609	0.157137	0.568877	NA	NA	NA	NA
A4GALT	53947	1.83111	1.48797	0.625001	0.472751	0.723303	0.41514	1.29707	0.757176	1.95477	1.73533	NA	NA	NA	NA
AAAS	8086	30.5294	36.1808	33.267	30.7847	36.5386	38.0582	34.3013	36.1	41.177	32.6601	cerebral-cortex	glial-cells	Low	Approved
AACS	65985	12.1162	14.1355	17.3416	13.8444	20.0807	23.7342	19.7241	17.9947	16.5535	12.5205	NA	NA	NA	NA
AADAC	13	0	0.130057	0.216335	0.233529	0.128246	0	0.0204234	0.0666832	0.1032	0.0697313	NA	NA	NA	NA
AADAT	51166	8.56884	7.11747	5.16376	6.44511	3.69064	4.56075	4.57071	5.50292	6.3141	6.48677	NA	NA	NA	NA
AAGAB	79719	31.9599	30.1071	31.8469	30.6924	32.079	32.0283	27.3089	29.9085	33.1058	30.5314	cerebral-cortex	glial-cells	Medium	Supported
AAK1	22848	9.09849	11.2403	9.6419	9.68279	9.35155	9.82841	10.631	10.2918	11.8299	11.0774	NA	NA	NA	NA
AAMDC	28971	43.6805	41.424	47.0855	51.3799	49.7905	51.6998	36.9208	40.2199	46.1307	44.6861	NA	NA	NA	NA
AAMP	14	63.7774	65.9687	79.8328	83.3458	78.0054	81.7873	77.1539	75.5207	74.0499	67.9269	cerebral-cortex	glial-cells	Medium	Approved
AANAT	15	0.11466	0.323293	0.456937	0.350029	0.205985	0.407814	0.149304	0.119987	0.0624045	0.120652	NA	NA	NA	NA
AAR2	25980	22.0239	22.8675	23.2976	23.7424	20.2915	20.4256	19.2293	19.4076	24.2394	21.9985	NA	NA	NA	NA
AARS2	57505	2.8004	3.40746	3.08408	2.9093	3.30777	3.16469	3.08497	2.80414	3.00917	2.6697	cerebral-cortex	glial-cells	Low	Approved
