SYMBOL	ENTREZID	Bipolar disorder 2a BD2a_NA	Bipolar disorder 2a BD2a_NA2	Bipolar disorder 3a BD3a_NA	Bipolar disorder 3b BD3b_NA	Bipolar disorder 4a BD4a_NA	Bipolar disorder 4b BD4b_NA	Tissue (HPA)	Cell type (HPA)	Level (HPA)	Reliability (HPA)
A1BG	1	29.0515	32.2381	36.1852	37.6241	40.8146	38.3191	NA	NA	NA	NA
A1BG-AS1	503538	14.1633	13.881	14.6092	15.6698	13.4807	13.781	NA	NA	NA	NA
A2M	2	2.06229	1.5257	2.56111	3.14583	5.65537	5.67609	NA	NA	NA	NA
A4GALT	53947	0.625001	0.472751	0.723303	0.41514	1.29707	0.757176	NA	NA	NA	NA
AAAS	8086	33.267	30.7847	36.5386	38.0582	34.3013	36.1	cerebral-cortex	glial-cells	Low	Approved
AACS	65985	17.3416	13.8444	20.0807	23.7342	19.7241	17.9947	NA	NA	NA	NA
AADAC	13	0.216335	0.233529	0.128246	0	0.0204234	0.0666832	NA	NA	NA	NA
AADAT	51166	5.16376	6.44511	3.69064	4.56075	4.57071	5.50292	NA	NA	NA	NA
AAGAB	79719	31.8469	30.6924	32.079	32.0283	27.3089	29.9085	cerebral-cortex	glial-cells	Medium	Supported
AAK1	22848	9.6419	9.68279	9.35155	9.82841	10.631	10.2918	NA	NA	NA	NA
AAMDC	28971	47.0855	51.3799	49.7905	51.6998	36.9208	40.2199	NA	NA	NA	NA
AAMP	14	79.8328	83.3458	78.0054	81.7873	77.1539	75.5207	cerebral-cortex	glial-cells	Medium	Approved
AANAT	15	0.456937	0.350029	0.205985	0.407814	0.149304	0.119987	NA	NA	NA	NA
AAR2	25980	23.2976	23.7424	20.2915	20.4256	19.2293	19.4076	NA	NA	NA	NA
AARS2	57505	3.08408	2.9093	3.30777	3.16469	3.08497	2.80414	cerebral-cortex	glial-cells	Low	Approved
AARSD1	80755	64.7854	61.0545	59.9844	57.3541	52.945	50.5177	cerebral-cortex	glial-cells	Low	Supported
AASDH	132949	2.47994	6.0198	5.94171	2.92545	3.79964	4.95312	cerebral-cortex	glial-cells	Low	Approved
AASDHPPT	60496	22.7313	22.156	22.2557	19.2126	17.7794	21.8607	cerebral-cortex	glial-cells	Medium	Approved
AASS	10157	2.86376	2.28406	3.30016	3.10536	2.43445	2.59425	cerebral-cortex	glial-cells	Low	Enhanced
AATF	26574	34.0641	35.4037	36.1362	28.9906	24.8378	23.2403	NA	NA	NA	NA
AATK	9625	0.216543	0.182964	0.146348	0.273119	0.105347	0.0177659	cerebral-cortex	glial-cells	Medium	Enhanced
ABAT	18	5.62639	5.24766	4.63107	5.35175	2.87357	2.71281	cerebral-cortex	glial-cells	Medium	Enhanced
ABCA1	19	3.51669	3.07615	5.62612	4.42528	2.69508	3.26474	cerebral-cortex	glial-cells	Low	Approved
ABCA10	10349	0.523095	1.20428	0.488537	0.571814	0.890048	0.90795	NA	NA	NA	NA
ABCA13	154664	0.735396	0.699412	0.696042	0.227962	0.307245	0.150354	NA	NA	NA	NA
ABCA2	20	16.5302	20.2974	16.1265	18.992	14.8306	14.5385	cerebral-cortex	glial-cells	Medium	Approved
ABCA3	21	0.997833	1.11303	1.63083	2.65358	0.83982	0.561279	NA	NA	NA	NA
ABCA4	24	1.68184	1.27543	1.09971	1.13933	1.12901	1.19706	NA	NA	NA	NA
ABCA5	23461	1.70227	1.45823	1.9205	2.30608	2.11058	2.44433	cerebral-cortex	glial-cells	Low	Approved
ABCA6	23460	0.15193	0.030718	0.160425	0.0602687	0.157097	0.0502554	NA	NA	NA	NA
ABCA7	10347	1.35458	1.38014	2.67881	2.44574	2.5044	2.13089	NA	NA	NA	NA
