SYMBOL	ENTREZID	HT.1	HT.4	HT.5	HT.6	Tissue (HPA)	Cell type (HPA)	Level (HPA)	Reliability (HPA)
A1BG	1	15.5197	29.6326	14.4772	17.1667	NA	NA	NA	NA
A1BG-AS1	503538	9.39297	6.65112	8.65351	6.04951	NA	NA	NA	NA
A2M	2	494.523	561.751	410.591	427.721	NA	NA	NA	NA
A2M-AS1	144571	0.634083	0.505196	0.731446	0.616001	NA	NA	NA	NA
A2ML1	144568	0.300282	0.310412	1.12999	0.213037	NA	NA	NA	NA
A4GALT	53947	0.154585	0.79883	0.195539	0	NA	NA	NA	NA
AAAS	8086	34.0043	31.0963	35.4874	36.9494	cerebral-cortex	glial-cells	Low	Approved
AACS	65985	6.06703	9.66255	11.703	7.07078	NA	NA	NA	NA
AADAT	51166	7.52453	8.71281	13.3574	8.90272	NA	NA	NA	NA
AAGAB	79719	42.9876	40.4579	31.371	39.3874	cerebral-cortex	glial-cells	Medium	Supported
AAK1	22848	5.34892	6.5949	7.08209	6.72938	NA	NA	NA	NA
AAMDC	28971	22.4627	28.1704	14.1215	20.1775	NA	NA	NA	NA
AAMP	14	114.629	101.935	102.917	91.4554	cerebral-cortex	glial-cells	Medium	Approved
AAR2	25980	10.7752	11.8767	10.0858	10.0991	NA	NA	NA	NA
AARD	441376	0.0509445	0.17749	0.126042	0.0480437	NA	NA	NA	NA
AARS2	57505	7.85873	8.60159	5.63201	7.48564	cerebral-cortex	glial-cells	Low	Approved
AARSD1	80755	19.0761	16.8489	21.1415	23.4638	cerebral-cortex	glial-cells	Low	Supported
AASDH	132949	20.5207	15.225	14.9983	16.737	cerebral-cortex	glial-cells	Low	Approved
AASDHPPT	60496	36.3465	40.3775	36.583	43.3827	cerebral-cortex	glial-cells	Medium	Approved
AASS	10157	36.867	26.5664	39.8248	33.3824	cerebral-cortex	glial-cells	Low	Enhanced
AATF	26574	25.9221	26.8746	20.43	18.6228	NA	NA	NA	NA
AATK	9625	1.04619	0.68195	1.70426	1.40449	cerebral-cortex	glial-cells	Medium	Enhanced
ABAT	18	65.3389	80.2173	64.352	56.3974	cerebral-cortex	glial-cells	Medium	Enhanced
ABCA1	19	38.9894	34.2168	20.0108	62.6735	cerebral-cortex	glial-cells	Low	Approved
ABCA10	10349	0	0.131156	0.0241806	0.0765014	NA	NA	NA	NA
ABCA12	26154	0.138646	0.0889661	0.0830163	0.0679565	NA	NA	NA	NA
ABCA13	154664	0.135762	0.374871	0.235438	0.083926	NA	NA	NA	NA
ABCA17P	650655	0.345274	0.285464	0.266871	0.162103	NA	NA	NA	NA
ABCA2	20	18.2024	19.6365	20.5812	23.3182	cerebral-cortex	glial-cells	Medium	Approved
ABCA3	21	29.6744	23.6311	18.6119	16.8061	NA	NA	NA	NA
ABCA4	24	0.136445	0.983748	0.383216	0.0400192	NA	NA	NA	NA
ABCA5	23461	1.67041	5.36474	1.92178	1.96252	cerebral-cortex	glial-cells	Low	Approved
ABCA7	10347	3.31731	7.09407	4.11397	2.28992	NA	NA	NA	NA
ABCA8	10351	40.6954	15.8046	2.14612	18.5072	NA	NA	NA	NA
ABCB1	5243	0.150099	1.46138	4.5289	1.62709	NA	NA	NA	NA
ABCB10	23456	2.93313	3.47835	4.88196	2.70272	NA	NA	NA	NA
ABCB4	5244	0.0305511	0.451997	0.69145	1.04773	NA	NA	NA	NA
ABCB5	340273	0.053335	0.101216	0.257948	0.0503225	NA	NA	NA	NA
ABCB6	10058	32.4659	21.2468	15.8664	25.198	NA	NA	NA	NA
ABCB7	22	23.4198	13.86	16.8685	21.3903	NA	NA	NA	NA
ABCB8	11194	12.8218	11.9849	13.2766	13.8282	cerebral-cortex	glial-cells	Low	Approved
ABCB9	23457	1.21526	4.1312	3.68444	1.28848	cerebral-cortex	glial-cells	Medium	Approved
ABCC1	4363	2.52082	4.13911	4.07743	3.46371	NA	NA	NA	NA
ABCC10	89845	9.83937	10.9533	8.06105	8.01913	cerebral-cortex	glial-cells	Low	Approved
ABCC11	85320	0.522862	0.687202	0.103162	0.736747	cerebral-cortex	glial-cells	Low	Approved
ABCC2	1244	0.0954731	0.143114	0.173092	0.157766	NA	NA	NA	NA
ABCC3	8714	1.34598	2.00816	0.894373	3.2183	NA	NA	NA	NA
ABCC4	10257	14.6749	25.6263	5.82441	13.6104	NA	NA	NA	NA
ABCC5	10057	15.3096	13.0861	21.786	23.2439	NA	NA	NA	NA
ABCC6	368	1.48413	1.0647	0.781203	1.62827	NA	NA	NA	NA
ABCC6P1	653190	3.28585	1.78565	3.47126	3.20535	NA	NA	NA	NA
ABCC6P2	730013	0.828676	0.721525	0.657221	0.683805	NA	NA	NA	NA
ABCC8	6833	0	0	0.108289	0.319635	NA	NA	NA	NA
ABCC9	10060	35.0188	9.93427	23.2144	12.9133	NA	NA	NA	NA
ABCD2	225	3.57026	4.1157	5.10462	2.12871	NA	NA	NA	NA
ABCD3	5825	44.6691	33.7383	42.7241	49.8182	cerebral-cortex	glial-cells	High	Enhanced
ABCD4	5826	30.6354	28.2947	34.4154	38.95	NA	NA	NA	NA
ABCE1	6059	40.1781	31.4762	41.4252	36.1346	cerebral-cortex	glial-cells	Medium	Approved
ABCF2	10061	40.8368	34.1086	38.3971	39.4257	cerebral-cortex	glial-cells	Low	Approved
ABCF2P1	344653	0.0641555	0.16758	0.180912	0.635276	NA	NA	NA	NA
ABCF3	55324	43.8269	42.7324	41.8347	38.7394	cerebral-cortex	glial-cells	High	Approved
ABCG1	9619	0.462275	1.78227	0.827074	0.339417	NA	NA	NA	NA
ABCG4	64137	0.6168	0.614543	0.610937	0.335588	NA	NA	NA	NA
ABCG5	64240	0.0533811	0.0985813	0.11398	0.180588	NA	NA	NA	NA
ABHD1	84696	1.4123	1.57831	1.9976	1.26305	NA	NA	NA	NA
ABHD10	55347	38.0427	32.164	29.3277	36.2845	cerebral-cortex	glial-cells	Low	Supported
ABHD11	83451	0.0857559	0.0373186	0	0.16177	cerebral-cortex	glial-cells	Low	Approved
ABHD12	26090	27.7457	28.4494	27.2277	37.5961	NA	NA	NA	NA
ABHD12B	145447	0.427021	0.576957	0.0141629	0.875445	NA	NA	NA	NA
ABHD13	84945	3.92531	4.11217	4.52489	5.09162	cerebral-cortex	glial-cells	Medium	Approved
ABHD14A	25864	13.0921	17.5527	17.1673	11.0623	cerebral-cortex	glial-cells	Medium	Approved
ABHD14A-ACY1	100526760	0	0.085468	0.141635	0	NA	NA	NA	NA
ABHD14B	84836	2.4778	1.85217	1.48226	1.79601	cerebral-cortex	glial-cells	Low	Supported
ABHD15	116236	2.57824	2.54782	1.59238	1.08484	cerebral-cortex	glial-cells	Low	Approved
ABHD16B	140701	1.74159	1.90144	1.66977	1.08878	NA	NA	NA	NA
ABHD17A	81926	13.4212	13.1862	9.80401	9.47059	NA	NA	NA	NA
ABHD17AP3	648359	0.152267	0.198869	0.322025	0.269237	NA	NA	NA	NA
ABHD17B	51104	6.29401	8.87179	10.0839	8.6846	NA	NA	NA	NA
ABHD17C	58489	26.7632	9.45356	9.43278	19.5955	NA	NA	NA	NA
ABHD2	11057	30.448	52.4884	37.7805	28.3264	cerebral-cortex	glial-cells	Low	Approved
ABHD3	171586	7.31815	9.38231	10.8776	8.83612	cerebral-cortex	glial-cells	Low	Approved
ABHD4	63874	22.0947	20.1767	24.0658	24.2849	NA	NA	NA	NA
ABHD5	51099	13.7453	12.4755	10.7965	13.2754	NA	NA	NA	NA
ABHD6	57406	16.8459	19.4252	13.7849	14.0297	NA	NA	NA	NA
ABHD8	79575	9.54588	7.43236	6.62187	9.32895	NA	NA	NA	NA
ABI1	10006	47.4483	42.6791	46.3247	52.6955	NA	NA	NA	NA
ABI2	10152	133.025	116.879	124.864	103.53	NA	NA	NA	NA
ABI3BP	25890	0.248848	0.327875	0.989717	0.823196	NA	NA	NA	NA
ABL1	25	24.9941	25.346	28.1298	22.8476	cerebral-cortex	glial-cells	Low	Supported
ABL2	27	3.07635	3.59858	4.98778	4.9026	NA	NA	NA	NA
ABLIM1	3983	103.094	60.1112	42.6825	33.7623	cerebral-cortex	glial-cells	Low	Approved
ABLIM2	84448	1.9111	4.02383	3.47695	1.70086	NA	NA	NA	NA
ABLIM3	22885	1.20006	0.508385	0.0672544	0.80547	cerebral-cortex	glial-cells	Medium	Approved
ABR	29	177.432	134.377	88.8761	95.2361	cerebral-cortex	glial-cells	Low	Enhanced
ABRACL	58527	15.6579	12.9024	17.5715	14.1711	NA	NA	NA	NA
ABT1P1	100420695	0.0574706	0	0.182324	0	NA	NA	NA	NA
ABTB1	80325	0.574871	2.45077	1.84451	0.832277	NA	NA	NA	NA
ABTB2	25841	0.904101	1.49086	1.82853	1.23699	cerebral-cortex	glial-cells	High	Approved
ACAA1	30	22.2425	21.8474	31.6881	23.0141	NA	NA	NA	NA
ACAA2	10449	25.3874	31.9317	31.4632	26.9968	NA	NA	NA	NA
ACACA	31	35.5123	24.6751	33.2616	47.684	NA	NA	NA	NA
ACACB	32	8.64112	9.20338	9.37682	8.55005	NA	NA	NA	NA
ACAD10	80724	13.2878	14.5597	14.7821	13.1256	NA	NA	NA	NA
ACAD11	84129	37.6726	22.1732	20.6421	22.7906	NA	NA	NA	NA
ACAD8	27034	15.1527	13.0083	15.9084	16.4503	cerebral-cortex	glial-cells	Medium	Enhanced
ACAD9	28976	19.029	20.3674	20.9725	19.376	cerebral-cortex	glial-cells	Medium	Supported
ACADL	33	2.6101	1.59257	2.19788	1.07334	NA	NA	NA	NA
ACADM	34	46.0013	42.4628	41.5634	39.3435	cerebral-cortex	glial-cells	Low	Enhanced
ACADS	35	1.39572	3.46373	2.87715	1.26283	cerebral-cortex	glial-cells	Low	Enhanced
ACADSB	36	3.24433	6.07409	4.7563	5.1928	NA	NA	NA	NA
ACADVL	37	307.797	219.966	150.634	249.708	cerebral-cortex	glial-cells	Low	Enhanced
ACAN	176	0.513036	0.194388	0.112007	2.21544	NA	NA	NA	NA
ACAP1	9744	13.4702	15.6361	7.49533	11.9045	cerebral-cortex	glial-cells	Medium	Approved
ACAP2	23527	48.3248	38.2176	51.9241	52.6856	cerebral-cortex	glial-cells	Medium	Supported
ACAP2-IT1	100874306	0.874448	1.04689	1.15586	1.34006	NA	NA	NA	NA
ACAP3	116983	35.3863	38.292	32.8892	33.0816	NA	NA	NA	NA
ACAT1	38	155.223	102.517	88.9039	113.633	cerebral-cortex	glial-cells	Low	Enhanced
ACAT2	39	68.753	73.4596	79.1185	90.3449	cerebral-cortex	glial-cells	Medium	Enhanced
ACBD3	64746	39.5288	28.3255	27.1446	32.8324	NA	NA	NA	NA
ACBD4	79777	5.10823	6.85846	3.60948	3.17742	NA	NA	NA	NA
ACBD5	91452	35.4845	35.3783	32.5003	33.9697	cerebral-cortex	glial-cells	Medium	Enhanced
ACBD6	84320	28.4457	32.5834	32.2937	29.6055	cerebral-cortex	glial-cells	Low	Approved
ACBD7	414149	6.5791	6.93219	7.4613	2.15808	NA	NA	NA	NA
ACCS	84680	2.76606	0.223356	0.38938	0.332635	cerebral-cortex	glial-cells	Medium	Approved
ACD	65057	16.1126	16.9613	17.5757	14.0095	NA	NA	NA	NA
ACE2	59272	0.468765	0.160343	0.190791	0.198221	NA	NA	NA	NA
