SYMBOL	ENTREZID	Ctrl_NIH1.Veh.R1	Ctrl_NIH1.Veh.R2	Tissue (HPA)	Cell type (HPA)	Level (HPA)	Reliability (HPA)
A1BG	1	13.0867	27.4968	NA	NA	NA	NA
A1BG-AS1	503538	5.04591	5.04822	NA	NA	NA	NA
A2M	2	8.52777	48.3677	NA	NA	NA	NA
A2M-AS1	144571	0.297436	0.0750659	NA	NA	NA	NA
A4GALT	53947	0.085539	0.333497	NA	NA	NA	NA
AAAS	8086	39.5063	39.7331	cerebral-cortex	glial-cells	Low	Approved
AACS	65985	8.62379	8.05948	NA	NA	NA	NA
AADAT	51166	14.106	12.5347	NA	NA	NA	NA
AAGAB	79719	33.1591	40.446	cerebral-cortex	glial-cells	Medium	Supported
AAK1	22848	8.74763	4.49269	NA	NA	NA	NA
AAMDC	28971	25.9727	40.1001	NA	NA	NA	NA
AAMP	14	41.1394	43.2904	cerebral-cortex	glial-cells	Medium	Approved
AAR2	25980	16.6825	16.8905	NA	NA	NA	NA
AARD	441376	0.280887	0.404946	NA	NA	NA	NA
AARS2	57505	6.70396	6.59954	cerebral-cortex	glial-cells	Low	Approved
AARSD1	80755	32.0686	42.1139	cerebral-cortex	glial-cells	Low	Supported
AASDH	132949	6.16485	6.52843	cerebral-cortex	glial-cells	Low	Approved
AASDHPPT	60496	32.8552	35.9116	cerebral-cortex	glial-cells	Medium	Approved
AASS	10157	23.1099	16.5908	cerebral-cortex	glial-cells	Low	Enhanced
AATF	26574	19.5025	20.3735	NA	NA	NA	NA
AATK	9625	1.40577	2.0055	cerebral-cortex	glial-cells	Medium	Enhanced
ABAT	18	53.9952	59.2902	cerebral-cortex	glial-cells	Medium	Enhanced
ABCA1	19	3.24877	4.49053	cerebral-cortex	glial-cells	Low	Approved
ABCA10	10349	0.741205	0.429251	NA	NA	NA	NA
ABCA13	154664	0.637583	0.830261	NA	NA	NA	NA
ABCA17P	650655	0.455865	0.539501	NA	NA	NA	NA
ABCA2	20	16.0169	16.4092	cerebral-cortex	glial-cells	Medium	Approved
ABCA3	21	12.6722	13.2204	NA	NA	NA	NA
ABCA4	24	0.0191848	0.13284	NA	NA	NA	NA
ABCA5	23461	12.1996	10.4274	cerebral-cortex	glial-cells	Low	Approved
ABCA6	23460	0.15996	0.111387	NA	NA	NA	NA
ABCA7	10347	5.00576	8.77922	NA	NA	NA	NA
ABCA8	10351	1.42379	1.01873	NA	NA	NA	NA
ABCA9	10350	0.209964	0.0205498	NA	NA	NA	NA
