Dataset	Phenotype	ExpThreshold	modelMets	modelRxns	modelGenes	fluxInconsistentRxns	fluxInconsistentRxnsPrct	coreRxns	overlapCoreRxns	overlapCoreRxnsPrct	astroModelLewisRxns	overlapLewis	overlapLewisPrct
Biju	Ctrl_NIH1	abs	4142	6062	2248	0	0	1841	1693	91.9608908202064	649	324	49.9229583975347
Biju	Ctrl_NIH1	norm_t1	3645	5248	2248	0	0	1841	1280	69.5274307441608	649	267	41.1402157164869
Biju	Ctrl_NIH1	norm_t2	4011	5786	2248	0	0	1841	1541	83.7045084193373	649	307	47.3035439137134
Biju	Ctrl_Fam	abs	4203	6212	2248	0	0	1841	1779	96.6322650733297	649	340	52.3882896764253
Biju	Ctrl_Fam	norm_t1	3704	5333	2248	0	0	1841	1329	72.1890277023357	649	267	41.1402157164869
Biju	Ctrl_Fam	norm_t2	3984	5769	2248	0	0	1841	1571	85.3340575774036	649	294	45.3004622496148
Biju	BD	abs	4146	6121	2248	0	0	1841	1767	95.9804454101032	649	321	49.4607087827427
Biju	BD	norm_t1	3558	5154	2248	0	0	1841	1249	67.8435632808256	649	273	42.0647149460709
Biju	BD	norm_t2	4008	5901	2248	0	0	1841	1503	81.64041281912	649	301	46.3790446841294
Biju	BD_R	abs	4155	6106	2248	0	0	1841	1747	94.8940793047257	649	325	50.0770416024653
Biju	BD_R	norm_t1	3580	5159	2248	0	0	1841	1225	66.5399239543726	649	248	38.2126348228043
Biju	BD_R	norm_t2	3972	5720	2248	0	0	1841	1515	82.2922324823465	649	295	45.4545454545455
Biju	BD_NR	abs	4146	6122	2248	0	0	1841	1759	95.5458989679522	649	317	48.84437596302
Biju	BD_NR	norm_t1	3552	5165	2248	0	0	1841	1220	66.2683324280282	649	265	40.8320493066256
Biju	BD_NR	norm_t2	3888	5658	2248	0	0	1841	1480	80.3910917979359	649	297	45.7627118644068
