model_ID	modelMets	modelRxns	modelGenes	fluxInconsistentRxns	coreRxns	overlapCoreRxns	overlapCoreRxnsPrct	astroModelLewisRxns	overlapLewis	overlapLewisPrct
Primary_abs_1	4234	6195	2248	0	1843	1809	98.1551817688551	649	325	50.0770416024653
Primary_abs_2	5835	10509	2248	471	1843	1752	95.0623982637005	649	426	65.6394453004623
Primary_abs_3	3133	3777	1632	56	1843	1839	99.7829625610418	649	217	33.4360554699538
Primary_abs_4	3031	3829	1676	0	1843	1785	96.8529571351058	649	231	35.5932203389831
Primary_norm_t1_1	3720	5393	2248	0	1843	1366	74.1182854042322	649	268	41.2942989214176
Primary_norm_t1_2	5793	10016	2248	1048	1843	1259	68.3125339120998	649	390	60.0924499229584
Primary_norm_t1_3	2624	3132	1330	0	1843	1515	82.2029300054259	649	180	27.7349768875193
Primary_norm_t1_4	2482	3050	1348	0	1843	1394	75.6375474769398	649	173	26.6563944530046
Primary_norm_t2_1	4013	5842	2248	0	1843	1582	85.8383071079761	649	318	48.9984591679507
Primary_norm_t2_2	5810	10244	2248	633	1843	1487	80.6836679327184	649	418	64.4067796610169
Primary_norm_t2_3	3062	4067	1675	4	1843	1718	93.2175800325556	649	234	36.055469953775
Primary_norm_t2_4	Infeasibile	Infeasibile	Infeasibile	Infeasibile	Infeasibile	Infeasibile	Infeasibile	Infeasibile	Infeasibile	Infeasibile
