model_ID	modelMets	modelRxns	modelGenes	fluxInconsistentRxns	coreRxns	overlapCoreRxns	overlapCoreRxnsPrct	astroModelLewisRxns	overlapLewis	overlapLewisPrct
iPS_BD_abs_1	4189	6145	2248	0	1765	1722	97.5637393767705	649	327	50.3852080123267
iPS_BD_abs_2	5827	10522	2248	60	1765	1687	95.5807365439094	649	427	65.7935285053929
iPS_BD_abs_3	2997	3615	1663	0	1765	1745	98.8668555240793	649	218	33.5901386748844
iPS_BD_abs_4	Infeasible	Infeasible	Infeasible	Infeasible	Infeasible	Infeasible	Infeasible	Infeasible	Infeasible	Infeasible
iPS_BD_norm_t1_1	3843	5478	2248	0	1765	1324	75.014164305949	649	268	41.2942989214176
iPS_BD_norm_t1_2	5817	9978	2248	881	1765	1143	64.7592067988669	649	388	59.7842835130971
iPS_BD_norm_t1_3	2629	3069	1492	0	1765	1472	83.399433427762	649	180	27.7349768875193
iPS_BD_norm_t1_4	Infeasible	Infeasible	Infeasible	Infeasible	Infeasible	Infeasible	Infeasible	Infeasible	Infeasible	Infeasible
iPS_BD_norm_t2_1	4038	5794	2248	0	1765	1527	86.5155807365439	649	295	45.4545454545455
iPS_BD_norm_t2_2	5825	10280	2248	318	1765	1445	81.8696883852691	649	409	63.020030816641
iPS_BD_norm_t2_3	2863	3425	1513	2	1765	1664	94.2776203966006	649	202	31.1248073959938
iPS_BD_norm_t2_4	Infeasible	Infeasible	Infeasible	Infeasible	Infeasible	Infeasible	Infeasible	Infeasible	Infeasible	Infeasible
