model_ID	modelMets	modelRxns	modelGenes	fluxInconsistentRxns	coreRxns	overlapCoreRxns	overlapCoreRxnsPrct	astroModelLewisRxns	overlapLewis	overlapLewisPrct
iPS_BD_NR_abs_1	4149	6104	2248	0	1765	1714	97.1104815864023	649	323	49.768875192604
iPS_BD_NR_abs_2	5827	10501	2248	129	1765	1666	94.3909348441926	649	427	65.7935285053929
iPS_BD_NR_abs_3	2966	3562	1555	0	1765	1745	98.8668555240793	649	219	33.7442218798151
iPS_BD_NR_abs_4	Infeasible	Infeasible	Infeasible	Infeasible	Infeasible	Infeasible	Infeasible	Infeasible	Infeasible	Infeasible
iPS_BD_NR_norm_t1_1	3771	5359	2248	0	1765	1303	73.8243626062323	649	272	41.9106317411402
iPS_BD_NR_norm_t1_2	5812	9917	2248	1000	1765	1082	61.3031161473088	649	387	59.6302003081664
iPS_BD_NR_norm_t1_3	2567	2978	1419	0	1765	1444	81.8130311614731	649	191	29.4298921417565
iPS_BD_NR_norm_t1_4	Infeasible	Infeasible	Infeasible	Infeasible	Infeasible	Infeasible	Infeasible	Infeasible	Infeasible	Infeasible
iPS_BD_NR_norm_t2_1	4005	5805	2248	0	1765	1513	85.7223796033994	649	303	46.6872110939908
iPS_BD_NR_norm_t2_2	5825	10270	2248	278	1765	1435	81.3031161473088	649	411	63.3281972265023
iPS_BD_NR_norm_t2_3	2890	3569	1529	24	1765	1663	94.2209631728045	649	206	31.7411402157165
iPS_BD_NR_norm_t2_4	Infeasible	Infeasible	Infeasible	Infeasible	Infeasible	Infeasible	Infeasible	Infeasible	Infeasible	Infeasible
