model_ID	modelMets	modelRxns	modelGenes	fluxInconsistentRxns	coreRxns	overlapCoreRxns	overlapCoreRxnsPrct	astroModelLewisRxns	overlapLewis	overlapLewisPrct
iPS_BD_R_abs_1	4157	6107	2248	0	1765	1711	96.9405099150142	649	327	50.3852080123267
iPS_BD_R_abs_2	5827	10500	2248	115	1765	1665	94.3342776203966	649	426	65.6394453004623
iPS_BD_R_abs_3	3001	3600	1602	0	1765	1747	98.9801699716714	649	225	34.6687211093991
iPS_BD_R_abs_4	Infeasible	Infeasible	Infeasible	Infeasible	Infeasible	Infeasible	Infeasible	Infeasible	Infeasible	Infeasible
iPS_BD_R_norm_t1_1	3786	5346	2248	0	1765	1270	71.9546742209632	649	265	40.8320493066256
iPS_BD_R_norm_t1_2	5817	9938	2248	1006	1765	1103	62.4929178470255	649	384	59.1679506933744
iPS_BD_R_norm_t1_3	2616	3064	1439	4	1765	1458	82.6062322946176	649	196	30.2003081664099
iPS_BD_R_norm_t1_4	Infeasible	Infeasible	Infeasible	Infeasible	Infeasible	Infeasible	Infeasible	Infeasible	Infeasible	Infeasible
iPS_BD_R_norm_t2_1	4016	5750	2248	0	1765	1527	86.5155807365439	649	290	44.6841294298921
iPS_BD_R_norm_t2_2	5825	10269	2248	470	1765	1434	81.2464589235127	649	411	63.3281972265023
iPS_BD_R_norm_t2_3	2903	3469	1505	44	1765	1664	94.2776203966006	649	222	34.2064714946071
iPS_BD_R_norm_t2_4	Infeasible	Infeasible	Infeasible	Infeasible	Infeasible	Infeasible	Infeasible	Infeasible	Infeasible	Infeasible
