Dataset	Phenotype	ExpThreshold	MEM	modelMets	modelRxns	modelGenes	fluxInconsistentRxns	fluxInconsistentRxnsPrct	coreRxns	overlapCoreRxns	overlapCoreRxnsPrct	astroModelLewisRxns	overlapLewis	overlapLewisPrct
Vadodaria	BD_R	abs	iMAT	4157	6107	2248	0	0	1765	1711	96.9405099150142	649	327	50.3852080123267
Vadodaria	BD_R	abs	GIMME	5827	10500	2248	115	1.0952380952381	1765	1665	94.3342776203966	649	426	65.6394453004623
Vadodaria	BD_R	abs	MBA	3001	3600	1602	0	0	1765	1747	98.9801699716714	649	225	34.6687211093991
Vadodaria	BD_R	norm_t1	iMAT	3786	5346	2248	0	0	1765	1270	71.9546742209632	649	265	40.8320493066256
Vadodaria	BD_R	norm_t1	GIMME	5817	9938	2248	1006	10.1227611189374	1765	1103	62.4929178470255	649	384	59.1679506933744
Vadodaria	BD_R	norm_t1	MBA	2616	3064	1439	4	0.130548302872063	1765	1458	82.6062322946176	649	196	30.2003081664099
Vadodaria	BD_R	norm_t2	iMAT	4016	5750	2248	0	0	1765	1527	86.5155807365439	649	290	44.6841294298921
Vadodaria	BD_R	norm_t2	GIMME	5825	10269	2248	470	4.57688187749537	1765	1434	81.2464589235127	649	411	63.3281972265023
Vadodaria	BD_R	norm_t2	MBA	2903	3469	1505	44	1.26837705390602	1765	1664	94.2776203966006	649	222	34.2064714946071
Vadodaria	BD_NR	abs	iMAT	4149	6104	2248	0	0	1765	1714	97.1104815864023	649	323	49.768875192604
Vadodaria	BD_NR	abs	GIMME	5827	10501	2248	129	1.22845443291115	1765	1666	94.3909348441926	649	427	65.7935285053929
Vadodaria	BD_NR	abs	MBA	2966	3562	1555	0	0	1765	1745	98.8668555240793	649	219	33.7442218798151
Vadodaria	BD_NR	norm_t1	iMAT	3771	5359	2248	0	0	1765	1303	73.8243626062323	649	272	41.9106317411402
Vadodaria	BD_NR	norm_t1	GIMME	5812	9917	2248	1000	10.0836946657255	1765	1082	61.3031161473088	649	387	59.6302003081664
Vadodaria	BD_NR	norm_t1	MBA	2567	2978	1419	0	0	1765	1444	81.8130311614731	649	191	29.4298921417565
Vadodaria	BD_NR	norm_t2	iMAT	4005	5805	2248	0	0	1765	1513	85.7223796033994	649	303	46.6872110939908
Vadodaria	BD_NR	norm_t2	GIMME	5825	10270	2248	278	2.70691333982473	1765	1435	81.3031161473088	649	411	63.3281972265023
Vadodaria	BD_NR	norm_t2	MBA	2890	3569	1529	24	0.672457270944242	1765	1663	94.2209631728045	649	206	31.7411402157165
Koskovi	Ctrl	abs	iMAT	4214	6186	2248	0	0	1836	1782	97.0588235294118	649	338	52.080123266564
Koskovi	Ctrl	norm_t1	iMAT	3675	5265	2248	0	0	1836	1319	71.8409586056645	649	244	37.5963020030817
Koskovi	Ctrl	norm_t2	iMAT	3945	5677	2248	0	0	1836	1519	82.7342047930283	649	294	45.3004622496148
Koskovi	HT	abs	iMAT	4197	6195	2248	0	0	1836	1782	97.0588235294118	649	314	48.382126348228
Koskovi	HT	norm_t1	iMAT	3646	5244	2248	0	0	1836	1272	69.281045751634	649	269	41.4483821263482
Koskovi	HT	norm_t2	iMAT	3946	5709	2248	0	0	1836	1517	82.6252723311547	649	284	43.7596302003082
Koskovi	ST	abs	iMAT	4195	6191	2248	0	0	1836	1784	97.1677559912854	649	326	50.231124807396
Koskovi	ST	norm_t1	iMAT	3720	5331	2248	0	0	1836	1309	71.2962962962963	649	270	41.6024653312789
Koskovi	ST	norm_t2	iMAT	3971	5735	2248	0	0	1836	1524	83.0065359477124	649	296	45.6086286594761
Biju	Ctrl_NIH1	abs	iMAT	4142	6062	2248	0	0	1841	1693	91.9608908202064	649	324	49.9229583975347
Biju	Ctrl_NIH1	norm_t1	iMAT	3645	5248	2248	0	0	1841	1280	69.5274307441608	649	267	41.1402157164869
Biju	Ctrl_NIH1	norm_t2	iMAT	4011	5786	2248	0	0	1841	1541	83.7045084193373	649	307	47.3035439137134
Biju	Ctrl_Fam	abs	iMAT	4203	6212	2248	0	0	1841	1779	96.6322650733297	649	340	52.3882896764253
Biju	Ctrl_Fam	norm_t1	iMAT	3704	5333	2248	0	0	1841	1329	72.1890277023357	649	267	41.1402157164869
Biju	Ctrl_Fam	norm_t2	iMAT	3984	5769	2248	0	0	1841	1571	85.3340575774036	649	294	45.3004622496148
Biju	BD	abs	iMAT	4146	6121	2248	0	0	1841	1767	95.9804454101032	649	321	49.4607087827427
Biju	BD	norm_t1	iMAT	3558	5154	2248	0	0	1841	1249	67.8435632808256	649	273	42.0647149460709
Biju	BD	norm_t2	iMAT	4008	5901	2248	0	0	1841	1503	81.64041281912	649	301	46.3790446841294
Biju	BD_R	abs	iMAT	4155	6106	2248	0	0	1841	1747	94.8940793047257	649	325	50.0770416024653
Biju	BD_R	norm_t1	iMAT	3580	5159	2248	0	0	1841	1225	66.5399239543726	649	248	38.2126348228043
Biju	BD_R	norm_t2	iMAT	3972	5720	2248	0	0	1841	1515	82.2922324823465	649	295	45.4545454545455
Biju	BD_NR	abs	iMAT	4146	6122	2248	0	0	1841	1759	95.5458989679522	649	317	48.84437596302
Biju	BD_NR	norm_t1	iMAT	3552	5165	2248	0	0	1841	1220	66.2683324280282	649	265	40.8320493066256
Biju	BD_NR	norm_t2	iMAT	3888	5658	2248	0	0	1841	1480	80.3910917979359	649	297	45.7627118644068
