name	Mouse_Array_Rxns_Index	Mouse_Array_Rxns_Secondary	Rat_Array_Rxns_Index	Rat_Array_Rxns_Secondary	Rat_Seq_Rxns_Index	Rat_Seq_Rxns_Secondary
'2M3HBUc'	0	0	0	0	0	1
'2M3HBUte'	0	0	0	0	0	1
'2M3HBUtm'	0	0	0	0	0	1
'2M3HVACc'	0	0	0	0	0	1
'2M3HVACte'	0	0	0	0	0	1
'2M3OVACm'	0	0	0	0	0	1
'2M3OVACtm'	0	0	0	0	0	1
'2M3OVCOAm'	0	0	0	0	0	1
'3AIB_Dtm'	0	0	0	0	0	1
'3AIBTm'	0	0	0	0	0	1
'3AIBtmi'	0	0	0	0	0	1
'3DSPHR'	0	0	0	1	0	0
'3H3MGLTc'	0	0	0	0	0	1
'3H3MGLTte'	0	0	0	0	0	1
'3HPPt'	0	0	0	1	0	0
'3HPPtm'	0	0	0	1	0	0
'3M4HDXPAC_b'	0	0	1	0	0	0
'3M4HDXPAC_f'	0	0	1	0	0	0
'3MGLUTACc'	0	0	0	0	0	1
'3MGLUTACte'	0	0	0	0	0	1
'3MGLUTACtm'	0	0	0	0	0	1
'3MOX4HOXPGALDOX_NADP__b'	0	0	1	0	0	0
'3MOX4HOXPGALDOX_NADP__f'	0	0	1	0	0	0
'3MOX4HOXPGALDOX'	0	0	1	0	0	0
'3SALACBOXL'	0	0	0	0	1	0
'3SALATAi'	0	0	0	0	0	1
'3SALATAim'	0	0	0	0	0	1
'3SPYRSP'	0	0	0	0	0	1
'3SPYRSPm'	0	0	0	0	0	1
'4AABUTNt'	0	0	0	0	0	1
'4ABUTtm'	0	0	0	0	0	1
'4HOXPACDOX_NADP__b'	0	0	1	0	0	0
'4HOXPACDOX_NADP__f'	0	0	1	0	0	0
'5EIPENCm'	0	0	0	1	0	0
'5EIPENCte'	0	0	0	1	0	0
'5EIPENCtm'	0	0	0	1	0	0
'5MTHFt'	0	0	0	0	1	0
'6THFtm'	0	0	0	0	0	1
'ABTArm'	0	0	0	0	0	1
'ABUTt2rL'	0	0	0	1	0	0
'ACACT10m'	0	0	0	0	0	1
'ACACT4p'	0	0	0	1	0	1
'ACACT5p'	0	0	0	1	0	1
'ACACT6p'	0	0	0	1	0	1
'ACACT7p'	0	0	0	1	0	1
'ACACT8p'	0	0	0	1	0	0
'ACALDt'	0	0	0	1	0	0
'ACALDtm'	0	0	0	1	0	0
'ACETONEt2'	0	0	0	0	0	1
'ACETONEt2m'	0	0	0	0	0	1
'ACGALK'	0	0	0	1	0	0
'ACGALtly'	0	0	0	1	0	0
'ACGAM2E'	0	0	0	1	0	0
'ACGAM6PSi'	0	0	0	1	0	0
'ACGAMPM'	0	0	0	1	0	0
'ACNAMlt'	0	0	0	1	0	0
'ACNAMtr'	0	0	0	1	0	0
'ACNMLr'	0	0	0	1	0	0
'ACOAD10m'	0	0	1	0	1	0
'ACOAD1fm'	0	0	1	0	0	0
'ACOAD9m'	0	0	1	0	0	0
'ACOAO7p'	0	0	0	1	0	1
'ACONT'	0	0	1	0	0	0
'ADCim'	0	0	0	0	0	1
'ADNCYC'	0	0	1	0	0	1
'ADRNt'	0	0	0	1	0	0
'ADSL1'	0	0	1	0	0	0
'ADSL2'	0	0	1	0	0	0
'ADSS'	0	0	0	1	0	0
'AG13T16g'	0	0	0	1	0	0
'AG13T17g'	0	0	0	1	0	0
'AG13T18g'	0	0	0	1	0	0
'AG13T1g'	0	0	0	1	0	0
'AG13T2g'	0	0	0	1	0	0
'AG13T3g'	0	0	0	1	0	0
'AGTim'	0	0	0	0	0	1
'AGTix'	0	0	0	0	0	1
'AHC'	0	0	1	0	0	0
'AIRCr'	0	0	0	1	0	0
'AKGDm'	0	0	0	0	0	1
'ALAt4'	1	0	0	0	0	0
'ALCD1'	0	0	0	1	0	0
'ALDD20xm'	0	0	0	0	1	0
'ALDD2x'	0	0	1	0	0	0
'ALDD2xm'	0	0	0	1	1	0
'ALDD2y'	0	0	0	1	0	0
'AMPDA'	0	0	0	1	0	0
'AMPTASECG'	0	0	1	0	0	0
'APAT2rm'	0	0	0	1	0	0
'APRTO2'	0	0	0	0	0	1
'ARACHCOAtx'	0	0	0	0	0	1
'ARGtD_b'	1	0	0	0	0	0
'ARGtD_f'	1	0	0	0	0	0
'ARSA'	0	0	0	1	0	1
'ARTFR208'	0	0	0	1	0	0
'ASPDt6'	0	0	0	0	1	0
'ASPt6'	0	0	0	0	1	0
'ATP2ter'	0	0	0	1	0	0
'ATPH1e'	0	0	0	0	0	1
'B3GALT41g'	0	0	1	0	0	0
'B3GALT42g'	0	0	1	0	0	0
'B3GALT43g'	0	0	1	0	0	0
'B3GALT44g'	0	0	1	0	0	0
'BALAtmr'	0	0	0	1	0	0
'BDHm'	0	0	0	0	0	1
'BGAL1e'	0	0	0	1	0	0
'BGAL1l'	0	0	0	1	0	0
'BGAL3l'	0	0	0	1	0	0
'BHBtm'	0	0	0	0	0	1
'BILIRUBt2'	0	0	0	1	0	0
'BILIVERDt'	0	0	0	0	0	1
'BPNT'	0	0	0	1	0	1
'C03990t'	0	0	0	1	0	0
'C04805td'	0	0	0	0	0	1
'C14768td'	0	0	0	1	0	1
'C14769td1'	0	0	0	1	0	1
'C14770ATP'	0	0	0	1	0	1
'C14771ATP'	0	0	0	1	0	1
'C14STRr'	0	0	0	0	0	1
'C160CPT2'	0	0	0	1	0	0
'C161CPT12'	0	0	0	1	0	1
'C161CPT22'	0	0	0	1	0	0
'C180CPT2'	0	0	0	1	0	0
'C204CPT1'	0	0	0	1	0	0
'C204CPT2'	0	0	0	1	0	0
'C226CPT1'	0	0	0	1	0	0
'C226CPT2'	0	0	0	1	0	0
'C3STDH1Pr'	0	0	0	0	0	1
'C3STDH1r'	0	0	0	0	0	1
'C3STKR2r'	0	0	0	0	0	1
'C4STMO1r'	0	0	0	0	0	1
'C4STMO2Pr'	0	0	0	0	0	1
'C4STMO2r'	0	0	0	0	0	1
'C80CPT1'	0	0	0	1	0	0
'CAPROICc'	0	0	0	1	0	0
'CARNtr'	0	0	0	1	0	0
'CAt7r_b'	0	0	0	0	1	0
'CAt7r_f'	0	0	0	0	1	0
'CATm'	0	0	0	1	0	1
'CATp'	0	0	0	1	0	1
'CE2049te'	0	0	0	1	0	1
'CE2445t'	0	0	0	0	0	1
'CE2510ABCt'	0	0	1	0	0	0
'CE2513td'	0	0	0	1	0	0
'CE2537ABCt'	0	0	1	0	0	0
'CE4877te'	0	0	0	1	0	0
'CE5304t'	0	0	0	1	0	0
'CE6247t'	0	0	0	0	0	1
'CE7081tr'	0	0	0	1	0	0
'CE7082ATP'	0	0	0	1	0	0
'CE7090te'	0	0	0	1	0	0
'CERT1rt'	0	0	0	1	0	0
'CHOLATEt_b'	0	0	1	0	0	0
'CHOLATEt_f'	0	0	1	0	0	0
'CHOLt4_b'	0	0	0	0	1	0
'CHOLt4_f'	0	0	0	0	1	0
'CHOLtu'	0	0	0	0	0	1
'CITt4_2_s'	0	0	0	0	0	1
'CITt4_4_b'	0	0	1	0	0	0
'CITt4_4_f'	0	0	1	0	0	0
'CLOXAtex2'	0	0	0	0	0	1
'CLPNDCPT1'	0	0	0	1	0	0
'CLPNDCPT2'	0	0	0	1	0	0
'CMPACNAtg'	0	0	0	1	0	0
'CO2ter'	0	0	0	0	0	1
'CORE2GTg'	0	0	0	1	0	0
'CORE3GTg'	0	0	0	1	0	0
'CORE4GTg'	0	0	0	1	0	0
'COt'	0	0	0	0	0	1
'CPPPGO'	0	0	0	0	0	1
'CRVNCtr'	0	0	0	1	0	0
'CRVSM1hr'	0	0	1	0	0	0
'CRVSM23hr'	0	0	1	0	0	0
'CYOOm2i'	0	0	0	0	0	1
'CYSO'	0	0	0	0	0	1
'CYSTA'	0	0	0	0	0	1
'D_3AIBt'	0	0	0	0	0	1
'D_LACtm'	0	0	0	1	0	0
'DAGK_hs'	0	0	1	0	1	0
'DCATDc_b'	0	0	1	0	0	0
'DCATDc_f'	0	0	1	0	0	0
'DCIm'	0	0	0	1	0	0
'DCSPTN1COAtx'	0	0	0	1	0	0
'DCSPTN1CPT1'	0	0	0	1	0	0
'DCSPTN1CPT2'	0	0	0	1	0	0
'DESAT14_9'	0	0	0	1	0	1
'DESAT16_2'	0	0	0	1	0	1
'DESAT18_10'	0	0	0	1	0	0
'DESAT18_4'	0	0	0	1	0	0
'DESAT18_5'	0	0	0	1	0	1
'DESAT18_6'	0	0	0	1	0	1
'DESAT18_7'	0	0	0	1	0	1
'DESAT18_8'	0	0	0	1	0	0
'DESAT18_9'	0	0	0	1	0	0
'DESAT20_1'	0	0	0	0	0	1
'DESAT20_2'	0	0	0	1	0	0
'DHCR243r'	0	0	0	0	0	1
'DHCR71r'	0	0	0	0	0	1
'DHEASt_b'	0	0	1	0	0	0
'DHEASt_f'	0	0	1	0	0	0
'DIGALSIDEtg'	0	0	0	1	0	0
'DIGALSIDEtl'	0	0	0	1	0	0
'DLNLCGCPT2'	0	0	0	1	0	0
'DM_mi14p[c]'	0	0	0	0	0	1
'DMATT'	0	0	0	0	0	1
'DOCO13EFATP'	0	0	1	0	0	0
'DOCOSACTDr'	0	0	0	1	0	0
'DPMVDc'	0	0	0	0	0	1
'DPMVDx'	0	0	0	0	0	1
'DURIK1'	1	0	0	0	0	0
'EBP1r'	0	0	0	0	0	1
'ECOAH1m'	0	0	0	1	0	0
