name	Literature_Model_Input	Literature_Model_v9_Output	Mouse_Microarray_v9_Input	Mouse_Microarray_v9_Output	Rat_Microarray_v9_Input	Rat_Microarray_v9_Output	Rat_RNA_Seq_v9_Input	Rat_RNA_Seq_v9_Output
'2HBO'	0	0	0	0	0	0	0	1
'2MB2COAc'	0	0	0	0	0	0	0	1
'2OBUTt'	0	0	0	0	0	0	0	1
'2OXOADOXm'	0	0	0	0	0	0	1	0
'3DSPHR'	0	0	0	0	0	1	0	0
'3HBCDm'	0	0	0	0	0	0	0	1
'3HBCOARc'	0	0	0	0	0	0	0	1
'4AABUTNt'	0	0	0	1	0	0	0	0
'4ABUTtm'	0	0	0	0	0	0	0	1
'5AOPt'	0	0	0	0	0	0	0	1
'5AOPtm'	0	0	0	0	0	0	0	1
'A_MANASEly'	0	0	0	0	0	0	1	0
'ABTArm'	0	0	0	0	0	0	0	1
'ACACT4p'	0	0	0	0	0	1	0	0
'ACACT5p'	0	0	0	0	0	1	0	0
'ACACT6p'	0	0	0	0	0	1	0	0
'ACGLYtc'	0	0	0	0	0	0	0	1
'ACGLYte'	0	0	0	0	0	0	0	1
'ACOAD10m'	0	0	0	0	1	0	0	0
'ACOAD1fm'	0	0	0	0	1	0	0	1
'ACOAD9m'	0	0	0	0	1	0	0	0
'ACOAO7p'	0	0	0	0	0	0	0	1
'ADNCYC'	1	0	0	0	1	0	0	0
'ADRNCOAtx'	0	0	0	0	0	1	0	1
'ADRNCPT1'	0	0	0	0	0	0	1	0
'ADRNCPT2'	0	0	0	0	0	0	0	1
'ADSL1'	0	0	0	0	1	0	0	0
'ADSL2'	0	0	0	0	1	0	0	0
'ADSS'	0	0	0	0	0	1	0	0
'AHC'	0	0	0	0	1	0	0	0
'AIRCr'	0	0	0	0	0	1	0	0
'AKGDm'	0	0	0	0	0	0	1	0
'APRTO2'	0	0	0	1	0	0	0	0
'ARACHCOAtx'	0	0	0	0	0	1	0	0
'ARACHCPT1'	0	0	0	0	0	1	1	0
'ARACHCPT2'	0	0	0	0	0	1	0	1
'ARACHCRNt'	0	0	0	0	0	1	0	0
'ARTFR208'	0	0	0	0	0	0	0	1
'ARTPLM3m'	0	0	0	0	0	0	0	1
'ASPDt6'	0	0	0	0	0	0	1	0
'ASPDTDe'	0	0	0	0	0	0	0	1
'ASPt6'	0	0	0	0	0	0	1	0
'BCRNe'	0	0	0	0	0	0	0	1
'BPNT'	1	0	0	0	0	0	0	0
'C02356t'	0	0	0	0	0	0	0	1
'C05767te'	0	0	0	0	0	0	0	1
'C100CPT1'	0	0	0	0	0	0	1	0
'C101CPT1'	0	0	0	0	0	0	1	0
'C101CRNe'	0	0	0	0	0	0	0	1
'C102CPT1'	0	0	0	0	0	0	1	0
'C10CRNe'	0	0	0	0	0	0	0	1
'C10DCc'	0	0	0	0	0	0	1	0
'C10OHc'	0	0	0	0	0	0	1	0
'C120CPT1'	0	0	0	0	0	0	1	0
'C121CPT1'	0	0	0	0	0	0	1	0
'C12OHc'	0	0	0	0	0	0	1	0
'C140CPT1'	0	0	0	0	0	0	1	0
'C141ACBP'	0	0	0	0	0	0	0	1
'C141CPT1'	0	0	0	0	0	0	1	0
'C141OHc'	0	0	0	0	0	0	1	0
'C141OHe'	0	0	0	0	0	0	0	1
'C142ACBP'	0	0	0	0	0	0	0	1
'C142CPT1'	0	0	0	0	0	0	1	0
'C142OHc'	0	0	0	0	0	0	1	0
'C142OHe'	0	0	0	0	0	0	0	1
'C14OHc'	0	0	0	0	0	0	1	0
'C160CPT1'	0	0	0	0	0	0	1	0
'C161CPT1'	0	0	0	0	0	0	1	0
'C161CPT12'	0	0	0	0	0	0	1	0
'C161CPT22'	0	0	0	0	0	1	0	0
'C161OHc'	0	0	0	0	0	0	1	0
'C162ACBP'	0	0	0	0	0	0	0	1
'C162OHc'	0	0	0	0	0	0	1	0
'C162OHe'	0	0	0	0	0	0	0	1
'C16DCc'	0	0	0	0	0	0	1	0
'C16OHc'	0	0	0	0	0	0	1	0
'C180CPT1'	0	0	0	0	0	0	1	0
'C181CPT1'	0	0	0	0	0	0	1	0
'C181OHc'	0	0	0	0	0	0	1	0
'C182OHc'	0	0	0	0	0	0	1	0
'C18OHc'	0	0	0	0	0	0	1	0
'C204CPT1'	0	0	0	0	0	0	1	0
'C226COAtx'	0	0	0	0	0	1	0	1
'C226CPT1'	0	0	0	0	0	1	1	0
'C226CPT2'	0	0	0	0	0	1	0	1
'C30CPT1'	0	0	0	0	0	0	1	0
'C3DCe'	0	0	0	0	0	0	0	1
'C40CPT1'	0	0	0	0	0	0	1	0
'C4CRNCPT2'	0	0	0	0	0	1	0	1
'C4DCe'	0	0	0	0	0	0	0	1
'C4OHc'	0	0	0	0	0	0	1	0
'C4tcx'	0	0	0	0	0	1	0	1
'C4x'	0	0	0	0	0	1	0	1
'C50CPT1'	0	0	0	0	0	0	1	0
'C51CPT1'	0	0	0	0	0	0	1	0
'C5DCe'	0	0	0	0	0	0	0	1
'C60CPT1'	0	0	0	0	0	0	1	0
'C6COAt'	0	0	0	0	0	0	0	1
'C6CRNtcx'	0	0	0	0	0	0	0	1
'C6DCc'	0	0	0	0	0	0	1	0
'C80CPT1'	0	0	0	0	0	1	1	0
'C81CPT1'	0	0	0	0	0	0	1	0
'C81CRNe'	0	0	0	0	0	0	0	1
'C8DCc'	0	0	0	0	0	0	1	0
'CAATPS'	0	0	0	0	0	0	1	0
'CE1401te'	0	0	0	0	0	1	0	0
'CLOXAtex2'	0	0	0	0	0	0	0	1
'CLPNDCOAtx'	0	0	0	0	0	1	0	1
'CLPNDCPT1'	0	0	0	0	0	1	1	0
'CLPNDCPT2'	0	0	0	0	0	1	0	1
'CO2tm'	0	0	0	0	0	0	0	1
'CSm'	0	0	0	0	0	0	1	0
'CSNAT2m'	0	0	0	0	0	0	0	1
'CYOOm2i'	0	0	0	0	0	0	1	0
'CYOR_u10mi'	0	0	0	0	0	0	1	0
'CYST_Ltr'	0	0	0	0	0	1	0	0
'CYSTS'	0	0	0	0	0	1	0	0
'DCIm'	0	0	0	0	0	1	0	0
'DCSPTN1COAtx'	0	0	0	0	0	1	0	1
'DCSPTN1CPT1'	0	0	0	0	0	1	1	0
'DCSPTN1CPT2'	0	0	0	0	0	1	0	1
