Objective,FSR_SKO_1,FSR_SKO_2,FSR_SKO_3,FSR_SKO_4,FSR_SKO_5,FSR_SKO_6,FSR_SKO_7,FSR_SKO_8,FSR_SKO_9,FSR_SKO_10,FSR_SKO_11,FSR_SKO_12,FSR_SKO_13,FSR_SKO_14,FSR_CKO_ALL
'3DSPHR',1,1.00657634985193,1,1.03658131559227,1,1,1,1,1,1.00099050564841,1.03658131559227,1,1,1,2.05216298225631
'ARTPLM3m',1,1.00759493670886,0.999999999999999,2.07848101265823,0.999999999999999,1,1,0.999999999999999,1,1,2.07848101265823,1,0.999999999999999,0.999999999999999,Inf
'BHMT',1,1.00746268656716,1,2.05970149253731,1,1,1,1,1,1,2.05970149253731,1,1,1,Inf
'C160CPT1',1,1.00576784703396,1,1.47576669614317,0.999999999999989,0.999999999999989,1,1,1,1.00336146170025,1.47576669614317,1,1,1,2.68424496394024
'C160CPT2',1,1.00576784703396,1,1.47576669614317,0.999999999999989,0.999999999999989,1,1,1,1.00336146170025,1.47576669614317,1,1,1,2.68424496394024
'C16OHc',1,1.00719424460431,1,1.739581308936,1,1,1,1,1,1,1.739581308936,1,1,1,2.04597741674207
'CDIPTr',1.33333333333333,1,1,Inf,1,1,1,1,1,6.66666666666667,Inf,1,1,1,Inf
'CDS',1.33333333333333,1,1,Inf,1,1,1,1,1,6.66666666666667,Inf,1,1,1,Inf
'CO2tp',1,1,1,1,1,1,1,1,1,1.00014576450009,1,1,1,1,2.55174622609494
'CYTK1n',1,1.00750469043152,1,1.71517532224795,1,1,1,1,1,1,1.71517532224795,1,1,1,2.02709839344953
'CYTK8n',1,1.00750469043152,1,1.71517532224795,1,1,1,1,1,1,1.71517532224795,1,1,1,2.02709839344953
'DAGK_hs',1.26984126984127,1,1,6.66666666666666,1,1,1,1,1,Inf,6.66666666666666,1,1,1,Inf
'DM_sphs1p[n]',1,1.00750469043152,1,1.71517532224795,1,1,1,1,1,1,1.71517532224795,1,1,1,2.02709839344955
'DTDPtn',1,1.00750469043152,1,1.71517532224795,1,1,1,1,1,1,1.71517532224795,1,1,1,2.02709839344953
'EX_3hexdcrn[e]',1,1.00719424460431,1,1.739581308936,1,1,1,1,1,1,1.739581308936,1,1,1,2.04597741674213
'FAOXC16C14m',1,1.00675675675676,1,1.71141679693895,1,1,1,1,1,1,1.71141679693895,1,1,1,2.02838419545373
'FAOXC16C16OHm',1,1.00719424460432,1,1.73958130893599,1,1,1,1,1,1,1.73958130893599,1,1,1,2.0459774167421
'HDECAACBP',1,1.00719424460431,1,1.739581308936,1,1,1,1,1,1,1.739581308936,1,1,1,2.04597741674207
'HEXDCRNe',1,1.00719424460432,0.999999999999999,1.73958130893599,1,1,1,1,1,1,1.73958130893598,0.999999999999999,1,1,2.0459774167421
'HMR_0770',1,1.00546448087431,1,1.38251366120221,1,1,1,1,1,1,1.38251366120221,1,1,1,19.9441649082927
'HMR_4696',1,1.00746268656716,1,2.05970149253731,1,1,1,1,1,1,2.05970149253731,1,1,1,Inf
'HMR_4701',1,1.00746268656716,1,2.05970149253731,1,1,1,1,1,1,2.05970149253731,1,1,1,Inf
'HMR_6572',1,9,1,1,1,1,1,1,1,1,1,1,1,1,Inf
'LPS',1,1.00759493670886,0.999999999999999,2.07848101265823,0.999999999999999,1,1,0.999999999999999,1,1,2.07848101265823,1,0.999999999999999,0.999999999999999,Inf
'MI13456PK',1,1.125,1,Inf,1,1,Inf,1,1,3.125,Inf,Inf,Inf,Inf,Inf
'MI1345PKc',1,1.125,1,Inf,1,1,Inf,1,1,3.125,Inf,Inf,Inf,Inf,Inf
'MI1345PP',1,1,1,Inf,1,1,Inf,1,1,3.83333333333333,Inf,Inf,1,1,Inf
'MI134PP',1,1,1,Inf,1,1,Inf,1,1,3.83333333333333,Inf,Inf,1,1,Inf
'MI145PP',1,1,1,Inf,1,1,Inf,Inf,1,4.4,Inf,1,1,1,Inf
'MI14P4P',Inf,1,1,Inf,1.25,1,1,1,Inf,5.25,Inf,1,1,1,Inf
'MI14PP',1,1,1,Inf,1.25,1,1,1,1,5.25,Inf,1,0.999999999999999,0.999999999999999,Inf
'MI1PP',Inf,3,3,1,1,1,1,1,1,1,1,1,1,1,Inf
'MI1PS',Inf,9.00000000000001,Inf,1,1,1,1,1,1,1,1,1,1,1,Inf
'MI34PP',1,1,1,Inf,1,1,Inf,1,1,3.83333333333333,Inf,Inf,1,1,Inf
'MI3PP',1,6,1,1,1,1,1,1,1,1,1,1,1,1,Inf
'MI4PP',1,1,1,Inf,1.25,1,1,1,1,5.25,Inf,1,0.999999999999999,0.999999999999999,Inf
'PI45PLC',1,1,1,Inf,1,1,Inf,1.2,1,4.4,Inf,1,1,1,Inf
'PI4PLC',1,1,1,Inf,1.25,1,1,1,1,5.25,Inf,1,1,1,Inf
'PI5P3K',1,1,1,Inf,1,1,1,1,1,3.83333333333333,Inf,1,1,1,Inf
'PI5P4K',1,1,1,Inf,1,1,1,1,1,4.4,Inf,1,1,1,Inf
'PIK3',1,1,1,Inf,1,1,1,1,1,3.83333333333333,Inf,1,1,1,Inf
'PIK4',1,1,1,Inf,Inf,1,1,1,1,5.25,Inf,1,1,1,Inf
'PIK5',1,1,1,Inf,1,1,1,1,1,4.4,Inf,1,1,1,Inf
'PIPLC',Inf,1,1,Inf,1,1,1,1,1,6.66666666666667,Inf,1,1,1,Inf
'RE0453N',1,1.00750469043152,1,1.71517532224795,1,1,1,1,1,1,1.71517532224795,1,1,1,2.02709839344953
'RTOTAL3CRNCPT1',1,1.00759493670886,1,2.07848101265823,1,1,1,1,1,1,2.07848101265823,1,1,1,Inf
'RTOTAL3CRNCPT2',1,1.00759493670886,1,2.07848101265823,1,1,1,1,1,1,2.07848101265823,1,1,1,Inf
'RTOTAL3CRNt',1,1.00759493670886,1,2.07848101265823,1,1,1,1,1,1,2.07848101265823,1,1,1,Inf
'R_group_phosphotase_3',1,1.00759493670886,0.999999999999999,2.07848101265823,0.999999999999999,1,1,0.999999999999999,1,1,2.07848101265823,1,0.999999999999999,0.999999999999999,Inf
'SERPT',1,1.00657634985193,1,1.03658131559227,1,1,1,1,1,1.00099050564841,1.03658131559227,1,1,1,2.05216298225631
'SPHINGStn',1,1.00750469043152,1,1.71517532224795,1,1,1,1,1,1,1.71517532224795,1,1,1,2.02709839344953
'SPHK21n',1,1.00750469043152,1,1.71517532224795,1,1,1,1,1,1,1.71517532224795,1,1,1,2.02709839344955
'r0860',1,1,1,1,1,1,1,1,1,1.00011307253064,1,1,1,1,3.43281741747751
'r2435',1,1.00576784703396,1,1.47576669614317,0.999999999999989,0.999999999999989,1,1,1,1.00336146170025,1.47576669614317,1,1,1,2.68424496394024
'sink_minohp[c]',1,1.125,1,Inf,1,1,Inf,1,1,3.125,Inf,Inf,Inf,Inf,Inf
'sink_tag_hs[c]',1,1.00759493670886,1,2.07848101265823,1,1,1,1,1,1,2.07848101265823,1,1,1,Inf
