	Literature	T13_F2	T13_F3	GSE66276_Li_F2	GSE66276_Li_F3	GSE132397_Li_F2	GSE132397_Li_F3
Arachidonic acid metabolism	0	1	0	0	0	0	0
Arginine and proline metabolism	0	0	0	0	0	1	1
Butanoate metabolism	0	1	1	0	0	0	0
Eicosanoid metabolism	0	1	0	0	0	0	0
Exchange/demand reaction	0	1	1	1	1	1	1
Fatty acid oxidation	0	1	1	1	1	0	0
Fatty acid synthesis	0	1	1	1	0	0	0
Folate metabolism	0	1	1	0	0	0	0
Fructose and mannose metabolism	1	0	0	0	0	0	0
Galactose metabolism	0	0	0	1	0	0	0
Glutathione metabolism	0	0	0	1	0	0	0
Glycerophospholipid metabolism	0	1	0	0	0	0	0
Glycine, serine, alanine, and threonine metabolism	0	1	1	0	0	0	0
Glycolysis/gluconeogenesis	1	0	0	0	0	0	0
Glyoxylate and dicarboxylate metabolism	0	1	0	0	0	0	0
Inositol phosphate metabolism	1	0	0	1	1	1	0
Leukotriene metabolism	0	1	0	0	0	0	0
Methionine and cysteine metabolism	0	0	0	1	1	0	0
Miscellaneous	0	1	1	0	0	0	0
Nucleotide interconversion	0	1	1	1	1	0	0
Phosphatidylinositol phosphate metabolism	0	0	0	1	0	0	0
Purine synthesis	0	0	0	1	1	0	0
R group synthesis	0	1	1	0	0	0	0
Sphingolipid metabolism	1	0	0	1	0	0	0
Starch and sucrose metabolism	1	0	0	0	0	0	0
Transport, endoplasmic reticular	0	1	1	1	0	0	0
Transport, extracellular	1	1	1	1	1	1	0
Transport, lysosomal	0	1	1	1	0	0	0
Transport, mitochondrial	0	1	1	1	0	0	0
Transport, peroxisomal	0	1	1	1	0	0	0
Triacylglycerol synthesis	0	1	1	0	0	0	0
Urea cycle	0	1	0	0	0	1	1
Valine, leucine, and isoleucine metabolism	0	1	1	0	0	0	0
