subSystem	n.x	n.y	p.val	p.val.fdr
Cholesterol metabolism	1	159	0.995929768975858	0.999288873394024
Fatty acid synthesis	1	189	0.998582714245492	0.999288873394024
Transport, lysosomal	1	74	0.921418069067583	0.999288873394024
Peptide metabolism	3	242	0.989628792685917	0.999288873394024
Transport, extracellular	29	1383	0.999288873394024	0.999288873394024
Transport, peroxisomal	2	87	0.796190757326352	0.933465025830895
Bile acid synthesis	1	39	0.737287121918968	0.895277219473033
Transport, mitochondrial	8	250	0.607944136946426	0.765559283562166
Arachidonic acid metabolism	1	19	0.478028198075888	0.752036682814639
Exchange	1	18	0.45983101599046	0.752036682814639
Glutathione metabolism	1	13	0.358929093939995	0.752036682814639
Glycolysis/gluconeogenesis	1	25	0.575086875093548	0.752036682814639
Purine catabolism	1	25	0.575086875093548	0.752036682814639
Pyrimidine synthesis	1	12	0.336602178531473	0.752036682814639
Pyruvate metabolism	1	21	0.512612355613117	0.752036682814639
Steroid metabolism	1	21	0.512612355613117	0.752036682814639
Transport, nuclear	2	49	0.494063781267365	0.752036682814639
Tyrosine metabolism	2	43	0.426468920341718	0.752036682814639
Nucleotide interconversion	5	136	0.483768275780614	0.752036682814639
Exchange/demand reaction	36	1080	0.550070218187833	0.752036682814639
Phosphatidylinositol phosphate metabolism	2	32	0.292248143951772	0.709745492454303
Tetrahydrobiopterin metabolism	1	6	0.185425577770575	0.484959203399965
Tryptophan metabolism	2	21	0.155671863169595	0.441070278980519
Triacylglycerol synthesis	1	4	0.127771594386713	0.394930382649842
Taurine and hypotaurine metabolism	1	3	0.0974395250400946	0.331294385136322
R group synthesis	1	2	0.066057868199865	0.249551946532823
Urea cycle	3	24	0.0449963809653704	0.191234619102824
Transport, endoplasmic reticular	9	121	0.0201096123312752	0.0976752598947651
Lysine metabolism	4	17	0.00208618675362739	0.0119961634165757
Miscellaneous	10	102	0.00211697001468982	0.0119961634165757
Fructose and mannose metabolism	5	17	0.00018132559289388	0.00154126753959798
Valine, leucine, and isoleucine metabolism	7	33	8.8544160309526e-05	0.00100350048350796
Fatty acid oxidation	54	799	1.8277097739391e-07	3.10710661569646e-06
Methionine and cysteine metabolism	10	31	3.5319749339813e-08	1.20087147755364e-06
