rxnList	subSystem	GPR	Fluxspan_a	Fluxspan_b	FluxSpanRatio	Flux	MetabolicUnits	Localization	RxnFormula
3MOX4HOXPGALDOX	Tyrosine metabolism	222.1 or 220.1 or 221.1 or 218.1	1000	0	Inf	L	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]	h2o[c] + nad[c] + 3m4hpga[c]  -> 2 h[c] + nadh[c] + 3mox4hoxm[c] 
ABT_Dt2	Transport, extracellular		2000	0	Inf	L	NA	intercompartmental	h[e] + abt_D[e]  <=> h[c] + abt_D[c] 
ADRNCOAtx	Transport, peroxisomal		0	10	0	H	NA	intercompartmental	adrncoa[c]  <=> adrncoa[x] 
AHCYSte	Transport, extracellular		40	20	2	L	NA	intercompartmental	ahcys[e]  <=> ahcys[c] 
AMETt	Transport, extracellular		40	20	2	L	NA	intercompartmental	amet[c]  <=> amet[e] 
APAT2rm	Beta-Alanine metabolism	18.1 or 18.2	489.454005199953	36.6666666666667	13.3487455963623	L	NA	[m]	akg[m] + ala_B[m]  <=> glu_L[m] + msa[m] 
BALAtmr	Transport, mitochondrial		489.454005199953	36.6666666666667	13.3487455963623	L	NA	intercompartmental	ala_B[c]  <=> ala_B[m] 
C161CPT2	Fatty acid oxidation	1376.1	2000	418.333333333333	4.78087649402391	L	carnitine shuttle	[m]	coa[m] + hdcecrn[m]  <=> crn[m] + hdcoa[m] 
DCSPTN1COAtx	Transport, peroxisomal		0	10	0	H	NA	intercompartmental	dcsptn1coa[c]  <=> dcsptn1coa[x] 
DCSPTN1CPT1	Fatty acid oxidation	1375.1 or 1375.3 or 1375.4 or 126129.1 or 1374.1 or 1375.2	0	10	0	H	carnitine shuttle	[c]	crn[c] + dcsptn1coa[c]  <=> coa[c] + dcsptn1crn[c] 
DCSPTN1CPT2	Fatty acid oxidation	1376.1	0	10	0	H	carnitine shuttle	[m]	coa[m] + dcsptn1crn[m]  <=> crn[m] + dcsptn1coa[m] 
EX_ala_B[e]	Exchange/demand reaction		489.454005199951	36.6666666666666	13.3487455963623	L	NA	[e]	ala_B[e]  -> 
EX_dcsptn1[e]	Exchange/demand reaction		0	10	0	H	NA	[e]	dcsptn1[e]  -> 
EX_mlthf[e]	Exchange/demand reaction		20	0	Inf	L	NA	[e]	mlthf[e]  -> 
FAOXC122x	Fatty acid oxidation	1962.1 or 10455.1	0	10	0	H	betaoxidation	[x]	3ddecdicoa[x]  -> 2ddecdicoa[x] 
FAOXC142C122x	Fatty acid oxidation	51.1 and 1962.1 and 3295.1 and 30.1	0	10	0	H	betaoxidation	[x]	nad[x] + coa[x] + o2[x] + h2o[x] + tetdecdicoa[x]  -> h[x] + nadh[x] + accoa[x] + h2o2[x] + 3ddecdicoa[x] 
FAOXC163C142x	Fatty acid oxidation	1962.1 and 3295.1 and 30.1	0	10	0	H	betaoxidation	[x]	nad[x] + coa[x] + h2o[x] + 2hexdtricoa[x]  -> h[x] + nadh[x] + accoa[x] + tetdecdicoa[x] 
FAOXC163C164x	Fatty acid oxidation	51.1	0	10	0	H	betaoxidation	[x]	o2[x] + 4hexdtricoa[x]  -> h2o2[x] + hexdectecoa[x] 
FAOXC163x	Fatty acid oxidation	1962.1 or 10455.1	0	10	0	H	betaoxidation	[x]	3hexdtricoa[x]  -> 2hexdtricoa[x] 
FAOXC164C163x	Fatty acid oxidation	26063.1	0	10	0	H	betaoxidation	[x]	h[x] + nadph[x] + hexdectecoa[x]  -> nadp[x] + 3hexdtricoa[x] 
FAOXC184C163m	Fatty acid oxidation	3030.1 and 3032.1	0	10	0	H	betaoxidation	[m]	h2o[m] + nad[m] + coa[m] + 2octdectecoa[m]  -> h[m] + nadh[m] + accoa[m] + 4hexdtricoa[m] 
FAOXC184C163x	Fatty acid oxidation	1962.1 and 3295.1 and 30.1	0	10	0	H	betaoxidation	[x]	nad[x] + coa[x] + h2o[x] + 2octdectecoa[x]  -> h[x] + nadh[x] + accoa[x] + 4hexdtricoa[x] 
FAOXC184m	Fatty acid oxidation	1632.1	0	10	0	H	betaoxidation	[m]	3octdectecoa[m]  -> 2octdectecoa[m] 
FAOXC184x	Fatty acid oxidation	1962.1 or 10455.1	0	10	0	H	betaoxidation	[x]	3octdectecoa[x]  -> 2octdectecoa[x] 
