subSystem	n.x	n.y	p.val	p.val.fdr
Fatty acid synthesis	1	185	0.998932550832184	0.998932550832184
Transport, extracellular	28	1223	0.99841982040859	0.998932550832184
Eicosanoid metabolism	1	51	0.844783633803163	0.916793195486704
Glycerophospholipid metabolism	1	53	0.855770300455375	0.916793195486704
Miscellaneous	2	95	0.859493620768785	0.916793195486704
Transport, peroxisomal	2	87	0.823771747781249	0.916793195486704
Inositol phosphate metabolism	1	30	0.665035514881354	0.820584560651116
Methionine and cysteine metabolism	1	28	0.639631459241791	0.820584560651116
Pentose phosphate pathway	1	27	0.626219576015518	0.820584560651116
Peptide metabolism	8	241	0.636149380927921	0.820584560651116
Exchange/demand reaction	33	976	0.666724955529032	0.820584560651116
Exchange	1	20	0.517360577882305	0.788358975820655
Bile acid synthesis	2	41	0.433459610429304	0.693535376686886
Nucleotide interconversion	6	137	0.3643957623016	0.613719178613222
Pyrimidine synthesis	1	11	0.329905747725464	0.586499107067491
Glutamate metabolism	1	10	0.30504580063325	0.574203860015529
Phosphatidylinositol phosphate metabolism	2	31	0.304267343104642	0.574203860015529
Heme synthesis	1	8	0.252539789383076	0.538751550683896
Valine, leucine, and isoleucine metabolism	2	26	0.237306066316348	0.538751550683896
Alanine and aspartate metabolism	1	5	0.166291513290749	0.451380729714183
Oxidative phosphorylation	1	3	0.103361882645337	0.451380729714183
Taurine and hypotaurine metabolism	1	4	0.135396170859624	0.451380729714183
Folate metabolism	3	39	0.161449970607232	0.451380729714183
Tyrosine metabolism	3	33	0.112060762455745	0.451380729714183
Transport, lysosomal	4	61	0.17247873837836	0.451380729714183
Transport, endoplasmic reticular	6	107	0.182515071807058	0.451380729714183
Transport, mitochondrial	11	226	0.183373421446387	0.451380729714183
Ubiquinone synthesis	1	1	0.0357078772653867	0.247751041281928
Tetrahydrobiopterin metabolism	2	9	0.0387111002003012	0.247751041281928
Purine catabolism	4	22	0.00695922560874896	0.0742317398266556
Pyruvate metabolism	5	19	0.000426403717867759	0.00682245948588414
Fatty acid oxidation	62	776	1.50913758063759e-10	4.82924025804029e-09
