rxnList	subSystem	GPR	Fluxspan_a	Fluxspan_b	FluxSpanRatio	Flux	MetabolicUnits	Localization	RxnFormula
5AOPtm	Heme synthesis		241.75	115	2.10217391304348	L	NA	intercompartmental	5aop[c]  <=> 5aop[m] 
ACACT4p	Fatty acid oxidation	30.1	42	25	1.68	L	betaoxidation	[x]	coa[x] + 3odcoa[x]  -> accoa[x] + occoa[x] 
EX_chol[e]	Exchange/demand reaction		0	36.6666666666667	0	H	NA	[e]	chol[e]  <=> 
EX_gly[e]	Exchange/demand reaction		293.888888888889	115	2.55555555555556	L	NA	[e]	gly[e]  <=> 
EX_glypro[e]	Exchange/demand reaction		195	20	9.75	L	NA	[e]	glypro[e]  -> 
EX_lnlc[e]	Exchange/demand reaction		20	37.5	0.533333333333333	H	NA	[e]	lnlc[e]  -> 
EX_na1[e]	Exchange		0	10	0	H	NA	[e]	na1[e]  <=> 
FAOXC101x	Fatty acid oxidation	1962.1 or 10455.1	42	21.4285714285714	1.96	L	betaoxidation	[x]	dece3coa[x]  -> dc2coa[x] 
GK1	Nucleotide interconversion	2987.1	367.433333333333	738.150462962963	0.497775659258469	H	purine synthesis, cytosol	[c]	atp[c] + gmp[c]  <=> adp[c] + gdp[c] 
GLYPROPRO1c	Transport, extracellular	5184.1	195	20	9.75	L	peptide metabolism, Leucylleucine, cytosol	[c]	h2o[c] + glypro[c]  <=> gly[c] + pro_L[c] 
GLYPROt	Transport, extracellular		195	20	9.75	L	NA	intercompartmental	glypro[c]  <=> glypro[e] 
HMR_3322	Fatty acid oxidation	1666.1 or 26063.1	42	21.4285714285714	1.96	L	NA	[x]	h[x] + nadh[x] + dec24dicoa[x]  -> nad[x] + dece3coa[x] 
HMR_6515	Methionine and cysteine metabolism	4357.1 or 7263.1	0	10	0	H	NA	[c]	so3[c] + mercppyr[c]  -> pyr[c] + tsul[c] 
PPAm	Oxidative phosphorylation	27068.4 or 27068.1 or 27068.3 or 27068.2	390.886549707602	251.171497584541	1.55625360945278	L	NA	[m]	h2o[m] + ppi[m]  -> h[m] + 2 pi[m] 
