subSystem	n.x	n.y	p.val	p.val.fdr
Miscellaneous	1	102	0.890466775814106	0.999693227998858
Nucleotide interconversion	1	131	0.942014607319348	0.999693227998858
Transport, peroxisomal	1	84	0.83771165562015	0.999693227998858
Peptide metabolism	3	242	0.894684053672777	0.999693227998858
Fatty acid oxidation	7	803	0.998992200799226	0.999693227998858
Transport, extracellular	14	1327	0.999693227998858	0.999693227998858
Fatty acid synthesis	3	188	0.769400146063293	0.989228759224233
Transport, nuclear	1	47	0.637285518260069	0.860335449651093
Tyrosine metabolism	1	40	0.577924298285544	0.82126084493209
Bile acid synthesis	1	36	0.539776487936089	0.809664731904134
Transport, endoplasmic reticular	3	113	0.433082231981863	0.687836486088842
Exchange/demand reaction	22	980	0.426210755873702	0.687836486088842
Citric acid cycle	1	19	0.335667789621213	0.604202021318184
Pyrimidine catabolism	1	18	0.321190251117352	0.604202021318184
NAD metabolism	1	13	0.243972707665744	0.50671254669039
Folate metabolism	2	41	0.216478255380901	0.487076074607027
Alanine and aspartate metabolism	1	5	0.101917859451068	0.250162018652622
Inositol phosphate metabolism	3	45	0.0698232675432387	0.188522822366745
Aminosugar metabolism	2	17	0.0495289013354342	0.148586704006303
Lysine metabolism	2	16	0.0443055419433487	0.148586704006303
Transport, mitochondrial	10	240	0.0309939114949106	0.119547944337512
O-glycan metabolism	2	5	0.00430023547835814	0.0193510596526116
Methionine and cysteine metabolism	4	29	0.00306378975034387	0.0165444646518569
Transport, golgi apparatus	5	43	0.00202047036920368	0.0136381749921248
Transport, lysosomal	7	54	0.000128073524628439	0.00115266172165595
Eicosanoid metabolism	7	50	7.75039409645733e-05	0.00104630320302174
Keratan sulfate degradation	18	60	9.8371443375517e-17	2.65602897113896e-15
