rxnList	subSystem	GPR	Fluxspan_a	Fluxspan_b	FluxSpanRatio	Flux	MetabolicUnits	Localization	RxnFormula
ACGAM2E	Aminosugar metabolism	5973.1	0	34.6868070953437	0	H	NA	[c]	acgam[c]  <=> acmana[c] 
ACGAMPM	Aminosugar metabolism	5238.1	0	34.6868070953437	0	H	amino sugar metabolism	[c]	acgam6p[c]  <=> acgam1p[c] 
ACGPID	Phosphatidylinositol phosphate metabolism	9487.1	0	8.33333333333333	0	H	NA	[c]	h2o[c] + acgpail_hs[c]  -> ac[c] + gpail_hs[c] 
ACNMLr	Aminosugar metabolism		0	34.6868070953437	0	H	NA	[c]	acnam[c]  <=> pyr[c] + acmana[c] 
BMTer_U	Phosphatidylinositol phosphate metabolism	9488.1	0	8.33333333333333	0	H	NA	[r]	memgacpail_hs[r] + 0.1 dolmanp_U[r]  -> h[r] + m2emgacpail_hs[r] + 0.1 dolp_U[r] 
DOLMANP_Uter	N-glycan synthesis		0	25	0	H	NA	intercompartmental	0.1 dolmanp_U[c]  -> 0.1 dolmanp_U[r] 
DOLPMT3_Uer	N-glycan synthesis	79087.1	0	25	0	H	NA	[c]	gdpmann[c] + 0.1 dolp_U[c]  -> gdp[c] + 0.1 dolmanp_U[c] 
DOLPMT4_Uer	N-glycan synthesis		0	25	0	H	NA	intercompartmental	0.1 dolp_U[r]  -> 0.1 dolp_U[c] 
GALASE16ly	Keratan sulfate degradation	(5476.1 and 2720.1 and 2588.1 and 4758.1) or (5476.1 and 2720.1)	0	7.6532640269072	0	H	NA	[l]	2 h2o[l] + ksii_core2_deg2[l]  -> 2 gal[l] + ksii_core2_deg3[l] 
GALASE17ly	Keratan sulfate degradation	(5476.1 and 2720.1 and 2588.1 and 4758.1) or (5476.1 and 2720.1)	0	7.6532640269072	0	H	NA	[l]	h2o[l] + ksii_core2_deg5[l]  -> gal[l] + ksii_core2_deg6[l] 
