del_rxnID_KO	mta_score	alt_score	subSystem	GPR	MetabolicUnits	Localization
10FTHF7GLUtl	0.0682788163743397	0.00223612863150723	Transport, lysosomal		NA	intercompartmental
10FTHFtl	0.0682788163743397	0.00223612863150723	Transport, lysosomal		NA	intercompartmental
10FTHFtm	-0.00813285811549571	-0.275241638373356	Transport, mitochondrial		NA	intercompartmental
13DAMPPOX	0.102595683616437	0.00266046046092673	Beta-Alanine metabolism	8639.1 or 26.1 or 314.2 or 314.1	NA	[c]
2HBO	0.0712845907509024	0.00224705957447406	Propanoate metabolism	92483.1 or 3948.2 or 55293.1 or (3945.1 and 3939.1) or 3939.1 or 160287.1 or 3945.1 or 3948.1	NA	[c]
2HBt2	0.0148502494307565	-0.140234354426095	Transport, extracellular	9123.1 or 9194.1 or 6566.1	NA	intercompartmental
2HCO3_NAt	0.00275615220859733	-0.412387680461927	Transport, extracellular	57835.3 or 8671.1 or 57835.2 or 57835.1 or 57835.4	NA	intercompartmental
2OXOADOXm	0.0905844583894073	0.00254924931619569	Lysine metabolism	(4967.2 and 1738.1 and 8050.1 and 1743.1) or (4967.1 and 1738.1 and 8050.1 and 1743.1)	lysine metabolism	[m]
2OXOADPTm	0.0255600856480821	0.000292671878442693	Tryptophan metabolism	89874.1	NA	intercompartmental
34DHOXPEGOX	0.102595683616826	0.00266046046093338	Tyrosine metabolism	130.1 or 127.1 or (125.1 and 124.1) or 131.1 or (126.1 and 124.1) or 128.1 or 137872.1 or (125.1 and 126.1)	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]
34DHOXPEGt	0.102595683616826	0.00266046046093338	Transport, extracellular		tyrosine metabolism, cytosol/ degradation of catechoamines	intercompartmental
34DHPHAMT	0.0486949861557012	0.00240866897895724	Tyrosine metabolism	1312.1 or 1312.2	NA	[c]
34DHPHEt	0.102595683598703	0.00266046046074798	Transport, extracellular	117247.1	NA	intercompartmental
34DHPLACOX	0.01589465278821	-0.0706103286919792	Tyrosine metabolism	218.1 or 222.1 or 220.1 or 221.1	NA	[c]
34DHPLACOX_NADP_	0.0138147025678738	-0.0907611346136917	Tyrosine metabolism	222.1 or 221.1 or 218.1	NA	[c]
34DHXMANDACOX_NADP_	0.102595683616826	0.00266046046093338	Tyrosine metabolism	221.1 or 222.1	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]
