del_rxnID_KO	mta_score	alt_score	subSystem	GPR	MetabolicUnits	Localization
10FTHF7GLUtl	0.0542486304851727	0.00284410103862319	Transport, lysosomal		NA	intercompartmental
10FTHFtl	0.0542486304851727	0.00284410103862319	Transport, lysosomal		NA	intercompartmental
10FTHFtm	0.0113076223449871	-0.895307652493375	Transport, mitochondrial		NA	intercompartmental
13DAMPPOX	0.0907011336395575	0.00331924965881838	Beta-Alanine metabolism	8639.1 or 26.1 or 314.2 or 314.1	NA	[c]
2HBO	0.0916516672232719	0.00332354751742076	Propanoate metabolism	92483.1 or 3948.2 or 55293.1 or (3945.1 and 3939.1) or 3939.1 or 160287.1 or 3945.1 or 3948.1	NA	[c]
2HBt2	0.278967532351602	3.24125955679198	Transport, extracellular	9123.1 or 9194.1 or 6566.1	NA	intercompartmental
2HCO3_NAt	-0.00633911490621071	-0.037939657900701	Transport, extracellular	57835.3 or 8671.1 or 57835.2 or 57835.1 or 57835.4	NA	intercompartmental
2MCITt	0.0562913814003919	0.00249617387780082	Transport, extracellular		NA	intercompartmental
2OXOADOXm	0.0872661342805071	0.00329966881647858	Lysine metabolism	(4967.2 and 1738.1 and 8050.1 and 1743.1) or (4967.1 and 1738.1 and 8050.1 and 1743.1)	lysine metabolism	[m]
2OXOADPTm	0.0409969039070108	0.00271501713615177	Tryptophan metabolism	89874.1	NA	intercompartmental
34DHOXPEGOX	0.0916516672272247	0.00332354751757369	Tyrosine metabolism	130.1 or 127.1 or (125.1 and 124.1) or 131.1 or (126.1 and 124.1) or 128.1 or 137872.1 or (125.1 and 126.1)	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]
34DHOXPEGt	0.0916516672272247	0.00332354751757369	Transport, extracellular		tyrosine metabolism, cytosol/ degradation of catechoamines	intercompartmental
34DHPHAMT	0.0905569991695982	0.00330980001473726	Tyrosine metabolism	1312.1 or 1312.2	NA	[c]
34DHPHEt	0.0916516672265432	0.00332354751753712	Transport, extracellular	117247.1	NA	intercompartmental
34DHPLACOX	0.0438974810095707	0.0901211183400205	Tyrosine metabolism	218.1 or 222.1 or 220.1 or 221.1	NA	[c]
34DHPLACOX_NADP_	0.041986728253364	0.0811148491124682	Tyrosine metabolism	222.1 or 221.1 or 218.1	NA	[c]
34DHXMANDACOX_NADP_	0.0916516672272247	0.00332354751757369	Tyrosine metabolism	221.1 or 222.1	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]
