del_rxnID_KO	mta_score	alt_score	subSystem	GPR	MetabolicUnits	Localization
10FTHF6GLUtm	0.0584704896741402	0.00235093848907319	Transport, mitochondrial		NA	intercompartmental
10FTHF7GLUtl	0.0584704896741402	0.00235093848907319	Transport, lysosomal		NA	intercompartmental
10FTHFtl	0.0584704896741402	0.00235093848907319	Transport, lysosomal		NA	intercompartmental
10FTHFtm	0.0578165619485174	2.5770431482713	Transport, mitochondrial		NA	intercompartmental
13DAMPPOX	0.0901096618630776	0.00245581797186465	Beta-Alanine metabolism	8639.1 or 26.1 or 314.2 or 314.1	NA	[c]
2HBO	0.0692592134387547	0.00217951949832605	Propanoate metabolism	92483.1 or 3948.2 or 55293.1 or (3945.1 and 3939.1) or 3939.1 or 160287.1 or 3945.1 or 3948.1	NA	[c]
2HBt2	0.010527722609791	-0.303838915963561	Transport, extracellular	9123.1 or 9194.1 or 6566.1	NA	intercompartmental
2HCO3_NAt	0.00143833485246675	-0.287928372690625	Transport, extracellular	57835.3 or 8671.1 or 57835.2 or 57835.1 or 57835.4	NA	intercompartmental
2MCITt	0.0434707570452536	0.00193159718396688	Transport, extracellular		NA	intercompartmental
2OXOADOXm	0.0901096618710424	0.00245581797193476	Lysine metabolism	(4967.2 and 1738.1 and 8050.1 and 1743.1) or (4967.1 and 1738.1 and 8050.1 and 1743.1)	lysine metabolism	[m]
2OXOADPTm	0.0901096618726605	0.00245581797196158	Tryptophan metabolism	89874.1	NA	intercompartmental
34DHPHAMT	0.0365506887519149	0.00155716712178214	Tyrosine metabolism	1312.1 or 1312.2	NA	[c]
34DHPHEt	0.0901096600914955	0.00245581798421544	Transport, extracellular	117247.1	NA	intercompartmental
34DHPLACOX	0.0138382450727616	-0.0842874448758493	Tyrosine metabolism	218.1 or 222.1 or 220.1 or 221.1	NA	[c]
34DHPLACOX_NADP_	0.0133079495410702	-0.0912417602414682	Tyrosine metabolism	222.1 or 221.1 or 218.1	NA	[c]
34DHXMANDACOX	0.0138717323564361	-0.133058354427312	Tyrosine metabolism	221.1 or 218.1 or 220.1	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]
34DHXMANDACOX_NADP_	0.0138717323564361	-0.133058354427312	Tyrosine metabolism	221.1 or 222.1	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]
34HPLFM	0.00275250568546078	-0.00273619541064532	Ubiquinone synthesis		NA	[m]
35CGMPtn	0.0596388535216412	0.00205594536059066	Transport, nuclear		NA	intercompartmental
3AIBTm	0.042853295621472	0.00185988637023786	Valine, leucine, and isoleucine metabolism	18.1 or 18.2	3-aminoisobutyrate transaminase, mitochondria	[m]
3AIBtmi	0.042853295621472	0.00185988637023786	Transport, mitochondrial	18.1 or 18.2	NA	intercompartmental
3DSPHR	0.089151985529914	0.00244702815482964	Sphingolipid metabolism	2531.1	new to recon	[c]
3HBCDm	0.0901096618621837	0.00245581797183582	Butanoate metabolism	55268.1	lysine metabolism	[m]
3HBCOAHLm	0.0676150073275063	0.00387100527395659	Valine, leucine, and isoleucine metabolism		valine metabolism	[m]
3M4HDXPAC	0.0901096619552047	0.00245581797654821	Tyrosine metabolism	218.1 or 221.1 or 222.1 or 220.1	NA	[c]
3MOBt2im	0.0216031287335521	0.0099437046523648	Transport, mitochondrial		NA	intercompartmental
3MOPt2im	0.0193976762002226	-0.0135451906420665	Transport, mitochondrial		NA	intercompartmental
3MOX4HOXPGALDOX	0.0140998175439854	-0.0671918099029566	Tyrosine metabolism	222.1 or 220.1 or 221.1 or 218.1	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]
3MOX4HOXPGALDOX_NADP_	0.0140998175439854	-0.0671918099029566	Tyrosine metabolism	222.1 or 220.1 or 221.1 or 218.1	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]
3MOXTYROX	0.0901096619552047	0.00245581797654821	Tyrosine metabolism	4128.1 or 4129.1	NA	[c]
3SALAASPm	0.0129174025093408	-0.0525025444574895	Transport, mitochondrial	10165.1 or 8604.1	NA	intercompartmental
3SALATAi	0.090109661866232	0.00245581797192101	Methionine and cysteine metabolism	2805.1	cysteine metabolism	[c]
3SALATAim	0.0901096618633069	0.00245581797186949	Methionine and cysteine metabolism	2806.1	NA	[m]
3SPYRSP	0.090109661866232	0.00245581797192101	Methionine and cysteine metabolism		cysteine metabolism	[c]
3SPYRSPm	0.0901096618633069	0.00245581797186949	Methionine and cysteine metabolism		NA	[m]
4ABUTtm	0.0154185260965795	-0.0275397834435809	Transport, mitochondrial		NA	intercompartmental
4HGLSDm	0.332534328193215	3.35549073385728	Arginine and proline metabolism	8659.1 or 8659.2	NA	[m]
4HOXPACDOX_NADP_	0.0901096618702686	0.00245581797191192	Tyrosine metabolism	222.1 or 220.1 or 221.1 or 218.1	NA	[c]
4MOPt2im	0.0126301051908575	-0.185358029218026	Transport, mitochondrial		NA	intercompartmental
5ADTSTSTERONESte	0.0901096618702686	0.00245581797191192	Transport, extracellular		NA	intercompartmental
5ADTSTSTERONEte	0.0901096618702686	0.00245581797191192	Transport, extracellular		NA	intercompartmental
5AOPtm	0.0338060269448728	0.00219898020065801	Heme synthesis		NA	intercompartmental
5FTHFt2	0.0901096618702686	0.00245581797191192	Transport, extracellular	6573.1 or 6573.2	NA	intercompartmental
5MTHFt	0.00105220167095509	-0.718209054648734	Transport, extracellular	2348.5 or 2348.3 or 2348.1 or 2348.6 or 2352.1 or 2348.4 or 2348.2	NA	intercompartmental
5MTHFt2	0.00465283964213736	-0.361115227492659	Transport, extracellular	6573.1 or 6573.2	NA	intercompartmental
5THFtm	0.0516976413585732	0.00268101567938838	Transport, mitochondrial		NA	intercompartmental
7DHCHSTEROLtr	0.014957499033844	-0.0038901204505656	Transport, endoplasmic reticular		NA	intercompartmental
7DHFtl	0.045574481493817	0.00218532895812755	Transport, lysosomal		NA	intercompartmental
7THFtl	0.0524504485522192	0.00197979583660082	Transport, lysosomal		NA	intercompartmental
A_MANASEly	0.0901096618704747	0.00245581797185429	N-glycan degradation	4125.1	NA	[l]
A4GALTg	0.0901096618670079	0.00245581797194696	Sphingolipid metabolism	53947.1	NA	[g]
AATAi	0.0901096618702686	0.00245581797191192	Lysine metabolism	51166.1 or 51166.2	NA	[c]
ABO9g	0.0901096618878803	0.00245581797206021	Blood group synthesis	28.1	NA	[g]
ABTArm	0.0154185260965795	-0.0275397834435809	Glutamate metabolism	18.1 or 18.2	GABA aminotransferase	[m]
ABTD	0.0901096618702686	0.00245581797191192	Pentose phosphate pathway		NA	[c]
ABUTt2rL	0.026119019929066	0.00529996184280169	Transport, lysosomal	206358.1	NA	intercompartmental
ABUTt4_2_r	-0.0631241108376447	-2.86026731054891	Transport, extracellular	6529.1 or 6538.1 or 6540.1 or 6539.1	NA	intercompartmental
ACACT10m	0.0743518245088553	0.00258964385800868	Valine, leucine, and isoleucine metabolism	38.1 or 3032.1 or 10449.1	isoleucine metabolism	[m]
ACACT1rm	0.0285142100691132	0.0656564588381101	Tryptophan metabolism	(3030.1 and 3032.1) or 38.1	NA	[m]
ACACT1x	0.0732597879342659	0.00243176325656241	Cholesterol metabolism	39.1	NA	[x]
ACACt2m	0.0249975539575882	0.00879815981940654	Transport, mitochondrial	6566.1	NA	intercompartmental
ACACT4p	-0.030890500051824	-0.0747493368506928	Fatty acid oxidation	30.1	betaoxidation	[x]
ACACT5p	0.089995698228361	0.00245155577604226	Fatty acid oxidation	30.1	betaoxidation	[x]
ACACT6p	0.0899956982455742	0.00245155577608507	Fatty acid oxidation	30.1	betaoxidation	[x]
ACACT7p	0.0899956982455742	0.00245155577608507	Fatty acid oxidation	30.1	betaoxidation	[x]
ACACT8p	-0.00272102816980027	-0.00478769396414537	Fatty acid oxidation	30.1	betaoxidation	[x]
ACACT9p	0.0901096616552842	0.00245581797406494	Fatty acid oxidation	30.1	betaoxidation	[x]
ACACtx	0.00567955722992759	-0.0309270020024174	Transport, peroxisomal		NA	intercompartmental
ACALDtm	0.0901096618702686	0.00245581797191192	Transport, mitochondrial		NA	intercompartmental
ACCOACm	0.0258845685466756	0.031654194628044	Fatty acid oxidation	32.1	fatty acid synthesis & elongation	[m]
ACCOAtn	0.000180574639415507	-0.479375206704476	Transport, nuclear		NA	intercompartmental
ACCOAtr	0.00518316386819623	-0.356095132255332	Transport, endoplasmic reticular	9197.1	NA	intercompartmental
ACETONEt2	0.017410119079633	-0.031936785851769	Transport, extracellular	6566.1 or 9123.1 or 9194.1	NA	intercompartmental
ACETONEt2m	0.017410119079633	-0.031936785851769	Transport, mitochondrial	6566.1	NA	intercompartmental
ACGALK	0.084972689745082	0.00371761908675587	Aminosugar metabolism		NA	[c]
ACGALtly	0.0783796570673153	0.00240033387302598	Transport, lysosomal		NA	intercompartmental
ACGAM6PSi	0.0177594545640607	-0.00161300900330319	Aminosugar metabolism	64841.1	amino sugar metabolism	[c]
ACGAMPM	0.0901096618586503	0.00245581797185726	Aminosugar metabolism	5238.1	amino sugar metabolism	[c]
ACGAMtly	0.000181065234320535	-0.360676526619547	Transport, lysosomal		NA	intercompartmental
ACGPID	0.0901096618630725	0.00245581797185345	Phosphatidylinositol phosphate metabolism	9487.1	NA	[c]
ACHtn	0.000180574639415507	-0.479375206704476	Transport, nuclear		NA	intercompartmental
ACN13ACNGALGBSIDEte	0.0901096618670079	0.00245581797194696	Transport, extracellular		NA	intercompartmental
ACN13ACNGALGBSIDEtg	0.0901096618670079	0.00245581797194696	Transport, golgi apparatus		NA	intercompartmental
ACNACNGAL14ACGLCGALGLUSIDEte	0.0901096618729363	0.00245581797198313	Transport, extracellular		NA	intercompartmental
ACNACNGAL14ACGLCGALGLUSIDEtg	0.0901096618370558	0.00245581797179261	Transport, golgi apparatus		NA	intercompartmental
ACNAMlt	0.0901096618632234	0.00245581797186081	Transport, lysosomal	26503.1	NA	intercompartmental
