del_rxnID_KO	mta_score	alt_score	subSystem	GPR	MetabolicUnits	Localization
10FTHF7GLUtl	0.29537730341139	0.424606063947726	Transport, lysosomal		NA	intercompartmental
10FTHF7GLUtm	0.29537730341139	0.424606063947726	Transport, mitochondrial		NA	intercompartmental
10FTHFtl	0.29537730341139	0.424606063947726	Transport, lysosomal		NA	intercompartmental
10FTHFtm	0.0080769934270815	-1.29152050444051	Transport, mitochondrial		NA	intercompartmental
13DAMPPOX	0.299606680519788	0.425114556442965	Beta-Alanine metabolism	8639.1 or 26.1 or 314.2 or 314.1	NA	[c]
2DR1PP	0.29955061056637	0.42520404322141	Pyrimidine catabolism		pyrimidine catabolism, cytosol	[c]
2HBO	0.29048901123908	0.422234510293554	Propanoate metabolism	92483.1 or 3948.2 or 55293.1 or (3945.1 and 3939.1) or 3939.1 or 160287.1 or 3945.1 or 3948.1	NA	[c]
2HBt2	0.154523924949887	0.912278773765038	Transport, extracellular	9123.1 or 9194.1 or 6566.1	NA	intercompartmental
2HCO3_NAt	0.335363830092192	0.797436462524852	Transport, extracellular	57835.3 or 8671.1 or 57835.2 or 57835.1 or 57835.4	NA	intercompartmental
2OXOADOXm	0.298634339103011	0.424797252015678	Lysine metabolism	(4967.2 and 1738.1 and 8050.1 and 1743.1) or (4967.1 and 1738.1 and 8050.1 and 1743.1)	lysine metabolism	[m]
2OXOADPTm	0.272801762837054	0.421443776560374	Tryptophan metabolism	89874.1	NA	intercompartmental
34DHOXPEGOX	0.299606680519962	0.425114556442427	Tyrosine metabolism	130.1 or 127.1 or (125.1 and 124.1) or 131.1 or (126.1 and 124.1) or 128.1 or 137872.1 or (125.1 and 126.1)	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]
34DHOXPEGt	0.299606680519962	0.425114556442427	Transport, extracellular		tyrosine metabolism, cytosol/ degradation of catechoamines	intercompartmental
34DHPHAMT	0.299606680524874	0.42511455644331	Tyrosine metabolism	1312.1 or 1312.2	NA	[c]
34DHPHEt	0.299606680520593	0.425114556442532	Transport, extracellular	117247.1	NA	intercompartmental
34DHPLACOX	0.0265714926692791	-0.00841842786743002	Tyrosine metabolism	218.1 or 222.1 or 220.1 or 221.1	NA	[c]
34DHPLACOX_NADP_	0.0265714926692791	-0.00841842786743002	Tyrosine metabolism	222.1 or 221.1 or 218.1	NA	[c]
34DHXMANDACOX_NADP_	0.299606680519962	0.425114556442427	Tyrosine metabolism	221.1 or 222.1	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]
34HPLFM	0.291233205240064	0.42588648912138	Ubiquinone synthesis		NA	[m]
3AIBTm	0.286919491655938	0.423714851612534	Valine, leucine, and isoleucine metabolism	18.1 or 18.2	3-aminoisobutyrate transaminase, mitochondria	[m]
3AIBtmi	0.286919491655938	0.423714851612534	Transport, mitochondrial	18.1 or 18.2	NA	intercompartmental
3DSPHR	0.299606680519958	0.425114556442423	Sphingolipid metabolism	2531.1	new to recon	[c]
3HBCDm	0.299606680519949	0.425114556442447	Butanoate metabolism	55268.1	lysine metabolism	[m]
3HBCOAHLm	0.298211913456551	0.429817254244886	Valine, leucine, and isoleucine metabolism		valine metabolism	[m]
3MOBt2im	0.220120194488877	0.404119932556336	Transport, mitochondrial		NA	intercompartmental
3MOX4HOXPGALDOX	0.0165946394226752	-0.278875219516047	Tyrosine metabolism	222.1 or 220.1 or 221.1 or 218.1	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]
3MOX4HOXPGALDOX_NADP_	0.0165946394226752	-0.278875219516047	Tyrosine metabolism	222.1 or 220.1 or 221.1 or 218.1	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]
3SALAASPm	0.260123429947897	0.414828834814043	Transport, mitochondrial	10165.1 or 8604.1	NA	intercompartmental
3SALATAi	0.299606680520456	0.425114556442521	Methionine and cysteine metabolism	2805.1	cysteine metabolism	[c]
3SALATAim	0.299606680519925	0.425114556442417	Methionine and cysteine metabolism	2806.1	NA	[m]
3SPYRSP	0.299606680520456	0.425114556442521	Methionine and cysteine metabolism		cysteine metabolism	[c]
3SPYRSPm	0.299606680519925	0.425114556442417	Methionine and cysteine metabolism		NA	[m]
4ABUTtm	0.247348004168074	0.40202080241437	Transport, mitochondrial		NA	intercompartmental
4HGLSDm	0.0579600273737184	0.232912675710169	Arginine and proline metabolism	8659.1 or 8659.2	NA	[m]
4HOXPACDOX_NADP_	0.0887538000975471	0.360667632287324	Tyrosine metabolism	222.1 or 220.1 or 221.1 or 218.1	NA	[c]
4MOPt2im	0.199585429241224	0.396176835732409	Transport, mitochondrial		NA	intercompartmental
5ADTSTSTERONESte	0.29960668051995	0.425114556442456	Transport, extracellular		NA	intercompartmental
5ADTSTSTERONEte	0.29960668051995	0.425114556442456	Transport, extracellular		NA	intercompartmental
5AOPtm	0.26194840912358	0.416219885578661	Heme synthesis		NA	intercompartmental
5MTHFt	0.167572096635057	0.784032048141331	Transport, extracellular	2348.5 or 2348.3 or 2348.1 or 2348.6 or 2352.1 or 2348.4 or 2348.2	NA	intercompartmental
5MTHFt2	0.197329203207862	0.922381707607554	Transport, extracellular	6573.1 or 6573.2	NA	intercompartmental
7DHCHSTEROLtr	0.270057083822027	0.421159769178616	Transport, endoplasmic reticular		NA	intercompartmental
7DHFtl	0.297416759595231	0.424895166310253	Transport, lysosomal		NA	intercompartmental
7DHFtm	0.297416759595231	0.424895166310253	Transport, mitochondrial		NA	intercompartmental
7THFtl	0.295549043962453	0.424231710560429	Transport, lysosomal		NA	intercompartmental
7THFtm	0.294836983878478	0.424746913660838	Transport, mitochondrial		NA	intercompartmental
A_MANASEly	0.29960668052026	0.425114556442494	N-glycan degradation	4125.1	NA	[l]
A4GALTg	0.299606680519919	0.425114556442433	Sphingolipid metabolism	53947.1	NA	[g]
AATAi	0.296931844818959	0.425283629722032	Lysine metabolism	51166.1 or 51166.2	NA	[c]
ABO9g	0.299606680520464	0.425114556442531	Blood group synthesis	28.1	NA	[g]
ABTArm	0.247348004168074	0.40202080241437	Glutamate metabolism	18.1 or 18.2	GABA aminotransferase	[m]
ABTD	0.29960668051995	0.425114556442456	Pentose phosphate pathway		NA	[c]
ABUTt2rL	0.299783972785809	0.425009199747123	Transport, lysosomal	206358.1	NA	intercompartmental
ABUTt4_2_r	-0.0154498268705852	-1.05657937309163	Transport, extracellular	6529.1 or 6538.1 or 6540.1 or 6539.1	NA	intercompartmental
ACACT10m	0.293896132668087	0.423214481132597	Valine, leucine, and isoleucine metabolism	38.1 or 3032.1 or 10449.1	isoleucine metabolism	[m]
ACACT1rm	0.0564960889345113	0.242612886686878	Tryptophan metabolism	(3030.1 and 3032.1) or 38.1	NA	[m]
ACACT1x	0.299318588225065	0.425077150307964	Cholesterol metabolism	39.1	NA	[x]
ACACt2m	0.25418719052494	0.42661696464185	Transport, mitochondrial	6566.1	NA	intercompartmental
ACACT4p	0.156364444730999	0.384731716790425	Fatty acid oxidation	30.1	betaoxidation	[x]
ACACT5p	0.26067695131403	0.418550690402314	Fatty acid oxidation	30.1	betaoxidation	[x]
ACACT6p	0.299608595617752	0.425114762371927	Fatty acid oxidation	30.1	betaoxidation	[x]
ACACT7p	0.299634497704444	0.425116114456339	Fatty acid oxidation	30.1	betaoxidation	[x]
ACACT8p	0.29128977478405	0.423907854054225	Fatty acid oxidation	30.1	betaoxidation	[x]
ACACT9p	0.299606680519862	0.425114556442502	Fatty acid oxidation	30.1	betaoxidation	[x]
ACACtx	0.149166832384833	0.375837047124652	Transport, peroxisomal		NA	intercompartmental
ACALDtm	0.277946632732545	0.423699114189511	Transport, mitochondrial		NA	intercompartmental
ACCOAtn	0.0293810519430256	0.0441144760933848	Transport, nuclear		NA	intercompartmental
ACCOAtr	0.0140324746177662	-0.556245398134594	Transport, endoplasmic reticular	9197.1	NA	intercompartmental
ACETONEt2	0.0666415822161558	0.248662212092354	Transport, extracellular	6566.1 or 9123.1 or 9194.1	NA	intercompartmental
ACETONEt2m	0.0666415822161558	0.248662212092354	Transport, mitochondrial	6566.1	NA	intercompartmental
ACGALtly	0.29960668052032	0.425114556442423	Transport, lysosomal		NA	intercompartmental
ACGAM6PSi	0.29960668051995	0.425114556442456	Aminosugar metabolism	64841.1	amino sugar metabolism	[c]
ACGAMPM	0.29960668051995	0.425114556442456	Aminosugar metabolism	5238.1	amino sugar metabolism	[c]
ACGAMtly	0.0412226403496582	0.160813422845587	Transport, lysosomal		NA	intercompartmental
ACGPID	0.299606680519917	0.425114556443367	Phosphatidylinositol phosphate metabolism	9487.1	NA	[c]
ACHtn	0.0293810519430256	0.0441144760933848	Transport, nuclear		NA	intercompartmental
ACN23ACNGALGBSIDEte	0.299606680519919	0.425114556442433	Transport, extracellular		NA	intercompartmental
ACN23ACNGALGBSIDEtg	0.299606680519919	0.425114556442433	Transport, golgi apparatus		NA	intercompartmental
ACNACNGAL14ACGLCGALGLUSIDEte	0.299606680519685	0.425114556442388	Transport, extracellular		NA	intercompartmental
ACNACNGAL14ACGLCGALGLUSIDEtg	0.299606680519685	0.425114556442388	Transport, golgi apparatus		NA	intercompartmental
ACNAMlt	0.299606680519988	0.425114556442444	Transport, lysosomal	26503.1	NA	intercompartmental
ACNAMtn	0.295212598406169	0.424471873856919	Transport, nuclear		NA	intercompartmental
ACNGALACGLCGAL14ACGLCGALGLUSIDEte	0.299606680514738	0.425114556444724	Transport, extracellular		NA	intercompartmental
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg	0.299606680520277	0.425114556443209	Transport, golgi apparatus		NA	intercompartmental
ACNMLr	0.299606680519957	0.425114556442453	Aminosugar metabolism		NA	[c]
ACOAD10m	0.276560976430499	0.415268378061116	Valine, leucine, and isoleucine metabolism	36.1 or 34.1	isoleucine metabolism	[m]
ACOAD1fm	0.293372429853972	0.423767011451678	Butanoate metabolism	80724.1 or 36.1 or 35.1 or 34.1 or 84129.1 or 27034.1 or 28976.1	NA	[m]
ACOAD8m	0.299053429627941	0.424910449778383	Valine, leucine, and isoleucine metabolism	3712.1	leucine metabolism	[m]
ACOAD9m	0.293090528887238	0.423395153443529	Valine, leucine, and isoleucine metabolism	34.1 or 27034.1	valine metabolism	[m]
ACOAO7p	0.283041737981324	0.422795573940917	Fatty acid oxidation	51.1 or 51.2	betaoxidation	[x]
ACONTm	0.00789714598813618	-0.396960023472209	Citric acid cycle	50.1 or 48.1	TCA cycle, mitochondria	[m]
ACP1_FMN_	0.297664984578356	0.425848577860349	Vitamin B2 metabolism	52.1 or 52.3 or 52.2 or 55.1 or 51205.1 or 54.1	vitamin b2 metabolism	[c]
ACS2	0.299606680519963	0.425114556442447	Propanoate metabolism	55902.1 or 65985.1 or 55902.2	fatty acid activation, cytosol	[c]
ACt2m	0.264192447116072	0.426756196131663	Transport, mitochondrial		NA	intercompartmental
ACt2r	0.13416296710446	1.4776448553614	Transport, extracellular		NA	intercompartmental
ACtg	0.299606680519948	0.42511455644247	Transport, golgi apparatus		NA	intercompartmental
ADCim	0.0666415822161558	0.248662212092354	Propanoate metabolism		ketogenesis	[m]
ADEt	0.223716195620061	0.41443766563262	Transport, extracellular	3177.1	NA	intercompartmental
ADK1m	0.0166644026162713	-0.125715407291947	Nucleotide interconversion	205.3 or 205.1 or 204.1 or 204.3 or 204.2 or 205.2	adenylate kinase	[m]
ADK3	0.164624005406512	0.384879234706294	Nucleotide interconversion	26289.1 or 26289.2	purine synthesis, cytosol	[c]
ADK3m	0.0516931711110308	0.245893841686403	Nucleotide interconversion	50808.1	purine synthesis, cytosol	[m]
ADNCYC	0.290364048200618	0.415653404833721	Nucleotide interconversion	112.1 or 55811.1 or 109.1 or 112.2 or 114.1 or 108.1 or 113.1 or 107.1 or 196883.1 or 115.1 or 111.1	purine synthesis, cytosol	[c]
ADNK1m	0.295686338265453	0.425380885569701	Nucleotide interconversion		purine synthesis, cytosol	[m]
ADNt	0.210447798335769	0.451870118599784	Transport, extracellular	3177.1 or 2030.1	NA	intercompartmental
ADNtl	0.23410511202237	0.417395688848247	Transport, lysosomal	55315.1	NA	intercompartmental
ADNtm	0.171308017254682	0.390422684550584	Transport, mitochondrial	2030.1	NA	intercompartmental
ADPtx	0.145800852199893	0.38210862401178	Transport, peroxisomal		NA	intercompartmental
ADRNCOAtx	0.299606680519933	0.425114556442431	Transport, peroxisomal		NA	intercompartmental
ADRNCPT1	0.299606680520353	0.425114556442455	Fatty acid oxidation	1375.1 or 1375.3 or 1375.4 or 126129.1 or 1374.1 or 1375.2	carnitine shuttle	[c]
ADRNCPT2	0.299606680521173	0.42511455644285	Fatty acid oxidation	1376.1	carnitine shuttle	[m]
ADRNCRNt	0.0246132663391929	-0.0447647870306011	Fatty acid oxidation	788.1 or 788.1	carnitine shuttle	intercompartmental
ADRNt	0.015263415890664	-0.219024384167626	Transport, extracellular		NA	intercompartmental
ADSK	0.298493770697496	0.425016851063053	Nucleotide interconversion	9060.1 or 9061.1	NA	[c]
ADSL1	0.0704665059434217	0.318894566481569	Nucleotide interconversion	158.1 or 158.2	purine synthesis, cytosol	[c]
ADSL2	0.236915653550067	0.410552335978494	Purine synthesis	158.1 or 158.2	purine synthesis, cytosol	[c]
AG13T16g	0.299606680520306	0.425114556442366	Keratan sulfate synthesis	79369.1 or 10678.1 or 11041.1 or 146712.1 or 374907.1 or 93010.1 or 374907.2 or 10678.2 or 10331.1	NA	[g]
AG13T17g	0.299606680520306	0.425114556442366	Keratan sulfate synthesis	10678.2 or 11041.1 or 10678.1 or 374907.2 or 93010.1 or 374907.1 or 146712.1 or 79369.1 or 10331.1	NA	[g]
AG13T18g	0.299606680520306	0.425114556442366	Keratan sulfate synthesis	10678.2 or 11041.1 or 10678.1 or 374907.2 or 93010.1 or 374907.1 or 146712.1 or 79369.1 or 10331.1	NA	[g]
AG13T1g	0.29960668051993	0.425114556442478	Keratan sulfate synthesis	11041.1 or 10678.1 or 93010.1 or 374907.2 or 374907.1 or 146712.1 or 10331.1 or 10678.2 or 79369.1	NA	[g]
AG13T2g	0.29960668051993	0.425114556442478	Keratan sulfate synthesis	79369.1 or 374907.1 or 11041.1 or 146712.1 or 374907.2 or 93010.1 or 10331.1 or 10678.1 or 10678.2	NA	[g]
AG13T3g	0.29960668051993	0.425114556442478	Keratan sulfate synthesis	10331.1 or 11041.1 or 374907.2 or 10678.1 or 79369.1 or 374907.1 or 10678.2 or 93010.1 or 146712.1	NA	[g]
AGPAT1	0.298368916917604	0.424860241525498	Triacylglycerol synthesis	10555.1 or 137964.1 or 56895.1 or 56894.2 or 56894.1 or 55326.1 or 10554.1 or 129642.1	triglyceride synthesis, cytosol	[c]
AGTim	0.299606680520481	0.425114556442476	Alanine and aspartate metabolism	64902.1 or 64850.1	NA	[m]
AHCYStr	0.187589785901529	0.401433847869228	Transport, endoplasmic reticular		NA	intercompartmental
AHEXASE2ly	0.29960668051995	0.425114556442456	N-glycan degradation	3073.1 or 3074.1 or (3073.1 and 3074.1)	NA	[l]
AHEXASEly	0.29960668051995	0.425114556442456	N-glycan degradation	3073.1 or 3074.1 or (3073.1 and 3074.1)	NA	[l]
AIRCr	0.236915653550067	0.410552335978494	Purine synthesis	10606.1	purine synthesis, cytosol	[c]
AKGDm	0.232528309579375	0.412869569142576	Citric acid cycle	(4967.2 and 1738.1 and 8050.1 and 1743.1) or (4967.1 and 1738.1 and 8050.1 and 1743.1)	TCA cycle, mitochondria	[m]
AKGMALtm	0.00625943270560775	-0.565741785615425	Transport, mitochondrial	8402.1 or 1468.1	malate-aspartate shuttle	intercompartmental
AKGt4_3	0.0831522508263466	1.88229626057794	Transport, extracellular	64849.1 or 64849.2	NA	intercompartmental
AKGtp	0.00477685930007511	-0.465906129711072	Transport, peroxisomal		NA	intercompartmental
ALADGLNexR	-0.0592890794279047	-0.369181002931687	Transport, extracellular	56301.1 and 6520.1	NA	intercompartmental
ALADGLYexR	0.203748320886444	0.40527622686529	Transport, extracellular	56301.1 and 6520.1	NA	intercompartmental
ALAGLNexR	0.330790333759068	2.2680252682972	Transport, extracellular	6520.1 and 56301.1	NA	intercompartmental
ALAGLYexR	0.654999485563373	6.35125438739257	Transport, extracellular	56301.1 and 6520.1	NA	intercompartmental
ALASm	0.0316597406541604	0.0677827863593758	Glycine, serine, alanine, and threonine metabolism	212.1 or 23464.1 or 211.2 or 211.1	heme synthesis	[m]
ALAt4	-0.197824168993172	-3.56305737488632	Transport, extracellular	54407.1 or 6542.1 or 11254.1 or 6541.1 or 81539.1 or 55089.1 or 84889.1 or (340024.1 and 57393.1) or (340024.1 and 59272.1)	NA	intercompartmental
ALATA_L	0.118873888443921	0.362946603516708	Glutamate metabolism	2875.1 or 84706.1	alanine transaminase, cytosol	[c]
ALAtN1	0.236421183577523	1.9071892618299	Transport, extracellular	92745.1 or 10991.1	NA	intercompartmental
ALCD21_D	0.019753218436874	-0.168806600313343	Pyruvate metabolism	127.1 or 284273.2 or 125.1 or 128.1 or 131.1 or (125.1 and 124.1) or 124.1 or 130.1 or 137872.1 or (125.1 and 126.1) or (126.1 and 124.1) or 284273.1 or 126.1	NA	[c]
ALCD21_L	0.2996066805197	0.425114556442386	Pyruvate metabolism	130.1 or 125.1 or 125.1 and 124.1 or 128.1 or 126.1 or 284273.2 or 137872.1 or 127.1 or 124.1 or (126.1 and 124.1) or 284273.1 or (125.1 and 126.1) or 131.1	NA	[c]
ALCD22_D	0.0968123426204358	0.336787401368699	Pyruvate metabolism	126.1 or 137872.1 or (126.1 and 124.1) or 127.1 or 130.1 or 284273.1 or (125.1 and 124.1) or 128.1 or 124.1 or 125.1 or 284273.2 or 131.1 or (125.1 and 126.1)	NA	[c]
ALCD2yf	0.29960668051995	0.425114556442456	Glycolysis/gluconeogenesis	10327.1 or 10327.2	NA	[c]
ALDD20x	0.299606680519867	0.425114556442356	Tryptophan metabolism	216.1 or 8854.2 or 501.1 or 8854.1 or 223.1 or 224.1 or 8854.3	NA	[c]
ALDD20xm	0.299606680519867	0.425114556442356	Tryptophan metabolism	219.1 or 8659.1 or 217.1 or 8659.2	NA	[m]
ALDD21	0.0342167068676628	0.109986886684934	Fatty acid oxidation	224.1	alpha oxidation	[c]
ALDD2xm	0.277946632732545	0.423699114189511	Glycolysis/gluconeogenesis	219.1 or 217.1	NA	[m]
ALDD2y	0.294630065440671	0.423568677123374	Glycolysis/gluconeogenesis	223.1 or 221.1 or 218.1 or 8854.1 or 8854.3 or 222.1 or 8854.2 or 224.1 or 219.1	NA	[c]
ALR2	0.2996066805197	0.425114556442386	Pyruvate metabolism	10327.2 or 8574.1 or 10327.1 or 231.1	NA	[c]
ALR3	0.2996066805197	0.425114556442386	Pyruvate metabolism	10327.2 or 8574.1 or 10327.1 or 231.1	NA	[c]
AMETr	0.187589785901616	0.401433847869456	Transport, endoplasmic reticular		NA	intercompartmental
AMETt2m	0.0361952303751655	0.147268764226148	Transport, mitochondrial	115286.3 or 115286.2 or 115286.1	NA	intercompartmental
