del_rxnID_KO	mta_score	alt_score	subSystem	GPR	MetabolicUnits	Localization
10FTHF7GLUtl	0.09629123761105	0.00378949388248806	Transport, lysosomal		NA	intercompartmental
10FTHF7GLUtm	0.09629123761105	0.00378949388248806	Transport, mitochondrial		NA	intercompartmental
10FTHFtl	0.09629123761105	0.00378949388248806	Transport, lysosomal		NA	intercompartmental
10FTHFtm	0.0499028909406828	-0.00731948148385442	Transport, mitochondrial		NA	intercompartmental
13DAMPPOX	0.118263008152664	0.00451752746422297	Beta-Alanine metabolism	8639.1 or 26.1 or 314.2 or 314.1	NA	[c]
2DR1PP	0.0938930203261042	0.00375602938766365	Pyrimidine catabolism		pyrimidine catabolism, cytosol	[c]
2HBO	0.0817005822261488	0.0066739425860877	Propanoate metabolism	92483.1 or 3948.2 or 55293.1 or (3945.1 and 3939.1) or 3939.1 or 160287.1 or 3945.1 or 3948.1	NA	[c]
2HBt2	0.0425808493895043	-0.0439121563553448	Transport, extracellular	9123.1 or 9194.1 or 6566.1	NA	intercompartmental
2HCO3_NAt	-0.187199485604812	-1.32096019746623	Transport, extracellular	57835.3 or 8671.1 or 57835.2 or 57835.1 or 57835.4	NA	intercompartmental
2OXOADOXm	0.110662995897681	0.00429673333856698	Lysine metabolism	(4967.2 and 1738.1 and 8050.1 and 1743.1) or (4967.1 and 1738.1 and 8050.1 and 1743.1)	lysine metabolism	[m]
2OXOADPTm	0.0359827056475982	-0.00317859494114117	Tryptophan metabolism	89874.1	NA	intercompartmental
34DHOXPEGOX	0.118263008153187	0.00451752746425617	Tyrosine metabolism	130.1 or 127.1 or (125.1 and 124.1) or 131.1 or (126.1 and 124.1) or 128.1 or 137872.1 or (125.1 and 126.1)	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]
34DHOXPEGt	0.118263008153187	0.00451752746425617	Transport, extracellular		tyrosine metabolism, cytosol/ degradation of catechoamines	intercompartmental
34DHPHAMT	0.789518366360542	0.0490673129016025	Tyrosine metabolism	1312.1 or 1312.2	NA	[c]
34DHPHEt	0.789518366357637	0.0490673129016214	Transport, extracellular	117247.1	NA	intercompartmental
34DHPLACOX	0.016906562299921	-0.135314535857223	Tyrosine metabolism	218.1 or 222.1 or 220.1 or 221.1	NA	[c]
