del_rxnID_KO	mta_score	alt_score	subSystem	GPR	MetabolicUnits	Localization
10FTHF7GLUtl	0.117975276243629	0.00335509105846966	Transport, lysosomal		NA	intercompartmental
10FTHF7GLUtm	0.117975276243629	0.00335509105846966	Transport, mitochondrial		NA	intercompartmental
10FTHFtl	0.117975276243629	0.00335509105846966	Transport, lysosomal		NA	intercompartmental
10FTHFtm	1.54716238545851	3.34087379610972	Transport, mitochondrial		NA	intercompartmental
13DAMPPOX	0.140651782150618	0.00405051778846569	Beta-Alanine metabolism	8639.1 or 26.1 or 314.2 or 314.1	NA	[c]
2DR1PP	0.136874945294542	0.00422441930307809	Pyrimidine catabolism		pyrimidine catabolism, cytosol	[c]
2HBO	47.348479288811	3.31034361007496	Propanoate metabolism	92483.1 or 3948.2 or 55293.1 or (3945.1 and 3939.1) or 3939.1 or 160287.1 or 3945.1 or 3948.1	NA	[c]
2HBt2	0.988219689066941	4.31622943383209	Transport, extracellular	9123.1 or 9194.1 or 6566.1	NA	intercompartmental
2HCO3_NAt	0.394885697811645	3.11630206630986	Transport, extracellular	57835.3 or 8671.1 or 57835.2 or 57835.1 or 57835.4	NA	intercompartmental
2OXOADOXm	0.123256288156885	0.00363374798275152	Lysine metabolism	(4967.2 and 1738.1 and 8050.1 and 1743.1) or (4967.1 and 1738.1 and 8050.1 and 1743.1)	lysine metabolism	[m]
2OXOADPTm	17.6216784458435	3.32139636212259	Tryptophan metabolism	89874.1	NA	intercompartmental
34DHOXPEGOX	0.140651782150629	0.00405051778846772	Tyrosine metabolism	130.1 or 127.1 or (125.1 and 124.1) or 131.1 or (126.1 and 124.1) or 128.1 or 137872.1 or (125.1 and 126.1)	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]
34DHOXPEGt	0.140651782150629	0.00405051778846772	Transport, extracellular		tyrosine metabolism, cytosol/ degradation of catechoamines	intercompartmental
34DHPHAMT	0.140651782150512	0.00405051778846022	Tyrosine metabolism	1312.1 or 1312.2	NA	[c]
34DHPHEt	62.5959192593569	3.31061183689075	Transport, extracellular	117247.1	NA	intercompartmental
