del_rxnID_KO	mta_score	alt_score	subSystem	GPR	MetabolicUnits	Localization
10FTHF7GLUtl	0.347996980033342	0.0172119508874066	Transport, lysosomal		NA	intercompartmental
10FTHF7GLUtm	0.347996980033342	0.0172119508874066	Transport, mitochondrial		NA	intercompartmental
10FTHFtl	0.347996980033342	0.0172119508874066	Transport, lysosomal		NA	intercompartmental
10FTHFtm	0.125318161202814	0.414578025839381	Transport, mitochondrial		NA	intercompartmental
13DAMPPOX	0.153241238757866	0.00441967547124211	Beta-Alanine metabolism	8639.1 or 26.1 or 314.2 or 314.1	NA	[c]
2DR1PP	0.149877588033956	0.00425086550591105	Pyrimidine catabolism		pyrimidine catabolism, cytosol	[c]
2HBO	0.0964341741105859	0.00388587711755063	Propanoate metabolism	92483.1 or 3948.2 or 55293.1 or (3945.1 and 3939.1) or 3939.1 or 160287.1 or 3945.1 or 3948.1	NA	[c]
2HBt2	1.4843584017654	1.86983279382602	Transport, extracellular	9123.1 or 9194.1 or 6566.1	NA	intercompartmental
2HCO3_NAt	0.144071791824653	0.596073711318664	Transport, extracellular	57835.3 or 8671.1 or 57835.2 or 57835.1 or 57835.4	NA	intercompartmental
2OXOADOXm	0.131194073477472	0.00379893927894218	Lysine metabolism	(4967.2 and 1738.1 and 8050.1 and 1743.1) or (4967.1 and 1738.1 and 8050.1 and 1743.1)	lysine metabolism	[m]
2OXOADPTm	0.0526765560157389	-0.002319139028781	Tryptophan metabolism	89874.1	NA	intercompartmental
34DHOXPEGOX	0.153547024803609	0.00443502181244804	Tyrosine metabolism	130.1 or 127.1 or (125.1 and 124.1) or 131.1 or (126.1 and 124.1) or 128.1 or 137872.1 or (125.1 and 126.1)	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]
34DHOXPEGt	0.153547024803609	0.00443502181244804	Transport, extracellular		tyrosine metabolism, cytosol/ degradation of catechoamines	intercompartmental
34DHPHAMT	0.1532412387578	0.00441967547124077	Tyrosine metabolism	1312.1 or 1312.2	NA	[c]
34DHPHEt	0.153241238764541	0.00441967547144219	Transport, extracellular	117247.1	NA	intercompartmental
34DHPLACOX	0.0304367744146906	-0.130506353780399	Tyrosine metabolism	218.1 or 222.1 or 220.1 or 221.1	NA	[c]
34DHPLACOX_NADP_	0.0304367744146906	-0.130506353780399	Tyrosine metabolism	222.1 or 221.1 or 218.1	NA	[c]
34DHXMANDACOX_NADP_	0.153547024803609	0.00443502181244804	Tyrosine metabolism	221.1 or 222.1	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]
34HPLFM	0.189528500042997	0.0101354661520167	Ubiquinone synthesis		NA	[m]
3AIBTm	0.200997283335962	0.0114733868449279	Valine, leucine, and isoleucine metabolism	18.1 or 18.2	3-aminoisobutyrate transaminase, mitochondria	[m]
3AIBtmi	0.200997283335962	0.0114733868449279	Transport, mitochondrial	18.1 or 18.2	NA	intercompartmental
3DSPHR	0.150599452999971	0.00428627728203962	Sphingolipid metabolism	2531.1	new to recon	[c]
3HBCDm	0.150902862201941	0.00430232046085004	Butanoate metabolism	55268.1	lysine metabolism	[m]
3HBCOAHLm	0.166377795338688	0.00650399911966054	Valine, leucine, and isoleucine metabolism		valine metabolism	[m]
3MOBt2im	0.0981126642874337	0.0116149220702299	Transport, mitochondrial		NA	intercompartmental
