del_rxnID_KO	mta_score	alt_score	subSystem	GPR	MetabolicUnits	Localization
10FTHF7GLUtl	0.249516036698225	0.00428492092134898	Transport, lysosomal		NA	intercompartmental
10FTHF7GLUtm	0.249516036698225	0.00428492092134898	Transport, mitochondrial		NA	intercompartmental
10FTHFtl	0.249516036698225	0.00428492092134898	Transport, lysosomal		NA	intercompartmental
10FTHFtm	-0.169105283931113	-0.27732145928547	Transport, mitochondrial		NA	intercompartmental
13DAMPPOX	0.333935079416057	0.00493788363476875	Beta-Alanine metabolism	8639.1 or 26.1 or 314.2 or 314.1	NA	[c]
2DR1PP	0.303338203601917	0.00454360321829711	Pyrimidine catabolism		pyrimidine catabolism, cytosol	[c]
2HBO	0.157311056845232	0.00467812410234513	Propanoate metabolism	92483.1 or 3948.2 or 55293.1 or (3945.1 and 3939.1) or 3939.1 or 160287.1 or 3945.1 or 3948.1	NA	[c]
2HBt2	0.130388498464904	0.0765699232740062	Transport, extracellular	9123.1 or 9194.1 or 6566.1	NA	intercompartmental
2HCO3_NAt	1.83553219489669	0.417619909406129	Transport, extracellular	57835.3 or 8671.1 or 57835.2 or 57835.1 or 57835.4	NA	intercompartmental
2OXOADOXm	0.239644170776331	0.00363743937686778	Lysine metabolism	(4967.2 and 1738.1 and 8050.1 and 1743.1) or (4967.1 and 1738.1 and 8050.1 and 1743.1)	lysine metabolism	[m]
2OXOADPTm	0.103994541009069	4.62127910728569e-05	Tryptophan metabolism	89874.1	NA	intercompartmental
34DHOXPEGOX	0.327789874404541	0.0048062340254974	Tyrosine metabolism	130.1 or 127.1 or (125.1 and 124.1) or 131.1 or (126.1 and 124.1) or 128.1 or 137872.1 or (125.1 and 126.1)	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]
34DHOXPEGt	0.327789874404541	0.0048062340254974	Transport, extracellular		tyrosine metabolism, cytosol/ degradation of catechoamines	intercompartmental
34DHPHAMT	0.327789874407075	0.00480623402555354	Tyrosine metabolism	1312.1 or 1312.2	NA	[c]
34DHPHEt	0.327789874405328	0.00480623402556761	Transport, extracellular	117247.1	NA	intercompartmental
34DHPLACOX	-0.00111308874950957	-0.446464230366993	Tyrosine metabolism	218.1 or 222.1 or 220.1 or 221.1	NA	[c]
