del_rxnID_KO	mta_score	alt_score	subSystem	GPR	MetabolicUnits	Localization
10FTHF7GLUtl	0.121080601772053	0.00392349376104078	Transport, lysosomal		NA	intercompartmental
10FTHFtl	0.121080601772053	0.00392349376104078	Transport, lysosomal		NA	intercompartmental
10FTHFtm	0.0489675182723441	0.0205994887825242	Transport, mitochondrial		NA	intercompartmental
13DAMPPOX	0.14046422684079	0.00426761967516841	Beta-Alanine metabolism	8639.1 or 26.1 or 314.2 or 314.1	NA	[c]
2HBO	0.137533465114494	0.00423740800875403	Propanoate metabolism	92483.1 or 3948.2 or 55293.1 or (3945.1 and 3939.1) or 3939.1 or 160287.1 or 3945.1 or 3948.1	NA	[c]
2HBt2	-0.0816738846243392	-1.79131334607424	Transport, extracellular	9123.1 or 9194.1 or 6566.1	NA	intercompartmental
2HCO3_NAt	0.172995260306602	1.09860943725861	Transport, extracellular	57835.3 or 8671.1 or 57835.2 or 57835.1 or 57835.4	NA	intercompartmental
2OXOADOXm	0.138466229906355	0.0042345376109413	Lysine metabolism	(4967.2 and 1738.1 and 8050.1 and 1743.1) or (4967.1 and 1738.1 and 8050.1 and 1743.1)	lysine metabolism	[m]
2OXOADPTm	0.0844404590751859	0.00284368928207563	Tryptophan metabolism	89874.1	NA	intercompartmental
34DHOXPEGOX	0.140464226833965	0.00426761967515686	Tyrosine metabolism	130.1 or 127.1 or (125.1 and 124.1) or 131.1 or (126.1 and 124.1) or 128.1 or 137872.1 or (125.1 and 126.1)	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]
34DHOXPEGt	0.140464226833965	0.00426761967515686	Transport, extracellular		tyrosine metabolism, cytosol/ degradation of catechoamines	intercompartmental
34DHPHAMT	0.105104830677103	0.00363716915776055	Tyrosine metabolism	1312.1 or 1312.2	NA	[c]
34DHPHEt	0.140464226845291	0.00426761967514979	Transport, extracellular	117247.1	NA	intercompartmental
34DHPLACOX	0.00253506918966765	-0.20981392166792	Tyrosine metabolism	218.1 or 222.1 or 220.1 or 221.1	NA	[c]
34DHPLACOX_NADP_	0.00236508417897597	-0.213871041730562	Tyrosine metabolism	222.1 or 221.1 or 218.1	NA	[c]
34DHXMANDACOX_NADP_	0.140464226833965	0.00426761967515686	Tyrosine metabolism	221.1 or 222.1	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]
34HPLFM	0.0844511359255494	0.00227408897596916	Ubiquinone synthesis		NA	[m]
3AIBTm	0.0742248184738185	0.00227154735586107	Valine, leucine, and isoleucine metabolism	18.1 or 18.2	3-aminoisobutyrate transaminase, mitochondria	[m]
3AIBtmi	0.0742248184738185	0.00227154735586107	Transport, mitochondrial	18.1 or 18.2	NA	intercompartmental
3DSPHR	0.138211485685275	0.0042044621351697	Sphingolipid metabolism	2531.1	new to recon	[c]
3HBCDm	0.140464226832723	0.00426761967520347	Butanoate metabolism	55268.1	lysine metabolism	[m]
3HBCOAHLm	0.135250604733959	0.0041774860226421	Valine, leucine, and isoleucine metabolism		valine metabolism	[m]
3MOX4HOXPGALDOX	0.00291311739779129	-0.176792090787922	Tyrosine metabolism	222.1 or 220.1 or 221.1 or 218.1	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]
3MOX4HOXPGALDOX_NADP_	0.00291311739779129	-0.176792090787922	Tyrosine metabolism	222.1 or 220.1 or 221.1 or 218.1	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]
3SALAASPm	-0.00396988820649741	-0.146364845499497	Transport, mitochondrial	10165.1 or 8604.1	NA	intercompartmental
3SALATAi	0.140464226833917	0.00426761967527402	Methionine and cysteine metabolism	2805.1	cysteine metabolism	[c]
3SALATAim	0.140464226827841	0.0042676196751382	Methionine and cysteine metabolism	2806.1	NA	[m]
3SPYRSP	0.140464226833917	0.00426761967527402	Methionine and cysteine metabolism		cysteine metabolism	[c]
3SPYRSPm	0.140464226827841	0.0042676196751382	Methionine and cysteine metabolism		NA	[m]
4ABUTtm	0.0931966465849584	0.00302297365855022	Transport, mitochondrial		NA	intercompartmental
4HGLSDm	0.00632963926080399	-0.455131097250825	Arginine and proline metabolism	8659.1 or 8659.2	NA	[m]
4HOXPACDOX_NADP_	0.000693249402874433	-0.920807377131732	Tyrosine metabolism	222.1 or 220.1 or 221.1 or 218.1	NA	[c]
4MOPt2im	0.0085383006887294	-0.0419422275059054	Transport, mitochondrial		NA	intercompartmental
5ADTSTSTERONESte	0.14046422684642	0.00426761967512912	Transport, extracellular		NA	intercompartmental
5ADTSTSTERONEte	0.14046422684642	0.00426761967512912	Transport, extracellular		NA	intercompartmental
5MTHFt	-0.00795500796336598	-0.601687318504918	Transport, extracellular	2348.5 or 2348.3 or 2348.1 or 2348.6 or 2352.1 or 2348.4 or 2348.2	NA	intercompartmental
5MTHFt2	-0.00795500796336598	-0.601687318504918	Transport, extracellular	6573.1 or 6573.2	NA	intercompartmental
5THFtm	0.100868790470544	0.00348456256256921	Transport, mitochondrial		NA	intercompartmental
7DHCHSTEROLtr	0.0130169011914311	-0.0160236946792292	Transport, endoplasmic reticular		NA	intercompartmental
7DHFtl	0.122361659947302	0.00394746842127031	Transport, lysosomal		NA	intercompartmental
7THFtl	0.119277366492637	0.00387706910676594	Transport, lysosomal		NA	intercompartmental
A_MANASEly	0.140464226833806	0.00426761967525481	N-glycan degradation	4125.1	NA	[l]
A4GALTg	0.140464226842073	0.00426761967510376	Sphingolipid metabolism	53947.1	NA	[g]
AACTtm	0.0191150681083298	-0.0123431477154226	Transport, mitochondrial		NA	intercompartmental
AATAi	0.123773032499846	0.00397101327336873	Lysine metabolism	51166.1 or 51166.2	NA	[c]
ABTArm	0.0931966465849584	0.00302297365855022	Glutamate metabolism	18.1 or 18.2	GABA aminotransferase	[m]
ABTD	0.14046422684642	0.00426761967512912	Pentose phosphate pathway		NA	[c]
ABUTt2rL	0.133193710425362	0.00418684054318079	Transport, lysosomal	206358.1	NA	intercompartmental
