del_rxnID_KO	mta_score	alt_score	subSystem	GPR	MetabolicUnits	Localization
10FTHF7GLUtl	0.152621214629056	0.00511813067687607	Transport, lysosomal		NA	intercompartmental
10FTHFtl	0.152621214629056	0.00511813067687607	Transport, lysosomal		NA	intercompartmental
10FTHFtm	0.0455472829155909	-0.0382833440774328	Transport, mitochondrial		NA	intercompartmental
13DAMPPOX	0.163676845634176	0.00524405834322373	Beta-Alanine metabolism	8639.1 or 26.1 or 314.2 or 314.1	NA	[c]
2HBO	0.162328872548057	0.00526167081276159	Propanoate metabolism	92483.1 or 3948.2 or 55293.1 or (3945.1 and 3939.1) or 3939.1 or 160287.1 or 3945.1 or 3948.1	NA	[c]
2HBt2	0.118795977038497	0.396987691825279	Transport, extracellular	9123.1 or 9194.1 or 6566.1	NA	intercompartmental
2HCO3_NAt	0.270872498815149	0.247195909017245	Transport, extracellular	57835.3 or 8671.1 or 57835.2 or 57835.1 or 57835.4	NA	intercompartmental
2OXOADOXm	0.161244789533197	0.00521031968094123	Lysine metabolism	(4967.2 and 1738.1 and 8050.1 and 1743.1) or (4967.1 and 1738.1 and 8050.1 and 1743.1)	lysine metabolism	[m]
2OXOADPTm	0.0722220272053068	0.00225779197256341	Tryptophan metabolism	89874.1	NA	intercompartmental
34DHOXPEGOX	0.163676845612157	0.00524405834349335	Tyrosine metabolism	130.1 or 127.1 or (125.1 and 124.1) or 131.1 or (126.1 and 124.1) or 128.1 or 137872.1 or (125.1 and 126.1)	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]
34DHOXPEGt	0.163676845612157	0.00524405834349335	Transport, extracellular		tyrosine metabolism, cytosol/ degradation of catechoamines	intercompartmental
34DHPHAMT	0.0843719711667322	0.00337619956834416	Tyrosine metabolism	1312.1 or 1312.2	NA	[c]
34DHPHEt	0.163676845612043	0.00524405834343672	Transport, extracellular	117247.1	NA	intercompartmental
34DHPLACOX	0.000471729087503756	-0.423288312791134	Tyrosine metabolism	218.1 or 222.1 or 220.1 or 221.1	NA	[c]
34DHPLACOX_NADP_	0.000977842358762845	-0.421256282019347	Tyrosine metabolism	222.1 or 221.1 or 218.1	NA	[c]
34DHXMANDACOX_NADP_	0.163676845612157	0.00524405834349335	Tyrosine metabolism	221.1 or 222.1	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]
34HPLFM	0.101361363278098	0.00329871099942059	Ubiquinone synthesis		NA	[m]
3AIBTm	0.114868529549278	0.00598304135331828	Valine, leucine, and isoleucine metabolism	18.1 or 18.2	3-aminoisobutyrate transaminase, mitochondria	[m]
3AIBtmi	0.114868529549278	0.00598304135331828	Transport, mitochondrial	18.1 or 18.2	NA	intercompartmental
3DSPHR	0.15956294805661	0.00514165662711897	Sphingolipid metabolism	2531.1	new to recon	[c]
3HBCDm	0.163676565021918	0.00524405603650519	Butanoate metabolism	55268.1	lysine metabolism	[m]
3HBCOAHLm	0.159152574953267	0.00516360676299337	Valine, leucine, and isoleucine metabolism		valine metabolism	[m]
3MOX4HOXPGALDOX	0.00108502146681101	-0.540204897288263	Tyrosine metabolism	222.1 or 220.1 or 221.1 or 218.1	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]
3MOX4HOXPGALDOX_NADP_	0.00108502146681101	-0.540204897288263	Tyrosine metabolism	222.1 or 220.1 or 221.1 or 218.1	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]
3SALAASPm	-0.00427622057465254	-0.236253337351965	Transport, mitochondrial	10165.1 or 8604.1	NA	intercompartmental
3SALATAi	0.163676845626124	0.00524405834319394	Methionine and cysteine metabolism	2805.1	cysteine metabolism	[c]
3SALATAim	0.163676845617851	0.00524405834345108	Methionine and cysteine metabolism	2806.1	NA	[m]
3SPYRSP	0.163676845626124	0.00524405834319394	Methionine and cysteine metabolism		cysteine metabolism	[c]
3SPYRSPm	0.163676845617851	0.00524405834345108	Methionine and cysteine metabolism		NA	[m]
