del_rxnID_KO	mta_score	alt_score	subSystem	GPR	MetabolicUnits	Localization
10FTHF7GLUtl	0.266693075672102	2.90568081394587	Transport, lysosomal		NA	intercompartmental
10FTHFtl	0.266693075672102	2.90568081394587	Transport, lysosomal		NA	intercompartmental
10FTHFtm	0.0279362687162947	1.3797337828894	Transport, mitochondrial		NA	intercompartmental
13DAMPPOX	0.268089929420595	2.90474183264354	Beta-Alanine metabolism	8639.1 or 26.1 or 314.2 or 314.1	NA	[c]
2HBO	0.267992054010174	2.9051672306998	Propanoate metabolism	92483.1 or 3948.2 or 55293.1 or (3945.1 and 3939.1) or 3939.1 or 160287.1 or 3945.1 or 3948.1	NA	[c]
2HBt2	0.0705578146722335	2.32605170181164	Transport, extracellular	9123.1 or 9194.1 or 6566.1	NA	intercompartmental
2HCO3_NAt	0.0505222473934633	2.27213781729872	Transport, extracellular	57835.3 or 8671.1 or 57835.2 or 57835.1 or 57835.4	NA	intercompartmental
2MCITt	0.267992054010159	2.9051672306998	Transport, extracellular		NA	intercompartmental
2OXOADOXm	0.267797306159453	2.90502888169732	Lysine metabolism	(4967.2 and 1738.1 and 8050.1 and 1743.1) or (4967.1 and 1738.1 and 8050.1 and 1743.1)	lysine metabolism	[m]
2OXOADPTm	0.264179010489099	2.90433629487748	Tryptophan metabolism	89874.1	NA	intercompartmental
34DHOXPEGOX	0.267992054010164	2.90516723069983	Tyrosine metabolism	130.1 or 127.1 or (125.1 and 124.1) or 131.1 or (126.1 and 124.1) or 128.1 or 137872.1 or (125.1 and 126.1)	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]
34DHOXPEGt	0.267992054010164	2.90516723069983	Transport, extracellular		tyrosine metabolism, cytosol/ degradation of catechoamines	intercompartmental
34DHPHAMT	0.268021736617523	2.90521064074217	Tyrosine metabolism	1312.1 or 1312.2	NA	[c]
34DHPHEt	0.267992054010171	2.90516723069978	Transport, extracellular	117247.1	NA	intercompartmental
34DHPLACOX	0.0651033413992453	2.42346735301206	Tyrosine metabolism	218.1 or 222.1 or 220.1 or 221.1	NA	[c]
34DHPLACOX_NADP_	0.0645841487026612	2.41687499495906	Tyrosine metabolism	222.1 or 221.1 or 218.1	NA	[c]
34DHXMANDACOX_NADP_	0.267992054010164	2.90516723069983	Tyrosine metabolism	221.1 or 222.1	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]
34HPLFM	0.262844311072319	2.90138572744611	Ubiquinone synthesis		NA	[m]
3AIBTm	0.268064291949632	2.90569452437618	Valine, leucine, and isoleucine metabolism	18.1 or 18.2	3-aminoisobutyrate transaminase, mitochondria	[m]
3AIBtmi	0.268064291949632	2.90569452437618	Transport, mitochondrial	18.1 or 18.2	NA	intercompartmental
3DSPHR	0.255010012987269	2.90105263628251	Sphingolipid metabolism	2531.1	new to recon	[c]
3HBCDm	0.267992054010193	2.9051672306998	Butanoate metabolism	55268.1	lysine metabolism	[m]
