del_rxnID_KO	mta_score	alt_score	subSystem	GPR	MetabolicUnits	Localization
10FTHF7GLUtl	456.125474111296	8.80129861911161	Transport, lysosomal		NA	intercompartmental
10FTHFtl	456.125474111296	8.80129861911161	Transport, lysosomal		NA	intercompartmental
13DAMPPOX	537.09982232053	9.46240926333375	Beta-Alanine metabolism	8639.1 or 26.1 or 314.2 or 314.1	NA	[c]
2HBO	543.74432800256	9.46242347724305	Propanoate metabolism	92483.1 or 3948.2 or 55293.1 or (3945.1 and 3939.1) or 3939.1 or 160287.1 or 3945.1 or 3948.1	NA	[c]
2HBt2	7.9849698345434	13.3521497402533	Transport, extracellular	9123.1 or 9194.1 or 6566.1	NA	intercompartmental
2HCO3_NAt	25.3058452432099	9.23533301818373	Transport, extracellular	57835.3 or 8671.1 or 57835.2 or 57835.1 or 57835.4	NA	intercompartmental
2OXOADOXm	522.702700578711	9.09618957439304	Lysine metabolism	(4967.2 and 1738.1 and 8050.1 and 1743.1) or (4967.1 and 1738.1 and 8050.1 and 1743.1)	lysine metabolism	[m]
2OXOADPTm	522.70270057918	9.09618957439349	Tryptophan metabolism	89874.1	NA	intercompartmental
34DHOXPEGOX	522.702700575647	9.09618957439306	Tyrosine metabolism	130.1 or 127.1 or (125.1 and 124.1) or 131.1 or (126.1 and 124.1) or 128.1 or 137872.1 or (125.1 and 126.1)	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]
34DHOXPEGt	522.702700575647	9.09618957439306	Transport, extracellular		tyrosine metabolism, cytosol/ degradation of catechoamines	intercompartmental
34DHPHAMT	177.793715995767	9.09498891266495	Tyrosine metabolism	1312.1 or 1312.2	NA	[c]
34DHPHEt	543.744328016649	9.4624234772431	Transport, extracellular	117247.1	NA	intercompartmental
34DHPLACOX	2.15991272949409	8.69056726752699	Tyrosine metabolism	218.1 or 222.1 or 220.1 or 221.1	NA	[c]
34DHPLACOX_NADP_	2.1678616768627	8.69557775640612	Tyrosine metabolism	222.1 or 221.1 or 218.1	NA	[c]
34DHXMANDACOX_NADP_	522.702700575647	9.09618957439306	Tyrosine metabolism	221.1 or 222.1	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]
34HPLFM	158.19271533841	8.80035757302694	Ubiquinone synthesis		NA	[m]
3DSPHR	515.757973286144	9.09619728633358	Sphingolipid metabolism	2531.1	new to recon	[c]
3HBCDm	522.702701465066	9.09618957439314	Butanoate metabolism	55268.1	lysine metabolism	[m]
3HBCOAHLm	522.702700582256	9.09618957439295	Valine, leucine, and isoleucine metabolism		valine metabolism	[m]
3HLYTCL	522.702700575462	9.09618957439308	Tyrosine metabolism	1644.1	tyrosine metabolism, cytosol/ DOPA decarboxylase	[c]
3MOBt2im	180.906280949661	9.46033202591203	Transport, mitochondrial		NA	intercompartmental
3MOX4HOXPGALDOX	0.933600225861696	8.38584648117418	Tyrosine metabolism	222.1 or 220.1 or 221.1 or 218.1	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]
3MOX4HOXPGALDOX_NADP_	0.933600225861696	8.38584648117418	Tyrosine metabolism	222.1 or 220.1 or 221.1 or 218.1	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]
3SALAASPm	522.709412599538	9.46238893034138	Transport, mitochondrial	10165.1 or 8604.1	NA	intercompartmental
3SALAOX	150.165561612886	8.79640838255193	Taurine and hypotaurine metabolism		NA	[c]
3SALATAi	753.793260138885	13.5876763109105	Methionine and cysteine metabolism	2805.1	cysteine metabolism	[c]
3SALATAim	522.709412599538	9.46238893034138	Methionine and cysteine metabolism	2806.1	NA	[m]
3SPYRSP	753.793260138885	13.5876763109105	Methionine and cysteine metabolism		cysteine metabolism	[c]
3SPYRSPm	522.709412599538	9.46238893034138	Methionine and cysteine metabolism		NA	[m]
4HGLSDm	3.28477757226332	8.65864021669587	Arginine and proline metabolism	8659.1 or 8659.2	NA	[m]
5ADTSTSTERONESte	522.702700577581	9.09618957439303	Transport, extracellular		NA	intercompartmental
5ADTSTSTERONEte	522.702700577581	9.09618957439303	Transport, extracellular		NA	intercompartmental
5AOPtm	334.154732670666	9.46192795610466	Heme synthesis		NA	intercompartmental
5MTHFt	4.99411331944894	9.67101686523749	Transport, extracellular	2348.5 or 2348.3 or 2348.1 or 2348.6 or 2352.1 or 2348.4 or 2348.2	NA	intercompartmental
5MTHFt2	5.35819078568661	9.51175176255641	Transport, extracellular	6573.1 or 6573.2	NA	intercompartmental
7DHCHSTEROLtr	43.4706051703105	9.07840150776364	Transport, endoplasmic reticular		NA	intercompartmental
7DHFtl	456.167333086958	9.46211753626078	Transport, lysosomal		NA	intercompartmental
7THFtl	435.970548749517	9.46213036969018	Transport, lysosomal		NA	intercompartmental
A_MANASEly	522.702700577581	9.09618957439303	N-glycan degradation	4125.1	NA	[l]
A4GALTg	522.702700578585	9.09618957439301	Sphingolipid metabolism	53947.1	NA	[g]
AATAi	522.70270057918	9.09618957439349	Lysine metabolism	51166.1 or 51166.2	NA	[c]
ABTD	522.702700577581	9.09618957439303	Pentose phosphate pathway		NA	[c]
ABUTt2rL	270.734334902638	4.71437930011825	Transport, lysosomal	206358.1	NA	intercompartmental
ABUTt4_2_r	5.21755377520041	9.16396604595879	Transport, extracellular	6529.1 or 6538.1 or 6540.1 or 6539.1	NA	intercompartmental
ACACT10m	407.01255990618	8.80093138154361	Valine, leucine, and isoleucine metabolism	38.1 or 3032.1 or 10449.1	isoleucine metabolism	[m]
ACACT1rm	7.47389430268603	13.2822656355678	Tryptophan metabolism	(3030.1 and 3032.1) or 38.1	NA	[m]
ACACT1x	469.685297173998	9.09616046913686	Cholesterol metabolism	39.1	NA	[x]
ACACt2m	10.505802388304	9.40689299585102	Transport, mitochondrial	6566.1	NA	intercompartmental
ACACT4p	12.4743286913762	9.00581658803254	Fatty acid oxidation	30.1	betaoxidation	[x]
ACACT5p	522.702701463658	9.09618957439345	Fatty acid oxidation	30.1	betaoxidation	[x]
ACACT8p	505.769975615694	8.80147197383491	Fatty acid oxidation	30.1	betaoxidation	[x]
ACACT9p	522.70270057627	9.09618957439302	Fatty acid oxidation	30.1	betaoxidation	[x]
ACACtx	170.448780268541	8.80007995583404	Transport, peroxisomal		NA	intercompartmental
ACALDtm	133.968538621178	9.45537247897922	Transport, mitochondrial		NA	intercompartmental
ACCOACm	10.2338529802092	9.36804540832495	Fatty acid oxidation	32.1	fatty acid synthesis & elongation	[m]
ACCOAgt	522.702700577581	9.09618957439303	Transport, extracellular	9197.1	NA	intercompartmental
ACCOAtr	1.30455479108686	8.25419780652771	Transport, endoplasmic reticular	9197.1	NA	intercompartmental
ACETONEt2	379.992038289768	9.46119066075925	Transport, extracellular	6566.1 or 9123.1 or 9194.1	NA	intercompartmental
ACETONEt2m	379.992038289768	9.46119066075925	Transport, mitochondrial	6566.1	NA	intercompartmental
ACGALtly	522.702701465918	9.09618957439316	Transport, lysosomal		NA	intercompartmental
ACGAM6PSi	522.702700577581	9.09618957439303	Aminosugar metabolism	64841.1	amino sugar metabolism	[c]
ACGAMPM	522.702700577581	9.09618957439303	Aminosugar metabolism	5238.1	amino sugar metabolism	[c]
ACGAMtly	4.82143162198523	8.6394217553074	Transport, lysosomal		NA	intercompartmental
