del_rxnID_KO	mta_score	alt_score	subSystem	GPR	MetabolicUnits	Localization
10FTHF7GLUtl	0.151913933950419	0.00506166724992506	Transport, lysosomal		NA	intercompartmental
10FTHFtl	0.151913933950419	0.00506166724992506	Transport, lysosomal		NA	intercompartmental
10FTHFtm	-0.000278693840105717	-1.08811163703922	Transport, mitochondrial		NA	intercompartmental
13DAMPPOX	0.204605197306485	0.00525535642426784	Beta-Alanine metabolism	8639.1 or 26.1 or 314.2 or 314.1	NA	[c]
2AMACHYD	0.204605197306485	0.00525535642426784	Glycine, serine, alanine, and threonine metabolism	10993.1	glycine metabolism	[c]
2AMADPTm	-0.00267630782591372	-0.120478838165465	Lysine metabolism	89874.1	NA	intercompartmental
2DR1PP	0.112708602247873	0.00447454780983972	Pyrimidine catabolism		pyrimidine catabolism, cytosol	[c]
2HBO	0.0354914104302756	0.00220430996996919	Propanoate metabolism	92483.1 or 3948.2 or 55293.1 or (3945.1 and 3939.1) or 3939.1 or 160287.1 or 3945.1 or 3948.1	NA	[c]
2HBt2	0.0386684442974568	0.326532099355783	Transport, extracellular	9123.1 or 9194.1 or 6566.1	NA	intercompartmental
2HCO3_NAt	0.00439770340299524	-0.056255033806059	Transport, extracellular	57835.3 or 8671.1 or 57835.2 or 57835.1 or 57835.4	NA	intercompartmental
2OXOADOXm	0.204605196987468	0.00525535642327729	Lysine metabolism	(4967.2 and 1738.1 and 8050.1 and 1743.1) or (4967.1 and 1738.1 and 8050.1 and 1743.1)	lysine metabolism	[m]
2OXOADPTm	-0.00235794188814412	-0.095397754645439	Tryptophan metabolism	89874.1	NA	intercompartmental
34DHOXPEGOX	0.204605196995126	0.00525535642336624	Tyrosine metabolism	130.1 or 127.1 or (125.1 and 124.1) or 131.1 or (126.1 and 124.1) or 128.1 or 137872.1 or (125.1 and 126.1)	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]
34DHOXPEGt	0.204605196995126	0.00525535642336624	Transport, extracellular		tyrosine metabolism, cytosol/ degradation of catechoamines	intercompartmental
34DHPHAMT	0.1104273167037	0.00491322757945985	Tyrosine metabolism	1312.1 or 1312.2	NA	[c]
34DHPHEt	0.204644945185739	0.00525490802919426	Transport, extracellular	117247.1	NA	intercompartmental
34DHPLACOX	0.00262665413744104	-0.489321584208747	Tyrosine metabolism	218.1 or 222.1 or 220.1 or 221.1	NA	[c]
34DHPLACOX_NADP_	0.00245333411017656	-0.495371618690147	Tyrosine metabolism	222.1 or 221.1 or 218.1	NA	[c]
34DHXMANDACOX_NADP_	0.204605196995126	0.00525535642336624	Tyrosine metabolism	221.1 or 222.1	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]
34HPLFM	0.0521188240583956	0.00380214641770978	Ubiquinone synthesis		NA	[m]
3DSPHR	0.20135595358332	0.00523850145404892	Sphingolipid metabolism	2531.1	new to recon	[c]
3HBCDm	0.204605196956827	0.00525535642320466	Butanoate metabolism	55268.1	lysine metabolism	[m]
3HBCOAHLm	0.0552037155392118	0.00407490213213944	Valine, leucine, and isoleucine metabolism		valine metabolism	[m]
3MOPt2im	0.0243306329230366	0.00130416675406968	Transport, mitochondrial		NA	intercompartmental
3MOX4HOXPGALDOX	-0.00192415895615311	-1.00906465618076	Tyrosine metabolism	222.1 or 220.1 or 221.1 or 218.1	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]
3MOX4HOXPGALDOX_NADP_	-0.00192415895615311	-1.00906465618076	Tyrosine metabolism	222.1 or 220.1 or 221.1 or 218.1	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]
3SALAASPm	0.0291964205616524	0.00319203337056943	Transport, mitochondrial	10165.1 or 8604.1	NA	intercompartmental
3SALATAi	0.20393688454857	0.00525345140487138	Methionine and cysteine metabolism	2805.1	cysteine metabolism	[c]
3SALATAim	0.20439475434506	0.00525496129821702	Methionine and cysteine metabolism	2806.1	NA	[m]
3SPYRSP	0.20393688454857	0.00525345140487138	Methionine and cysteine metabolism		cysteine metabolism	[c]
3SPYRSPm	0.20439475434506	0.00525496129821702	Methionine and cysteine metabolism		NA	[m]
4ABUTtm	0.0951635474899207	0.00452734777644761	Transport, mitochondrial		NA	intercompartmental
4HGLSDm	0.00312443005277864	-0.107135394997205	Arginine and proline metabolism	8659.1 or 8659.2	NA	[m]
4MOPt2im	0.020697505248776	-0.0003341880206255	Transport, mitochondrial		NA	intercompartmental
4MPTNLte	0.0177633278708167	-0.00154601726478621	Transport, extracellular		NA	intercompartmental
4MPTNLtm	0.0177633278708167	-0.00154601726478621	Transport, mitochondrial		NA	intercompartmental
5ADTSTSTERONESte	0.204605197306485	0.00525535642426784	Transport, extracellular		NA	intercompartmental
5ADTSTSTERONEte	0.204605197306485	0.00525535642426784	Transport, extracellular		NA	intercompartmental
5AOPtm	0.0319601527116549	0.00238192355590046	Heme synthesis		NA	intercompartmental
5MTHFt	0.069280733850844	0.993116641099889	Transport, extracellular	2348.5 or 2348.3 or 2348.1 or 2348.6 or 2352.1 or 2348.4 or 2348.2	NA	intercompartmental
5MTHFt2	0.354330037419352	2.32090318840278	Transport, extracellular	6573.1 or 6573.2	NA	intercompartmental
5THFtm	0.0708276434574543	0.00403849206006689	Transport, mitochondrial		NA	intercompartmental
