del_rxnID_KO	mta_score	alt_score	subSystem	GPR	MetabolicUnits	Localization
10FTHF6GLUtm	0.0736745898274029	0.00289055640454333	Transport, mitochondrial		NA	intercompartmental
10FTHF7GLUtl	0.0736745898274029	0.00289055640454333	Transport, lysosomal		NA	intercompartmental
10FTHFtl	0.0736745898274029	0.00289055640454333	Transport, lysosomal		NA	intercompartmental
10FTHFtm	0.0137122152391823	-0.0735379749380262	Transport, mitochondrial		NA	intercompartmental
13DAMPPOX	0.13354044872973	0.00366875552904364	Beta-Alanine metabolism	8639.1 or 26.1 or 314.2 or 314.1	NA	[c]
2HBO	0.0145547702075656	-0.0026307312350604	Propanoate metabolism	92483.1 or 3948.2 or 55293.1 or (3945.1 and 3939.1) or 3939.1 or 160287.1 or 3945.1 or 3948.1	NA	[c]
2HBt2	-0.0362153275686383	-1.47845161720679	Transport, extracellular	9123.1 or 9194.1 or 6566.1	NA	intercompartmental
2HCO3_NAt	0.0893876403133723	0.98270616785027	Transport, extracellular	57835.3 or 8671.1 or 57835.2 or 57835.1 or 57835.4	NA	intercompartmental
2OXOADOXm	0.117491415153421	0.00347779875571068	Lysine metabolism	(4967.2 and 1738.1 and 8050.1 and 1743.1) or (4967.1 and 1738.1 and 8050.1 and 1743.1)	lysine metabolism	[m]
2OXOADPTm	0.0249484478948657	-0.000613549186575827	Tryptophan metabolism	89874.1	NA	intercompartmental
34DHPHAMT	0.114695713068177	0.00350939553933025	Tyrosine metabolism	1312.1 or 1312.2	NA	[c]
34DHPHEt	0.13354044872973	0.00366875552904364	Transport, extracellular	117247.1	NA	intercompartmental
34DHPLACOX	6.9899072909176e-05	-1.0488279255402	Tyrosine metabolism	218.1 or 222.1 or 220.1 or 221.1	NA	[c]
34DHPLACOX_NADP_	0.000352119702129805	-1.04478508535737	Tyrosine metabolism	222.1 or 221.1 or 218.1	NA	[c]
34DHXMANDACOX	0.000180910174900702	-0.90057904923066	Tyrosine metabolism	221.1 or 218.1 or 220.1	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]
34DHXMANDACOX_NADP_	0.000180910174900702	-0.90057904923066	Tyrosine metabolism	221.1 or 222.1	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]
34HPLFM	0.0664803448654126	0.00320443004519432	Ubiquinone synthesis		NA	[m]
3DSPHR	0.121408320534183	0.00346050590702686	Sphingolipid metabolism	2531.1	new to recon	[c]
3HBCDm	0.133540448689891	0.00366875552884205	Butanoate metabolism	55268.1	lysine metabolism	[m]
3HBCOAHLm	0.140638388276975	0.00835726650052424	Valine, leucine, and isoleucine metabolism		valine metabolism	[m]
3MOPt2im	0.0133736943174552	-0.00877367281553858	Transport, mitochondrial		NA	intercompartmental
3MOX4HOXPGALDOX	0.000446004525756887	-0.786465896907717	Tyrosine metabolism	222.1 or 220.1 or 221.1 or 218.1	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]
3MOX4HOXPGALDOX_NADP_	0.000446004525756887	-0.786465896907717	Tyrosine metabolism	222.1 or 220.1 or 221.1 or 218.1	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]
3SALAASPm	0.00532399199228007	-0.00671557987851373	Transport, mitochondrial	10165.1 or 8604.1	NA	intercompartmental
3SALATAi	0.12996133641153	0.0036525425718499	Methionine and cysteine metabolism	2805.1	cysteine metabolism	[c]
3SALATAim	0.133213983770559	0.00366239919487575	Methionine and cysteine metabolism	2806.1	NA	[m]
