del_rxnID_KO	mta_score	alt_score	subSystem	GPR	MetabolicUnits	Localization
10FTHF6GLUtm	0.0671066111584858	0.00172513796691734	Transport, mitochondrial		NA	intercompartmental
10FTHF7GLUtl	0.0671066111584858	0.00172513796691734	Transport, lysosomal		NA	intercompartmental
10FTHFtl	0.0671066111584858	0.00172513796691734	Transport, lysosomal		NA	intercompartmental
10FTHFtm	0.0321667380162898	-0.112795418260753	Transport, mitochondrial		NA	intercompartmental
13DAMPPOX	0.0717798347184352	0.0021700615034422	Beta-Alanine metabolism	8639.1 or 26.1 or 314.2 or 314.1	NA	[c]
2HBO	0.0676346754507158	0.00197411940999931	Propanoate metabolism	92483.1 or 3948.2 or 55293.1 or (3945.1 and 3939.1) or 3939.1 or 160287.1 or 3945.1 or 3948.1	NA	[c]
2HBt2	0.0445230872598029	-0.0680489197875586	Transport, extracellular	9123.1 or 9194.1 or 6566.1	NA	intercompartmental
2HCO3_NAt	-0.0340064943526165	-0.211889470485023	Transport, extracellular	57835.3 or 8671.1 or 57835.2 or 57835.1 or 57835.4	NA	intercompartmental
2OXOADOXm	0.0705834727456464	0.00209542307979995	Lysine metabolism	(4967.2 and 1738.1 and 8050.1 and 1743.1) or (4967.1 and 1738.1 and 8050.1 and 1743.1)	lysine metabolism	[m]
2OXOADPTm	0.0412768081374469	-0.00215321819193076	Tryptophan metabolism	89874.1	NA	intercompartmental
34DHPHAMT	0.0683674366408209	0.00188570054998849	Tyrosine metabolism	1312.1 or 1312.2	NA	[c]
34DHPHEt	0.0717798347184352	0.0021700615034422	Transport, extracellular	117247.1	NA	intercompartmental
34DHPLACOX	-0.000644135267359189	-0.295571589511103	Tyrosine metabolism	218.1 or 222.1 or 220.1 or 221.1	NA	[c]
34DHPLACOX_NADP_	0.000291021403825317	-0.295307650005518	Tyrosine metabolism	222.1 or 221.1 or 218.1	NA	[c]
34DHXMANDACOX	-0.0105215351029246	-1.15455891745854	Tyrosine metabolism	221.1 or 218.1 or 220.1	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]
34DHXMANDACOX_NADP_	-0.0105215351029246	-1.15455891745854	Tyrosine metabolism	221.1 or 222.1	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]
34HPLFM	0.0585164579076193	0.000842006703526641	Ubiquinone synthesis		NA	[m]
