del_rxnID_KO	mta_score	alt_score	subSystem	GPR	MetabolicUnits	Localization
10FTHF7GLUtl	0.14164414686439	0.0048803540044561	Transport, lysosomal		NA	intercompartmental
10FTHFtl	0.14164414686439	0.0048803540044561	Transport, lysosomal		NA	intercompartmental
10FTHFtm	0.00208996607066219	-1.14389226352302	Transport, mitochondrial		NA	intercompartmental
13DAMPPOX	0.152662506739186	0.00500934830234649	Beta-Alanine metabolism	8639.1 or 26.1 or 314.2 or 314.1	NA	[c]
2AMACHYD	0.152662506739186	0.00500934830234649	Glycine, serine, alanine, and threonine metabolism	10993.1	glycine metabolism	[c]
2AMADPTm	0.0240533759754831	-0.0733493451130119	Lysine metabolism	89874.1	NA	intercompartmental
2DR1PP	0.136688723177031	0.00455466240382782	Pyrimidine catabolism		pyrimidine catabolism, cytosol	[c]
2HBO	0.0933940102616856	0.00386563186516248	Propanoate metabolism	92483.1 or 3948.2 or 55293.1 or (3945.1 and 3939.1) or 3939.1 or 160287.1 or 3945.1 or 3948.1	NA	[c]
2HBt2	0.0197813643615563	-0.0998319039518693	Transport, extracellular	9123.1 or 9194.1 or 6566.1	NA	intercompartmental
2HCO3_NAt	-0.167589538995647	-1.11855430090712	Transport, extracellular	57835.3 or 8671.1 or 57835.2 or 57835.1 or 57835.4	NA	intercompartmental
2OXOADOXm	0.152662506740067	0.00500934830233815	Lysine metabolism	(4967.2 and 1738.1 and 8050.1 and 1743.1) or (4967.1 and 1738.1 and 8050.1 and 1743.1)	lysine metabolism	[m]
2OXOADPTm	-0.006164772123191	-0.138848871295193	Tryptophan metabolism	89874.1	NA	intercompartmental
34DHOXPEGOX	0.152662506740322	0.00500934830240207	Tyrosine metabolism	130.1 or 127.1 or (125.1 and 124.1) or 131.1 or (126.1 and 124.1) or 128.1 or 137872.1 or (125.1 and 126.1)	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]
34DHOXPEGt	0.152662506740322	0.00500934830240207	Transport, extracellular		tyrosine metabolism, cytosol/ degradation of catechoamines	intercompartmental
34DHPHAMT	0.0991475122027051	0.00602094407879635	Tyrosine metabolism	1312.1 or 1312.2	NA	[c]
34DHPHEt	0.152662506739241	0.00500934830235965	Transport, extracellular	117247.1	NA	intercompartmental
34DHPLACOX	0.00315046575333038	-0.725013849551116	Tyrosine metabolism	218.1 or 222.1 or 220.1 or 221.1	NA	[c]
34DHPLACOX_NADP_	0.00255068319555172	-0.735540510959829	Tyrosine metabolism	222.1 or 221.1 or 218.1	NA	[c]
34DHXMANDACOX_NADP_	0.152662506740322	0.00500934830240207	Tyrosine metabolism	221.1 or 222.1	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]
34HPLFM	0.0846366891029394	0.00269862109288742	Ubiquinone synthesis		NA	[m]
3DSPHR	0.152510377876183	0.00500376280270254	Sphingolipid metabolism	2531.1	new to recon	[c]
3HBCDm	0.152662527731816	0.00500934859459338	Butanoate metabolism	55268.1	lysine metabolism	[m]
3HBCOAHLm	0.0850368356378202	0.00324118370392235	Valine, leucine, and isoleucine metabolism		valine metabolism	[m]
3MOPt2im	0.0423533180079357	-0.00108159702616881	Transport, mitochondrial		NA	intercompartmental
3MOX4HOXPGALDOX	0.00467571638136985	-0.982691024149585	Tyrosine metabolism	222.1 or 220.1 or 221.1 or 218.1	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]
3MOX4HOXPGALDOX_NADP_	0.00467571638136985	-0.982691024149585	Tyrosine metabolism	222.1 or 220.1 or 221.1 or 218.1	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]
3SALAASPm	0.0208497675296321	-0.00802461756659828	Transport, mitochondrial	10165.1 or 8604.1	NA	intercompartmental
3SALATAi	0.152721238497686	0.00501100449369338	Methionine and cysteine metabolism	2805.1	cysteine metabolism	[c]
3SALATAim	0.152644954106038	0.00500905713783302	Methionine and cysteine metabolism	2806.1	NA	[m]
3SPYRSP	0.152721238497686	0.00501100449369338	Methionine and cysteine metabolism		cysteine metabolism	[c]
3SPYRSPm	0.152644954106038	0.00500905713783302	Methionine and cysteine metabolism		NA	[m]
4ABUTtm	0.108845508721874	0.00381291282206841	Transport, mitochondrial		NA	intercompartmental
4HGLSDm	0.00236771917166968	-0.157175559979948	Arginine and proline metabolism	8659.1 or 8659.2	NA	[m]
4MOPt2im	0.0376355739430054	-0.00212289612894924	Transport, mitochondrial		NA	intercompartmental
4MPTNLte	0.0814779980733157	0.00676643602777559	Transport, extracellular		NA	intercompartmental
4MPTNLtm	0.0814779980733157	0.00676643602777559	Transport, mitochondrial		NA	intercompartmental
5ADTSTSTERONESte	0.152662506739186	0.00500934830234649	Transport, extracellular		NA	intercompartmental
5ADTSTSTERONEte	0.152662506739186	0.00500934830234649	Transport, extracellular		NA	intercompartmental
5AOPtm	0.0383217586063583	-0.00107523542028957	Heme synthesis		NA	intercompartmental
