del_rxnID_KO	mta_score	alt_score	subSystem	GPR	MetabolicUnits	Localization
10FTHF7GLUtl	0.00073854883878927	-1.10861067544738e-05	Transport, lysosomal		NA	intercompartmental
10FTHFtl	0.00073854883878927	-1.10861067544738e-05	Transport, lysosomal		NA	intercompartmental
13DAMPPOX	0.00281807966104567	-2.54475065073485e-11	Beta-Alanine metabolism	8639.1 or 26.1 or 314.2 or 314.1	NA	[c]
2HBO	-0.00870387938932146	-2.02356917464954e-05	Propanoate metabolism	92483.1 or 3948.2 or 55293.1 or (3945.1 and 3939.1) or 3939.1 or 160287.1 or 3945.1 or 3948.1	NA	[c]
2HBt2	-0.115945249266703	-3.06475183912444	Transport, extracellular	9123.1 or 9194.1 or 6566.1	NA	intercompartmental
2HCO3_NAt	-0.00966494925345971	-0.838146162438087	Transport, extracellular	57835.3 or 8671.1 or 57835.2 or 57835.1 or 57835.4	NA	intercompartmental
2OXOADOXm	0.00247598910802324	-2.65958434721528e-11	Lysine metabolism	(4967.2 and 1738.1 and 8050.1 and 1743.1) or (4967.1 and 1738.1 and 8050.1 and 1743.1)	lysine metabolism	[m]
2OXOADPTm	0.00258029706143187	-2.61472170155549e-11	Tryptophan metabolism	89874.1	NA	intercompartmental
34DHPHAMT	-0.00988556517820362	-0.00303002972375338	Tyrosine metabolism	1312.1 or 1312.2	NA	[c]
34DHPHEt	0.00257126457012793	-2.61972482504911e-11	Transport, extracellular	117247.1	NA	intercompartmental
34DHPLACOX_NADP_	-0.00567920275488327	-0.00457656240958995	Tyrosine metabolism	222.1 or 221.1 or 218.1	NA	[c]
34DHXMANDACOX	-0.00447891606923855	-0.406484365444762	Tyrosine metabolism	221.1 or 218.1 or 220.1	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]
34DHXMANDACOX_NADP_	-0.00447891606923855	-0.406484365444762	Tyrosine metabolism	221.1 or 222.1	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]
34HPLFM	0.00638050166750647	-0.000513057345641076	Ubiquinone synthesis		NA	[m]
3DSPHR	-0.000961803915658416	-0.0190487954579209	Sphingolipid metabolism	2531.1	new to recon	[c]
3HBCDm	0.00262535801091812	-2.54011074651685e-11	Butanoate metabolism	55268.1	lysine metabolism	[m]
3HBCOAHLm	0.014284030020009	0.000306783324043566	Valine, leucine, and isoleucine metabolism		valine metabolism	[m]
3MOBt2im	0.00628229822882014	-0.00900941022011846	Transport, mitochondrial		NA	intercompartmental
3MOX4HOXPGALDOX	-0.00454309290624964	-0.706365400683737	Tyrosine metabolism	222.1 or 220.1 or 221.1 or 218.1	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]
3MOX4HOXPGALDOX_NADP_	-0.00454309290624964	-0.706365400683737	Tyrosine metabolism	222.1 or 220.1 or 221.1 or 218.1	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]
3SALAASPm	0.0190345901988713	0.000942524106789429	Transport, mitochondrial	10165.1 or 8604.1	NA	intercompartmental
3SALATAi	0.0119204299263287	-8.8146219313198e-07	Methionine and cysteine metabolism	2805.1	cysteine metabolism	[c]
3SALATAim	0.00178694251287026	-2.77819636317278e-11	Methionine and cysteine metabolism	2806.1	NA	[m]
3SPYRSP	0.0119204299263287	-8.8146219313198e-07	Methionine and cysteine metabolism		cysteine metabolism	[c]
3SPYRSPm	0.00178694251287026	-2.77819636317278e-11	Methionine and cysteine metabolism		NA	[m]
4ABUTtm	-0.0263338495433754	-0.231730941549185	Transport, mitochondrial		NA	intercompartmental
4HGLSDm	-0.00747638868916803	-0.918336602908679	Arginine and proline metabolism	8659.1 or 8659.2	NA	[m]
4HOXPACDOX_NADP_	-0.00454973845554206	-1.04901221867003	Tyrosine metabolism	222.1 or 220.1 or 221.1 or 218.1	NA	[c]
5ADTSTSTERONESte	0.00247598910802324	-2.65958434721528e-11	Transport, extracellular		NA	intercompartmental
5ADTSTSTERONEte	0.00247598910802324	-2.65958434721528e-11	Transport, extracellular		NA	intercompartmental
5AOPtm	0.00141213690261606	-8.30852081772865e-05	Heme synthesis		NA	intercompartmental
5FTHFt2	0.00247598910802324	-2.65958434721528e-11	Transport, extracellular	6573.1 or 6573.2	NA	intercompartmental
5MTHFt2	-0.00144946072511446	-0.033128009385989	Transport, extracellular	6573.1 or 6573.2	NA	intercompartmental
7DHCHSTEROLtr	-0.000412690491093659	-0.0208685569728932	Transport, endoplasmic reticular		NA	intercompartmental
7DHFtl	0.000741898320535599	-1.00058209903927e-05	Transport, lysosomal		NA	intercompartmental
7THFtl	0.00149463083908008	-1.11633324195571e-05	Transport, lysosomal		NA	intercompartmental
A_MANASEly	0.00213700232564399	-2.85405872289195e-11	N-glycan degradation	4125.1	NA	[l]
A4GALTg	0.00254928539188251	-2.61647773952971e-11	Sphingolipid metabolism	53947.1	NA	[g]
AATAi	0.00258029706143187	-2.61472170155549e-11	Lysine metabolism	51166.1 or 51166.2	NA	[c]
ABTArm	-0.0263338495433754	-0.231730941549185	Glutamate metabolism	18.1 or 18.2	GABA aminotransferase	[m]
ABTD	0.00247598910802324	-2.65958434721528e-11	Pentose phosphate pathway		NA	[c]
ABUTt2rL	-0.0307529055114559	-0.258845391246777	Transport, lysosomal	206358.1	NA	intercompartmental
ACACT10m	-0.00819964070091029	-0.00888365462510774	Valine, leucine, and isoleucine metabolism	38.1 or 3032.1 or 10449.1	isoleucine metabolism	[m]
ACACT1rm	-0.00209225081963502	-0.269031833663386	Tryptophan metabolism	(3030.1 and 3032.1) or 38.1	NA	[m]
