del_rxnID_KO	mta_score	alt_score	subSystem	GPR	MetabolicUnits	Localization	mta_score_prctile
APRGSTRNt1e	0.486088597041554	3.25922425459645	Transport, extracellular	6573.1	NA	intercompartmental	100
HMR_7977	0.486088597041554	3.25922425459645	Transport, extracellular		NA	intercompartmental	100
MLTHFte2	0.332997276450031	7.57980604091816	Transport, extracellular	6573.1 or 6573.2	NA	intercompartmental	99.9676584734799
ALADGLYexR	0.313760675798812	3.91331310555165	Transport, extracellular	56301.1 and 6520.1	NA	intercompartmental	99.9514877102199
DALAt2r	0.311589840444617	4.67762330075718	Transport, extracellular	206358.1	NA	intercompartmental	99.9353169469599
PRODt2r	0.305038281545091	2.31147335492363	Transport, extracellular	206358.1	NA	intercompartmental	99.9191461836999
PRO_Dtde	0.305038281545091	2.31147335492363	Transport, extracellular		NA	intercompartmental	99.9191461836999
ALADGLNexR	0.302647020459627	0.366201720705823	Transport, extracellular	56301.1 and 6520.1	NA	intercompartmental	99.8868046571798
ABUTt2r	0.286022017306904	2.14270289488847	Transport, extracellular	206358.1	NA	intercompartmental	99.8706338939198
5MTHFt	0.255924092919749	0.267237287190841	Transport, extracellular	2348.5 or 2348.3 or 2348.1 or 2348.6 or 2352.1 or 2348.4 or 2348.2	NA	intercompartmental	99.8544631306598
5MTHFt2	0.255924092919749	0.267237287190841	Transport, extracellular	6573.1 or 6573.2	NA	intercompartmental	99.8544631306598
r2526	0.224289021697397	2.2957821352616	Transport, extracellular	8501.1	NA	intercompartmental	99.8221216041397
r2471	0.223009182118539	2.57393155536546	Transport, extracellular	206358.1	NA	intercompartmental	99.8059508408797
FOLt2	0.217606131338261	0.363227712539461	Transport, extracellular	6573.1 or 6573.2	NA	intercompartmental	99.7897800776197
MLTHFte	0.202166399337058	3.88566961141693	Transport, extracellular	113235.1	NA	intercompartmental	99.7736093143596
r0784	0.179385761811204	4.28657424944139	Pentose phosphate pathway		xylulose metabolism, cytosol	[c]	99.7574385510996
