del_rxnID_KO	mta_score	alt_score	subSystem	GPR	MetabolicUnits	Localization	mta_score_prctile
r2140	1.25649052711176	9.64013805324639	Transport, extracellular	6579.1	NA	intercompartmental	100
r1493	1.1602611943679	3.57888890266767	Transport, extracellular		NA	intercompartmental	99.9838605551969
ALAGLYexR	0.654999485563373	6.35125438739257	Transport, extracellular	56301.1 and 6520.1	NA	intercompartmental	99.9677211103938
r2328	0.559406663779663	3.24119295932501	Transport, extracellular	6578.1	NA	intercompartmental	99.9515816655907
r1591	0.471373088194293	4.83592737210558	Transport, extracellular	8140.1	NA	intercompartmental	99.9354422207876
PROSTGE2t	0.436740725513444	5.26657855100217	Transport, extracellular	28231.1 or 6578.1 or 28232.1 or 6579.1	NA	intercompartmental	99.9193027759845
PROSTGH2t	0.432748283808573	3.55487672614099	Transport, extracellular		NA	intercompartmental	99.9031633311814
PROSTGD2t	0.431971897961807	3.31800043353152	Transport, extracellular	6578.1	NA	intercompartmental	99.8870238863783
L_LACt4r	0.415016614916518	1.3770824059198	Transport, extracellular	160728.1	NA	intercompartmental	99.8708844415752
r2326	0.409289992218111	5.28332935902408	Transport, extracellular	6578.1	NA	intercompartmental	99.8547449967721
r2194	0.407692923238113	3.80749327246184	Transport, extracellular	6579.1	NA	intercompartmental	99.838605551969
r2338	0.386559665271158	1.15433340863133	Transport, extracellular	6580.1	NA	intercompartmental	99.8224661071659
r1554	0.382114176920186	1.13487463599038	Transport, extracellular	8140.1	NA	intercompartmental	99.8063266623628
TDCHOLAte	0.379140976608074	1.49779636736763	Transport, extracellular		NA	intercompartmental	99.7901872175597
r2142	0.379140976608074	1.49779636736763	Transport, extracellular	6579.1	NA	intercompartmental	99.7901872175597
r2334	0.378157353920758	3.3971716015356	Transport, extracellular	6578.1	NA	intercompartmental	99.7579083279535
r2319	0.376498980421038	2.20574249961684	Transport, extracellular	6578.1	NA	intercompartmental	99.7417688831504
r2354	0.376498980420469	2.20574249961658	Transport, extracellular	387775.1	NA	intercompartmental	99.7256294383473
r2315	0.376244987986231	2.42665180375919	Transport, extracellular	6578.1	NA	intercompartmental	99.7094899935442
r2346	0.376244987986231	2.42665180375919	Transport, extracellular	387775.1	NA	intercompartmental	99.7094899935442
HISTAtu	0.375756721724141	2.14175539577557	Transport, extracellular	6581.1 or 6582.2 or 6582.1 or 6584.1	NA	intercompartmental	99.677211103938
LEUKTRA4t	0.372631567876025	0.979317303831172	Transport, extracellular	387775.1	NA	intercompartmental	99.6610716591349
r2316	0.372631567876025	0.979317303831172	Transport, extracellular	6578.1	NA	intercompartmental	99.6610716591349
r1548	0.371875385221442	3.70403640516744	Transport, extracellular	8140.1	NA	intercompartmental	99.6287927695287
r1557	0.363332717521976	3.87536694743867	Transport, extracellular	8140.1	NA	intercompartmental	99.6126533247256
r1546	0.362710063218551	5.43012439573706	Transport, extracellular	8140.1	NA	intercompartmental	99.5965138799225
r1621	0.35715632041296	1.12774257754808	Transport, extracellular	8140.1	NA	intercompartmental	99.5803744351194
r1549	0.353433493805049	4.74858176534511	Transport, extracellular	8140.1	NA	intercompartmental	99.5642349903163
r1652	0.352267114430894	0.929799214822364	Transport, extracellular	8140.1	NA	intercompartmental	99.5480955455132
SERGLYexR	0.352239749150236	2.8737120107554	Transport, extracellular	56301.1 and 6520.1	NA	intercompartmental	99.5319561007101
r1561	0.34059900885872	0.729652163082403	Transport, extracellular	8140.1	NA	intercompartmental	99.515816655907
r1636	0.338604917145552	0.612683808407838	Transport, extracellular	8140.1	NA	intercompartmental	99.4996772111039
r1593	0.336078890372159	1.6022287907161	Transport, extracellular	8140.1	NA	intercompartmental	99.4835377663008
2HCO3_NAt	0.335363830092192	0.797436462524852	Transport, extracellular	57835.3 or 8671.1 or 57835.2 or 57835.1 or 57835.4	NA	intercompartmental	99.4673983214977
r1587	0.332030390163979	2.2892263827521	Transport, extracellular	8140.1	NA	intercompartmental	99.4512588766946
ALAGLNexR	0.330790333759068	2.2680252682972	Transport, extracellular	6520.1 and 56301.1	NA	intercompartmental	99.4351194318915
r2197	0.326769628709867	0.523545682814563	Transport, extracellular	6579.1	NA	intercompartmental	99.4189799870884
SERt4	0.322787745743314	4.8018886692279	Transport, extracellular	81539.1 or 11254.1 or 54407.1 or 55089.1 or (340024.1 and 57393.1) or (340024.1 and 59272.1)	NA	intercompartmental	99.4028405422853
r1571	0.322299210472056	1.9209193296543	Transport, extracellular	8140.1	NA	intercompartmental	99.3867010974822
