del_rxnID_KO	mta_score	alt_score	subSystem	GPR	MetabolicUnits	Localization	mta_score_prctile
r1254	483.133535188506	10.3486175163583	Fatty acid oxidation	2182.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	fatty acid activation, cytosol	[c]	100
r1536	471.734979447139	10.3484852562893	Transport, extracellular	10257.1	NA	intercompartmental	99.9838553438812
r0722	453.010847732942	10.3483392688484	Fatty acid oxidation	3030.1 and 1962.1 and 3033.1	betaoxidation	[m]	99.9677106877623
r0724	453.010847732942	10.3483392688484	Fatty acid oxidation	(10449.1 and 3032.1) or (3032.1 and 30.1)	betaoxidation	[m]	99.9677106877623
PYDXPP	434.475002547059	10.3503982869574	Vitamin B6 metabolism	57026.1	vitamin b6 metabolism, cytosol	[c]	99.9354213755247
HESTRATRIOLtr	322.212853894289	6.90059617356873	Transport, endoplasmic reticular		NA	intercompartmental	99.9192767194059
P4501B1r	322.212853894289	6.90059617356873	Steroid metabolism	1545.1 or 1576.1	chondroitin sulphate degradation, lysosome	[r]	99.9192767194059
NDPK8m	301.774831170684	6.90026117927875	Nucleotide interconversion	4833.1 or 10201.1	NA	[m]	99.8869874071682
3HBCOAHLm	273.303150974881	6.89681431238848	Valine, leucine, and isoleucine metabolism		valine metabolism	[m]	99.8708427510494
ECOAH12m	273.303150974881	6.89681431238848	Valine, leucine, and isoleucine metabolism	1892.1 or (3030.1 and 3032.1)	valine metabolism	[m]	99.8708427510494
DCIm	214.708514549035	10.3426921399986	Fatty acid oxidation	1632.1 or 10455.1	betaoxidation	[m]	99.8385534388117
HMR_3234	214.708514549035	10.3426921399986	Fatty acid oxidation	37.1 or 33.1 or 34.1 or 28976.1	NA	[m]	99.8385534388117
HMR_3235	214.708514549035	10.3426921399986	Fatty acid oxidation	3030.1 or 1892.1	NA	[m]	99.8385534388117
HMR_3236	214.708514549035	10.3426921399986	Fatty acid oxidation	3028.1 or 3030.1 or 3033.1	NA	[m]	99.8385534388117
HMR_3237	214.708514549035	10.3426921399986	Fatty acid oxidation	3030.1 or 3032.1 or 10449.1	NA	[m]	99.8385534388117
FMNALKPle	178.578193187787	6.90188882472509	Transport, extracellular	52.1 or 52.3 or 52.2 or 248.1	vitamin b2 metabolism	[e]	99.7578301582176
URIK1	70.6211830078022	1.50143804665122	Pyrimidine synthesis	7371.1 or 83549.1 or 54963.1	pyrimidine catabolism	[c]	99.7416855020988
PIt7	67.0010255082483	1.43101578743492	Transport, extracellular	10050.1 or 10786.1 or 10246.1 or 6568.1 or 6569.1 or 10568.1	NA	intercompartmental	99.72554084598
BUTSMCT1	56.6748594664237	1.33567218874825	Transport, extracellular	160728.1	NA	intercompartmental	99.7093961898612
EX_mev_R[e]	47.5137381809498	6.88853811836664	Exchange/demand reaction		NA	[e]	99.6932515337423
MEV_Rt	47.5137381809498	6.88853811836664	Transport, extracellular		NA	intercompartmental	99.6932515337423
EX_bhb[e]	36.7008702609057	6.91997502476757	Exchange/demand reaction		NA	[e]	99.6609622215047
r2519	15.12325114538	10.2404709372614	Transport, endoplasmic reticular		NA	intercompartmental	99.6448175653859
PROt4_2_r	12.967991295571	0.276912167428424	Transport, extracellular	6534.1	NA	intercompartmental	99.628672909267
ACACt2	8.82886213874518	10.2516929762545	Transport, extracellular	6566.1 or 9194.1	NA	intercompartmental	99.6125282531482
NDPK6	5.78196266243487	3.1659573719371	Nucleotide interconversion	(4832.1) or (4831.1 and 4830.1) or (10201.1) or (29922.2) or (29922.1) or (4831.1 and 4830.2)	NA	[c]	99.5963835970294
NDPK7	5.69757685703191	2.25264839119088	Nucleotide interconversion	(4832.1) or (4831.1 and 4830.1) or (10201.1) or (29922.2) or (29922.1) or (4831.1 and 4830.2)	NA	[c]	99.5802389409106
RE1530C	4.59118662269791	5.32906969910988	Pyrimidine synthesis		pyrimidine synthesis/ de novo	[c]	99.5640942847917
NDPK5	3.92924586338086	4.25495447388019	Nucleotide interconversion	4832.1 or (4831.1 and 4830.2) or 10201.1 or 29922.2 or 29922.1 or (4831.1 and 4830.1)	NA	[c]	99.5479496286729
HMR_5996	3.72676435742109	1.04608419324738	Transport, extracellular	9057.1 or 64849.1	NA	intercompartmental	99.5318049725541
RNDR1	3.49895918538077	1.37968926025136	Nucleotide interconversion	(6240.1 and 6241.1) or 50484.1	NA	[c]	99.5156603164353
HC02149td	3.18747689834135	3.53498519926092	Transport, extracellular		NA	intercompartmental	99.4995156603164
NACUP	3.18470119501563	3.18589634332743	Transport, extracellular		NA	intercompartmental	99.4833710041976
NDPK2	3.18144393782722	0.296339758466105	Nucleotide interconversion	4832.1 or (4831.1 and 4830.2) or 10201.1 or 29922.2 or 29922.1 or (4831.1 and 4830.1)	pyrimidine synthesis	[c]	99.4672263480788
NDPK8n	3.07207062515585	0.25193214208599	Nucleotide interconversion	(4831.1 and 4830.1) or (4830.2 and 4831.1)	NA	[n]	99.45108169196
PCRNte	2.9500966984751	3.26289504624928	Transport, extracellular	6584.1	NA	intercompartmental	99.4349370358411
PPAt	2.94016874079527	3.84643466678787	Transport, extracellular		NA	intercompartmental	99.4187923797223
GLYt7_311_r	2.90715718518117	2.44945550063955	Transport, extracellular	9152.1	NA	intercompartmental	99.4026477236035
r1671	2.7678156859667	2.25506395679082	Transport, extracellular	9057.1	NA	intercompartmental	99.3865030674847
CLCFTRte	2.62331172044474	1.3344016793498	Transport, extracellular	1080.1	NA	intercompartmental	99.3703584113658
THCHOLSTOICtm	2.61427979593397	6.62968854956325	Transport, peroxisomal		NA	intercompartmental	99.354213755247
HMR_9605	2.35511571580221	0.763868550523965	Transport, extracellular	92745.1	NA	intercompartmental	99.3380690991282
NAt	2.34117243213032	1.54986776751939	Transport, extracellular	6526.1 or 6523.1 or 6528.1	NA	intercompartmental	99.3219244430094
r1088	2.29353844643263	4.77187345449143	Transport, extracellular		NA	intercompartmental	99.3057797868905
CYTK4	2.28763321268821	0.080962568640499	Nucleotide interconversion	26289.1 or 26289.2	NA	[c]	99.2896351307717
r2127	1.96759450112573	2.0549237956832	Transport, extracellular	6566.1	NA	intercompartmental	99.2734904746529
BUTt2r	1.95314033633744	0.326323830561702	Transport, extracellular	6566.1	NA	intercompartmental	99.2573458185341
LYStiDF	1.94722565031238	1.25188879737775	Transport, extracellular	6541.1 or 6542.1 or 55089.1 or 84889.1	NA	intercompartmental	99.2412011624152
SMVtv	1.93383074743534	1.10117795184599	Drug metabolism		NA	intercompartmental	99.2250565062964
SMVthep	1.93383074743534	1.10117795184599	Drug metabolism	10599.1	NA	intercompartmental	99.2250565062964
NDPK8	1.89704721370495	0.624231587774451	Nucleotide interconversion	(4832.1) or (4831.1 and 4830.1) or (10201.1) or (29922.2) or (29922.1) or (4831.1 and 4830.2)	NA	[c]	99.1927671940588
HCO3_CLt	1.89398056205863	1.26537922937615	Transport, extracellular	6522.1 or 83697.1 or 6521.1 or 6508.2 or 6508.1	NA	intercompartmental	99.1766225379399
DURIK1	1.86510898364194	6.99400834363877	Nucleotide interconversion	7083.1 or 7084.1	NA	[c]	99.1604778818211
2HCO3_NAt	1.83553219489669	0.417619909406129	Transport, extracellular	57835.3 or 8671.1 or 57835.2 or 57835.1 or 57835.4	NA	intercompartmental	99.1443332257023
METATB0tc	1.74637390566293	1.25887703276269	Transport, extracellular	11254.1	NA	intercompartmental	99.1281885695835
PHEtec	1.71343179189653	1.35994965958635	Transport, extracellular	117247.1 or 124935.1 or 8501.1	NA	intercompartmental	99.1120439134646
