del_rxnID_KO	mta_score	alt_score	subSystem	GPR	MetabolicUnits	Localization	mta_score_prctile
HMR_0385	222.577299134773	9.57340623738167	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	NA	[c]	100
FACOAL244_1	222.577299134474	9.57340623738165	Fatty acid oxidation	2180.1	fatty acid activation, cytosol	[c]	99.982689977497
HMR_0256	222.576164588366	9.57335740433423	Fatty acid oxidation	11332.1 or 10965.1 or 570.1 or 122970.1 or 641371.1 or 641372.1 or 344967.1	NA	[c]	99.9653799549939
HMR_0324	222.576164587979	9.57335740433428	Fatty acid oxidation	11332.1 or 10965.1 or 570.1 or 122970.1 or 641371.1 or 641372.1 or 344967.1	NA	[c]	99.9480699324909
HMR_0437	222.573926454545	9.57326107160735	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	NA	[c]	99.9307599099879
HMR_0345	222.573589416611	9.57324656439132	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	NA	[c]	99.9134498874848
HMR_0386	222.573589412645	9.57324656439133	Fatty acid oxidation	11332.1 or 10965.1 or 570.1 or 122970.1 or 641371.1 or 641372.1 or 344967.1	NA	[c]	99.8961398649818
HMR_0290	222.339395046098	9.57327800037854	Fatty acid oxidation	11332.1 or 10965.1 or 570.1 or 122970.1 or 641371.1 or 641372.1 or 344967.1	NA	[c]	99.8788298424788
FACOAL1831	222.331558652348	9.57316583793646	Fatty acid oxidation	2180.1 or 2182.1 or 2181.1 or 81616.1 or 23305.1 or 51703.1	fatty acid activation, cytosol	[c]	99.8615198199758
HMR_0393	222.326782553813	9.57322059024102	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	NA	[c]	99.8442097974727
HMR_0394	222.326782553813	9.57322059024102	Fatty acid oxidation	11332.1 or 10965.1 or 570.1 or 122970.1 or 641371.1 or 641372.1 or 344967.1	NA	[c]	99.8442097974727
HMR_0429	222.325919059387	9.5732140133544	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	NA	[c]	99.8095897524667
HMR_0430	222.324545935316	9.57315484583462	Fatty acid oxidation	11332.1 or 10965.1 or 570.1 or 122970.1 or 641371.1 or 641372.1 or 344967.1	NA	[c]	99.7922797299637
HMR_0389	222.315951722936	9.57320202463019	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	NA	[c]	99.7749697074606
HMR_0298	222.277184856603	9.57315023757387	Fatty acid oxidation	11332.1 or 10965.1 or 570.1 or 122970.1 or 641371.1 or 641372.1 or 344967.1	NA	[c]	99.7576596849576
HMR_0346	222.258683331351	9.55969245919925	Fatty acid oxidation	11332.1 or 10965.1 or 570.1 or 122970.1 or 641371.1 or 641372.1 or 344967.1	NA	[c]	99.7403496624546
HMR_0301	222.25610816451	9.55958161925607	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	NA	[c]	99.7230396399515
HMR_0323	222.255310666071	9.55954729342477	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	NA	[c]	99.7057296174485
HMR_0302	222.255244907285	9.55954446285316	Fatty acid oxidation	11332.1 or 10965.1 or 570.1 or 122970.1 or 641371.1 or 641372.1 or 344967.1	NA	[c]	99.6884195949455
HMR_0433	222.228581406566	9.57329132265045	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	NA	[c]	99.6711095724424
HMR_0245	222.227198331576	9.57318714965775	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	NA	[c]	99.6537995499394
HMR_0434	222.226132982163	9.57318577379332	Fatty acid oxidation	11332.1 or 10965.1 or 570.1 or 122970.1 or 641371.1 or 641372.1 or 344967.1	NA	[c]	99.6364895274364
HMR_0241	222.181056745894	9.57328248498205	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	NA	[c]	99.6191795049334
HMR_0390	222.151830709559	9.56612981123293	Fatty acid oxidation	11332.1 or 10965.1 or 570.1 or 122970.1 or 641371.1 or 641372.1 or 344967.1	NA	[c]	99.6018694824303
HMR_0188	222.031923521441	9.56615534717761	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	NA	[c]	99.5845594599273
HMR_0189	222.031923521441	9.56615534717761	Fatty acid oxidation	11332.1 or 10965.1 or 570.1 or 122970.1 or 641371.1 or 641372.1 or 344967.1	NA	[c]	99.5845594599273
HMR_0289	222.022318771351	9.55961605557437	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	NA	[c]	99.5499394149212
HMR_0192	222.017009182085	9.55945486960632	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	NA	[c]	99.5326293924182
HMR_0193	222.017009182085	9.55945486960632	Fatty acid oxidation	11332.1 or 10965.1 or 570.1 or 122970.1 or 641371.1 or 641372.1 or 344967.1	NA	[c]	99.5326293924182
HMR_0305	221.961793114065	9.57329073074939	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	NA	[c]	99.4980093474122
HMR_0381	221.933801198259	9.55954097153063	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	NA	[c]	99.4806993249091
HMR_0242	221.859057330182	9.55939851473804	Fatty acid oxidation	11332.1 or 10965.1 or 570.1 or 122970.1 or 641371.1 or 641372.1 or 344967.1	NA	[c]	99.4633893024061
HMR_0306	221.641270157326	9.55945674870981	Fatty acid oxidation	11332.1 or 10965.1 or 570.1 or 122970.1 or 641371.1 or 641372.1 or 344967.1	NA	[c]	99.4460792799031
HMR_0410	219.704282980365	9.57269763072423	Fatty acid oxidation	11332.1 or 10965.1 or 570.1 or 122970.1 or 641371.1 or 641372.1 or 344967.1	NA	[c]	99.4287692574
r0355	218.657797986328	9.69658915391101	Glycolysis/gluconeogenesis	2645.1 or 3098.1 or 3099.1 or 3101.1	glycolysis	[c]	99.411459234897
AK2LGCHOLABCt	217.907524573333	9.57386741253194	Transport, extracellular	5244.1 or 19.1 or 5205.1 or 57198.1 or 57194.1	NA	intercompartmental	99.394149212394
AK2LGCHOLt1	217.907524573333	9.57386741253194	Transport, extracellular		NA	intercompartmental	99.394149212394
HMR_0288	217.384200569088	9.55996860461061	Transport, extracellular	28965.1 or 2170.1 or 376497.1 or 948.1 or 11000.1 or 2169.1 or 2168.1 or 2173.1 or 2171.1 or 10999.1 or 2172.1 or 2167.1 or 646486.1 or 646480.1	NA	intercompartmental	99.3595291673879
HMR_0291	217.384200569088	9.55996860461061	Transport, extracellular	19.1	NA	intercompartmental	99.3595291673879
PLA2_2e	217.187483042123	9.56034673268645	Glycerophospholipid metabolism	5322.1 or 5319.1 or 81579.1 or 64600.1 or 26279.1 or 5320.1 or 8399.1 or 30814.1	phospholipid metabolism, extracellular space/ phospholipase A2	[e]	99.3249091223819
HMR_0432	216.935216822105	9.57391398310074	Transport, extracellular	28965.1 or 2170.1 or 376497.1 or 948.1 or 11000.1 or 2169.1 or 2168.1 or 2173.1 or 2171.1 or 10999.1 or 2172.1 or 2167.1 or 646486.1 or 646480.1	NA	intercompartmental	99.3075990998788
HMR_0435	216.935216822105	9.57391398310074	Transport, extracellular	19.1	NA	intercompartmental	99.3075990998788
HMR_0380	216.735605545603	9.57398739739251	Transport, extracellular	28965.1 or 2170.1 or 376497.1 or 948.1 or 11000.1 or 2169.1 or 2168.1 or 2173.1 or 2171.1 or 10999.1 or 2172.1 or 2167.1 or 646486.1 or 646480.1	NA	intercompartmental	99.2729790548728
HMR_0383	216.735605545603	9.57398739739251	Transport, extracellular	19.1	NA	intercompartmental	99.2729790548728
NICRNS	216.611716114103	9.57390917339367	NAD metabolism		NA	[c]	99.2383590098667
NT5C	216.611716114103	9.57390917339367	NAD metabolism	22978.1 or 30833.1 or 93034.1 or 93034.2 or 84618.1 or 51251.1 or 4907.1	NA	[c]	99.2383590098667
HMR_0436	216.485769145317	9.57400333405801	Transport, extracellular	28965.1 or 2170.1 or 376497.1 or 948.1 or 11000.1 or 2169.1 or 2168.1 or 2173.1 or 2171.1 or 10999.1 or 2172.1 or 2167.1 or 646486.1 or 646480.1	NA	intercompartmental	99.2037389648607
HMR_0439	216.484155030699	9.57393189933436	Transport, extracellular	19.1	NA	intercompartmental	99.1864289423576
HMR_0384	216.359609963286	9.57396603999991	Transport, extracellular	28965.1 or 2170.1 or 376497.1 or 948.1 or 11000.1 or 2169.1 or 2168.1 or 2173.1 or 2171.1 or 10999.1 or 2172.1 or 2167.1 or 646486.1 or 646480.1	NA	intercompartmental	99.1691189198546
HMR_0387	216.359609963286	9.57396603999991	Transport, extracellular	19.1	NA	intercompartmental	99.1691189198546
HMR_0300	216.289989746088	9.56024490277329	Transport, extracellular	28965.1 or 2170.1 or 376497.1 or 948.1 or 11000.1 or 2169.1 or 2168.1 or 2173.1 or 2171.1 or 10999.1 or 2172.1 or 2167.1 or 646486.1 or 646480.1	NA	intercompartmental	99.1344988748485
HMR_0303	216.289989746088	9.56024490277329	Transport, extracellular	19.1	NA	intercompartmental	99.1344988748485
HMR_0344	216.224912554366	9.56019475439569	Transport, extracellular	28965.1 or 2170.1 or 376497.1 or 948.1 or 11000.1 or 2169.1 or 2168.1 or 2173.1 or 2171.1 or 10999.1 or 2172.1 or 2167.1 or 646486.1 or 646480.1	NA	intercompartmental	99.0998788298425
HMR_0347	216.224912554366	9.56019475439569	Transport, extracellular	19.1	NA	intercompartmental	99.0998788298425
HMR_0837	216.168123960379	9.57424989878134	Glycosphingolipid metabolism	6482.1 or 6484.1 or 6483.1	NA	[c]	99.0652587848364
HMR_0296	215.9942369979	9.5740928612028	Transport, extracellular	28965.1 or 2170.1 or 376497.1 or 948.1 or 11000.1 or 2169.1 or 2168.1 or 2173.1 or 2171.1 or 10999.1 or 2172.1 or 2167.1 or 646486.1 or 646480.1	NA	intercompartmental	99.0479487623334
HMR_0299	215.9942369979	9.5740928612028	Transport, extracellular	19.1	NA	intercompartmental	99.0479487623334
HMR_0254	215.894899654462	9.56030699812027	Transport, extracellular	28965.1 or 2170.1 or 376497.1 or 948.1 or 11000.1 or 2169.1 or 2168.1 or 2173.1 or 2171.1 or 10999.1 or 2172.1 or 2167.1 or 646486.1 or 646480.1	NA	intercompartmental	99.0133287173273
HMR_0257	215.894899654462	9.56030699812027	Transport, extracellular	19.1	NA	intercompartmental	99.0133287173273
CE2537ATP	215.818412198972	9.58090124780258	Transport, extracellular		lipid metabolism	intercompartmental	98.9787086723213
CE2537ABCt	215.818412198972	9.58090124780258	Transport, extracellular	376497.1 or 11001.1 or 11000.1 or 10999.1 or 10998.1 or 28965.1	NA	intercompartmental	98.9787086723213
HMR_0244	215.79606464691	9.57410673604292	Transport, extracellular	28965.1 or 2170.1 or 376497.1 or 948.1 or 11000.1 or 2169.1 or 2168.1 or 2173.1 or 2171.1 or 10999.1 or 2172.1 or 2167.1 or 646486.1 or 646480.1	NA	intercompartmental	98.9440886273152
HMR_0247	215.79606464691	9.57410673604292	Transport, extracellular	19.1	NA	intercompartmental	98.9440886273152
r0129	215.61346770619	9.57420180862575	Glutathione metabolism	(2687.1 or 2678.1 or 92086.1 or 728441.1 or 102724197.1 or 2686.1 or 124975.1) or ((2687.1 or 2678.1 or 92086.1 or 728441.1 or 102724197.1 or 2686.1 or 124975.1) and 91227.1)	glutathione degradation, cytosol	[c]	98.9094685823092
AMPTASECG	215.61346770619	9.57420180862575	Glutathione metabolism	290.1	di-peptidase, cysteinylglycine, cytosol	[c]	98.9094685823092
biomass_maintenance_noTrTr	215.584662195411	9.58086094037454	Exchange/demand reaction		NA	[c]	98.8748485373031
