del_rxnID_KO	mta_score	alt_score	subSystem	GPR	MetabolicUnits	Localization	mta_score_prctile
C14769td1	90.8592536198194	3.45258117943853	Transport, extracellular		NA	intercompartmental	100
EX_C14769[e]	90.8592536198194	3.45258117943853	Exchange/demand reaction		NA	[e]	100
HMR_0946	90.8592536198194	3.45258117943853	Arachidonic acid metabolism	64816.1 or 1565.1 or 1577.1 or 1562.1 or 1571.1 or 1573.1 or 1588.1 or 1545.1 or 1559.1 or 1558.1 or 1543.1 or 1544.1 or 1580.1 or 113612.1 or 1576.1 or 1551.1 or 1557.1 or 29785.1 or 57834.1 or 199974.1 or 66002.1 or 260293.1 or 11283.1 or 1555.1 or 1572.1 or 1553.1 or 1549.1 or 1548.1	NA	[c]	100
C14768td	90.8380916653158	3.45258529862758	Transport, extracellular		NA	intercompartmental	99.9447310243183
EX_C14768[e]	90.8380916653158	3.45258529862758	Exchange/demand reaction		NA	[e]	99.9447310243183
HMR_0942	90.8380916653158	3.45258529862758	Arachidonic acid metabolism	64816.1 or 1565.1 or 1577.1 or 1562.1 or 1571.1 or 1573.1 or 1588.1 or 1545.1 or 1559.1 or 1558.1 or 1543.1 or 1544.1 or 1580.1 or 113612.1 or 1576.1 or 1551.1 or 1557.1 or 29785.1 or 57834.1 or 199974.1 or 66002.1 or 260293.1 or 11283.1 or 1555.1 or 1572.1 or 1553.1 or 1549.1 or 1548.1	NA	[c]	99.9447310243183
C14826td	90.5518973885131	3.45259268917156	Transport, extracellular		lipid metabolism	intercompartmental	99.8894620486367
EX_C14826[e]	90.5518973885131	3.45259268917156	Exchange/demand reaction		NA	[e]	99.8894620486367
HMR_2457	90.5518973885131	3.45259268917156	Linoleate metabolism	64816.1 or 1565.1 or 1577.1 or 1562.1 or 1571.1 or 1573.1 or 1588.1 or 1545.1 or 1559.1 or 1558.1 or 1543.1 or 1544.1 or 1580.1 or 113612.1 or 1576.1 or 1551.1 or 1557.1 or 29785.1 or 57834.1 or 199974.1 or 66002.1 or 260293.1 or 11283.1 or 1555.1 or 1572.1 or 1553.1 or 1549.1 or 1548.1	NA	[c]	99.8894620486367
EX_gchola[e]	90.320432058747	3.45262145282055	Exchange/demand reaction		NA	[e]	99.834193072955
C14OHc	90.3069722494352	3.45261718674411	Fatty acid oxidation	1374.1 or 1375.1 or 126129.1	carnitine shuttle	[c]	99.8157700810612
EX_3tdcrn[e]	90.3069722494352	3.45261718674411	Exchange/demand reaction		NA	[e]	99.8157700810612
HTDCACBP	90.3069722494352	3.45261718674411	Fatty acid oxidation	1622.1	NA	intercompartmental	99.8157700810612
HTDCRNe	90.3069722494352	3.45261718674411	Fatty acid oxidation		NA	intercompartmental	99.8157700810612
FAOXC14C14OHm	90.3069722492004	3.45261718674415	Fatty acid oxidation	37.1 and 3030.1	betaoxidation	[m]	99.7420781134856
C10OHc	90.3069722491963	3.45261718674413	Fatty acid oxidation	1374.1 or 1375.1 or 126129.1	carnitine shuttle	[c]	99.7236551215917
DECCRNe	90.3069722491963	3.45261718674413	Fatty acid oxidation		NA	intercompartmental	99.7236551215917
EX_3deccrn[e]	90.3069722491963	3.45261718674413	Exchange/demand reaction		NA	[e]	99.7236551215917
HDCACBP	90.3069722491963	3.45261718674413	Fatty acid oxidation	1622.1	NA	intercompartmental	99.7236551215917
HMR_0750	90.3069722489402	3.45261718674408	Sphingolipid metabolism	79603.1 or 91012.1 or 29956.1 or 204219.1 or 253782.1 or 10715.1	NA	[c]	99.6499631540162
C12OHc	90.3069722488883	3.45261718674418	Fatty acid oxidation	1374.1 or 1375.1 or 126129.1	carnitine shuttle	[c]	99.6315401621223
DDCRNe	90.3069722488883	3.45261718674418	Fatty acid oxidation		NA	intercompartmental	99.6315401621223
EX_3ddcrn[e]	90.3069722488883	3.45261718674418	Exchange/demand reaction		NA	[e]	99.6315401621223
HDDACBP	90.3069722488883	3.45261718674418	Fatty acid oxidation	1622.1	NA	intercompartmental	99.6315401621223
HMR_8397	90.3069722488349	3.4526171867441	Inositol phosphate metabolism	23556.1	NA	[r]	99.5578481945468
H4ETer	90.3069722487865	3.45261718674416	Phosphatidylinositol phosphate metabolism	23556.1 or 23556.2	phospholipid metabolism, er/ inositol	[r]	99.5394252026529
GLYOX	90.3069722482779	3.4526171867442	Pyruvate metabolism	3029.1 or 84264.2 or 84264.1	NA	[c]	99.521002210759
2MB2COAc	90.3069722411012	3.4526171867434	Fatty acid oxidation	1622.1	NA	intercompartmental	99.5025792188651
C51CPT1	90.3069722411012	3.4526171867434	Fatty acid oxidation	1374.1 or 1375.1 or 126129.1	carnitine shuttle	[c]	99.5025792188651
EX_c51crn[e]	90.3069722411012	3.4526171867434	Exchange/demand reaction		NA	[e]	99.5025792188651
TIGCRNe	90.3069722411012	3.4526171867434	Fatty acid oxidation		NA	intercompartmental	99.5025792188651
HMR_2282	90.1356566089526	3.45262159021643	Fatty acid synthesis	6319.1 or 79966.1	NA	[c]	99.4288872512896
HMR_0207	90.1356566089111	3.45262159021643	Transport, extracellular	19.1	NA	intercompartmental	99.4104642593957
