del_rxnID_KO	mta_score	alt_score	subSystem	GPR	MetabolicUnits	Localization	mta_score_prctile
BUTSMCT1	1.10147148040578	0.790162270454136	Transport, extracellular	160728.1	NA	intercompartmental	100
HMR_9607	0.962841315013558	1.08573268024176	Transport, extracellular	8884.1	NA	intercompartmental	99.9815464107769
CRVNCtr	0.956507320983984	0.918401062490473	Transport, extracellular		NA	intercompartmental	99.9630928215538
FATP7t	0.956507320983984	0.918401062490473	Transport, extracellular	10998.1 or 11001.1	NA	intercompartmental	99.9630928215538
r2097	0.951566630520766	2.36040433430168	Transport, extracellular	6566.1	NA	intercompartmental	99.9261856431076
r2122	0.764307807954607	0.751314045109279	Transport, extracellular	6566.1	NA	intercompartmental	99.9077320538845
PPASMCT1	0.737195357401535	1.11603967762435	Transport, extracellular	160728.1	NA	intercompartmental	99.8892784646614
r1116	0.652688480629189	0.0773548717512644	Transport, extracellular		NA	intercompartmental	99.8708248754383
PYRSMCT1	0.639076010805524	2.27833784764131	Transport, extracellular	160728.1	NA	intercompartmental	99.8523712862152
ATPH1e	0.620091690236895	0.074843304023287	Nucleotide interconversion	954.1 or 954.2 or 953.1 or 956.1 or 955.1 or 957.1	purine catabolism, cytosol	[e]	99.8339176969921
L_LACt4r	0.607528410337483	2.85748072646654	Transport, extracellular	160728.1	NA	intercompartmental	99.815464107769
GLNCYSNaEx	0.547811513810798	0.886743756548695	Transport, extracellular	6510.1	NA	intercompartmental	99.7970105185459
r2096	0.503724940340183	2.05342400410653	Transport, extracellular	6566.1	NA	intercompartmental	99.7785569293227
ASPt6	0.502826186609332	1.23086161770491	Transport, extracellular	6511.1 or 6505.1 or 6507.1 or 6506.1 or 6512.1	NA	intercompartmental	99.7601033400996
NTD7e	0.497102236525423	0.0541045335833622	Nucleotide interconversion	4907.1 or 30833.1	purine catabolism, cytosol	[e]	99.7416497508765
r2086	0.474797068226094	1.91727270278142	Transport, extracellular	6566.1	NA	intercompartmental	99.7231961616534
56DTHMt	0.473740265715375	0.721736936604195	Transport, extracellular		NA	intercompartmental	99.7047425724303
56DTHMtd	0.473740265715375	0.721736936604195	Transport, extracellular		NA	intercompartmental	99.7047425724303
r2117	0.467821921935005	0.430379237376629	Transport, extracellular	6566.1	NA	intercompartmental	99.6678353939841
r2112	0.464313276508512	4.12194463143381	Transport, extracellular	6566.1	NA	intercompartmental	99.649381804761
HMR_9652	0.458600400117617	1.33225107488007	Transport, extracellular		NA	intercompartmental	99.6309282155379
r1866	0.458402276699839	1.01055089391614	Transport, extracellular	9057.1	NA	intercompartmental	99.6124746263148
r2090	0.451823509062481	1.08872971174684	Transport, extracellular	6566.1	NA	intercompartmental	99.5940210370917
r1728	0.450661300213478	0.594469890871761	Transport, extracellular	9057.1	NA	intercompartmental	99.5755674478686
r2095	0.448177799652291	0.254588096809985	Transport, extracellular	6566.1	NA	intercompartmental	99.5571138586455
r2082	0.442137228762692	0.112401287811611	Transport, extracellular	6566.1	NA	intercompartmental	99.5386602694224
r2129	0.42263532513	0.138807733948894	Transport, extracellular	6566.1	NA	intercompartmental	99.5202066801993
r1881	0.416617067571291	1.25378942484949	Transport, extracellular	9057.1	NA	intercompartmental	99.5017530909762
r1851	0.409157605310572	0.56435705468458	Transport, extracellular	9057.1	NA	intercompartmental	99.4832995017531
r1683	0.40506534425289	0.842846689529469	Transport, extracellular	9057.1	NA	intercompartmental	99.46484591253
HOMOVALte	0.400515004053252	1.29866476074474	Transport, extracellular	9376.1	NA	intercompartmental	99.4463923233069
PROt4_2_r	0.390980222533333	5.3057108007918	Transport, extracellular	6534.1	NA	intercompartmental	99.4279387340838
r2121	0.366565818912285	0.997192535850659	Transport, extracellular	6566.1	NA	intercompartmental	99.4094851448607
ALAPAT4te	0.365868443917243	0.100680310926917	Transport, extracellular	120103.1	NA	intercompartmental	99.3910315556376
NACUP	0.362881907832642	1.64738882604985	Transport, extracellular		NA	intercompartmental	99.3725779664145
r1896	0.357211610953003	0.610292918503416	Transport, extracellular	9057.1	NA	intercompartmental	99.3541243771914
r1776	0.353720681706729	1.31780638466034	Transport, extracellular	9057.1	NA	intercompartmental	99.3356707879683
PROt4	0.35013956923053	0.384557889252348	Transport, extracellular	55089.1 or 81539.1 or 54407.1 or (340024.1 and 57393.1) or (340024.1 and 59272.1)	NA	intercompartmental	99.3172171987452
r2100	0.348818828743757	2.25851495354458	Transport, extracellular	6566.1	NA	intercompartmental	99.2987636095221
PROPAT4te	0.341926352088403	0.583341411516705	Transport, extracellular	120103.1	NA	intercompartmental	99.2803100202989
r1579	0.331614711006086	5.00442399235003	Transport, extracellular	8140.1	NA	intercompartmental	99.2618564310758
r1746	0.330126756290781	0.358997742386577	Transport, extracellular	9057.1	NA	intercompartmental	99.2434028418527
NACSMCTte	0.326203524445906	1.65400760801679	Transport, extracellular	160728.1	NA	intercompartmental	99.2249492526296
r2118	0.324513865146132	1.02035960018596	Transport, extracellular	6566.1	NA	intercompartmental	99.2064956634065
r2079	0.318144808149345	2.15289074104687	Transport, extracellular	6566.1	NA	intercompartmental	99.1880420741834
r1731	0.316159971072542	0.796598506746717	Transport, extracellular	9057.1	NA	intercompartmental	99.1695884849603
r1566	0.306566760263545	4.92390041959722	Transport, extracellular	8140.1	NA	intercompartmental	99.1511348957372
MMAt2e	0.298548279690994	0.872302808885765	Transport, extracellular	343.1	NA	intercompartmental	99.1326813065141
MMAte	0.298548279690994	0.872302808885765	Transport, extracellular	57127.1 or 51458.1	NA	intercompartmental	99.1326813065141
r2131	0.295910874096423	0.470353739234358	Transport, extracellular	6566.1	NA	intercompartmental	99.0957741280679
r1959	0.294484421554868	0.919549217898273	Transport, extracellular	9057.1	NA	intercompartmental	99.0773205388448
r1650	0.289654916797433	4.88166268220495	Transport, extracellular	8140.1	NA	intercompartmental	99.0588669496217
FATP8t	0.273208572690845	0.664660407144269	Transport, extracellular	10998.1 or 11001.1	NA	intercompartmental	99.0404133603986
