del_rxnID_KO	mta_score	alt_score	subSystem	GPR	MetabolicUnits	Localization	mta_score_prctile
GMAND	955.952518803953	19.2196380594426	Fructose and mannose metabolism	2762.1	NA	[c]	100
NDPK5m	761.982066377366	17.9917749610398	Nucleotide interconversion	4833.1 or 10201.1	NA	[m]	99.9830966869506
NTD1m	761.982066377366	17.9917749610398	Nucleotide interconversion	56953.1	pyrimidine catabolism, cytosol	[m]	99.9830966869506
RE1530M	761.982066377366	17.9917749610398	Pyrimidine synthesis	7084.1	pyrimidine synthesis/ de novo	[m]	99.9830966869506
P5CRm	488.423684629802	9.69636706985118	Arginine and proline metabolism	5831.1 or 5831.2	arginine metabolism	[m]	99.9323867478026
HMR_4777	488.423684629802	9.69636706985118	Arginine and proline metabolism	8974.1 or 5033.1 or 283208.1	NA	[m]	99.9323867478026
FAOXC183806m	482.377782959522	9.69650226630059	Fatty acid oxidation	34.1 or 35.1	betaoxidation	[m]	99.8985801217038
FAOXC181C161m	482.354388761697	9.69651844101233	Fatty acid oxidation	37.1 and 3030.1 and 3032.1	betaoxidation	[m]	99.8816768086545
DM_Ser_Thr_ly_	482.326825905209	9.69650637181773	Exchange/demand reaction		NA	[l]	99.8647734956051
EX_leuktrB4wcooh[e]	482.326825902956	9.69650637181772	Exchange/demand reaction		NA	[e]	99.8478701825558
LEUKTRB4WCOOHt	482.326825902956	9.69650637181772	Transport, extracellular		NA	intercompartmental	99.8478701825558
S3TASE1ly	482.326825901713	9.6965063718177	Heparan sulfate degradation		NA	[l]	99.8140635564571
HS1ly	482.32359487084	9.69644140589797	Heparan sulfate degradation	6448.1	heparan sulphate degradation, lysosome	[l]	99.7971602434077
S6TASE1ly	482.32359487084	9.69644140589797	Heparan sulfate degradation	2799.1	NA	[l]	99.7971602434077
EX_lnlccrn[e]	482.322776748939	9.69642495599269	Exchange/demand reaction		NA	[e]	99.763353617309
HMR_0859	482.32275225386	9.6964244634349	Glycosphingolipid metabolism	84002.1	NA	[c]	99.7464503042596
HMR_3198	482.32231828074	9.69641573648448	Fatty acid oxidation	34.1 or 28976.1	NA	[m]	99.7295469912103
r1252	482.317469165261	9.69631818793841	Fatty acid oxidation	2182.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	fatty acid activation, cytosol	[c]	99.7126436781609
GLCAASE1ly	482.31677668914	9.69630431355218	Heparan sulfate degradation	2990.1	NA	[l]	99.6957403651116
GLCNACASE2ly	482.31677668914	9.69630431355218	Heparan sulfate degradation	4669.1	heparan sulphate degradation, lysosome	[l]	99.6957403651116
FAOXTC101TC102m	482.316703015386	9.69630283144179	Fatty acid oxidation	34.1	betaoxidation	[m]	99.6619337390128
FAOXTC102C101m	482.316703015386	9.69630283144179	Fatty acid oxidation	1666.1	betaoxidation	[m]	99.6619337390128
FAOXTC122TC101m	482.316703015386	9.69630283144179	Fatty acid oxidation	1892.1 and 3033.1 and 10449.1	betaoxidation	[m]	99.6619337390128
FAOXTC122m	482.316703015386	9.69630283144179	Fatty acid oxidation	1632.1	betaoxidation	[m]	99.6619337390128
FAOXTC142TC122m	482.316703015386	9.69630283144179	Fatty acid oxidation	37.1 and 3030.1 and 3032.1	betaoxidation	[m]	99.6619337390128
ACOAO7p	482.316624086177	9.69630124519694	Fatty acid oxidation	51.1 or 51.2	betaoxidation	[x]	99.5774171737661
FACOAL245_2	453.977638880079	9.69624237069631	Fatty acid oxidation	2180.1	fatty acid activation, cytosol	[c]	99.5605138607167
r0220	427.904295235717	9.69656051380904	Miscellaneous	79611.1 or 55902.1 or 84532.1	NA	[c]	99.5436105476673
r0318	427.904295235717	9.69656051380904	Miscellaneous	79611.1 or 55902.1 or 84532.1	fatty acid activation, cytosol	[c]	99.5436105476673
HMR_4776	427.679840076575	8.46878749720842	Arginine and proline metabolism	8974.1 or 5033.1 or 283208.1	NA	[c]	99.5098039215686
HEXDTRm	427.654382882937	8.46877349103764	Fatty acid oxidation	10965.1 or 11332.1 or 10005.1 or 55856.1	NA	[m]	99.4929006085193
HEXDTRtm	427.654382882937	8.46877349103764	Transport, mitochondrial	7350.1	NA	intercompartmental	99.4929006085193
HEXDTRte	427.654382882937	8.46877349103764	Transport, extracellular		NA	intercompartmental	99.4929006085193
EX_hexdtr[e]	427.654382882937	8.46877349103764	Exchange/demand reaction		NA	[e]	99.4929006085193
HYPOE	426.232500022158	8.46893414869248	Vitamin B6 metabolism	57026.1	vitamin b6 metabolism, cytosol	[c]	99.4252873563218
PYDAMK	426.232500022158	8.46893414869248	Vitamin B6 metabolism	8566.1	vitamin b6 metabolism, cytosol	[c]	99.4252873563218
THEXDDm	425.626253644529	8.46903792371555	Fatty acid oxidation	10965.1 or 11332.1 or 10005.1 or 55856.1	NA	[m]	99.3914807302231
THEXDDtm	425.626253644529	8.46903792371555	Transport, mitochondrial	7350.1	NA	intercompartmental	99.3914807302231
THEXDDte	425.626253644529	8.46903792371555	Transport, extracellular		NA	intercompartmental	99.3914807302231
EX_thexdd[e]	425.626253644529	8.46903792371555	Exchange/demand reaction		NA	[e]	99.3914807302231
EX_prostgh2[e]	423.885482991529	9.69593796476826	Exchange/demand reaction		NA	[e]	99.3238674780257
CYTK13	423.813178340372	8.46870128044363	Nucleotide interconversion	51727.1	NA	[c]	99.3069641649763
CDSm	423.424124815151	8.46863996984518	Glycerophospholipid metabolism	1040.1 or 8760.1	new to recon	[m]	99.290060851927
CYTK1m	423.424124815151	8.46863996984518	Nucleotide interconversion	129607.1 	NA	[m]	99.290060851927
NDPK3m	423.424124815151	8.46863996984518	Nucleotide interconversion	4833.1 or 10201.1	NA	[m]	99.290060851927
r2472	423.424124815151	8.46863996984518	Transport, mitochondrial	54020.1	NA	intercompartmental	99.290060851927
PA_HStm	423.424124815151	8.46863996984518	Transport, mitochondrial		NA	intercompartmental	99.290060851927
PGP_hs_tm	423.424124815151	8.46863996984518	Transport, mitochondrial		NA	intercompartmental	99.290060851927
HMR_0582	423.424124815151	8.46863996984518	Glycerophospholipid metabolism	9489.1	NA	[m]	99.290060851927
PRODt2r	421.482630800167	8.46863503739171	Transport, extracellular	206358.1	NA	intercompartmental	99.1717376605815
PRO_Dtde	421.482630800167	8.46863503739171	Transport, extracellular		NA	intercompartmental	99.1717376605815
DESAT18_4	421.292838164657	8.46872183476384	Fatty acid synthesis	6319.1	fatty acid synthesis & elongation	[c]	99.1379310344828
ADRNCOAtx	421.282247888149	8.46909078989281	Transport, peroxisomal		NA	intercompartmental	99.1210277214334
TETPENT6COAtx	421.282247888149	8.46909078989281	Transport, peroxisomal		NA	intercompartmental	99.1210277214334
RE3156X	421.282247888149	8.46909078989281	Fatty acid oxidation	3295.1 or 1962.1	betaoxidation	[x]	99.1210277214334
RE3157X	421.282247888149	8.46909078989281	Fatty acid oxidation	8310.1 or 8309.1 or 51.1	betaoxidation	[x]	99.1210277214334
RE3158X	421.282247888149	8.46909078989281	Fatty acid oxidation	30.1	betaoxidation	[x]	99.1210277214334
RE3159X	421.282247888149	8.46909078989281	Fatty acid oxidation	1962.1	betaoxidation	[x]	99.1210277214334
S2T1g	421.281582350645	8.46907740834263	Chondroitin synthesis	10090.1	NA	[g]	99.0196078431373
S2T4g	421.28106942721	8.46906709514742	Chondroitin synthesis	9653.1	NA	[g]	99.0027045300879
ESTRADIOLt	421.281069424193	8.46906709514797	Transport, extracellular		NA	intercompartmental	98.9858012170385
EX_estradiol[e]	421.281069424193	8.46906709514797	Exchange/demand reaction		NA	[e]	98.9858012170385
FAOXC14C12m	421.280916857116	8.46906402679285	Fatty acid oxidation	37.1 and 3030.1 and 3032.1	betaoxidation	[m]	98.9519945909398
S4T4g	421.280916829635	8.46906402679251	Chondroitin synthesis		NA	[g]	98.9350912778905
HSPGt	421.280403910344	8.4690537135976	Transport, extracellular		NA	intercompartmental	98.9181879648411
HSPGtly	421.280403910344	8.4690537135976	Transport, lysosomal		NA	intercompartmental	98.9181879648411
FACOAL1831	421.271511176916	8.46906912218007	Fatty acid oxidation	2180.1 or 2182.1 or 2181.1 or 81616.1 or 23305.1 or 51703.1	fatty acid activation, cytosol	[c]	98.8843813387424
DMHPTCRNte	421.270504446663	8.46885466661186	Transport, extracellular		NA	intercompartmental	98.867478025693
EX_dmhptcrn[e]	421.270504446663	8.46885466661186	Exchange/demand reaction		NA	[e]	98.867478025693
GALNTg	421.270351858867	8.46885159825661	O-glycan metabolism	26290.1 or 79695.1 or 2589.1 or 50614.1 or 8693.1 or 55568.2 or 114805.1 or 11226.1 or 117248.1 or 11227.1 or 55568.1 or 2590.1 or 51809.1 or 26290.1 or 79623.1 or 63917.1 or 2591.1	amino sugar metabolism	[g]	98.8336713995943
EX_fald[e]	421.27035185784	8.46885159825657	Exchange/demand reaction		NA	[e]	98.816768086545
r1421	421.27035185784	8.46885159825657	Transport, extracellular		NA	intercompartmental	98.816768086545
HMR_3199	421.270351856076	8.46885159825651	Fatty acid oxidation	3030.1 or 1892.1	NA	[m]	98.7829614604462
FAOXC163C164Gm	421.270201441489	8.46884853046859	Fatty acid oxidation	37.1	betaoxidation	[m]	98.7660581473969
FAOXC164GC163m	421.270201441489	8.46884853046859	Fatty acid oxidation	1666.1	betaoxidation	[m]	98.7660581473969
Ser_Thrtg	421.270199252543	8.46884852990135	Transport, golgi apparatus		NA	intercompartmental	98.7322515212982
GLCURtly	421.269888355951	8.46884227018097	Transport, lysosomal	26503.1	NA	intercompartmental	98.7153482082488
AMETt	421.269887986204	8.46884227017563	Transport, extracellular		NA	intercompartmental	98.6984448951995
EX_amet[e]	421.269887986204	8.46884227017563	Exchange/demand reaction		NA	[e]	98.6984448951995
EX_stcrn[e]	421.269887881012	8.46884227017681	Exchange/demand reaction		NA	[e]	98.6646382691007
STCRNtr	421.269887881012	8.46884227017681	Transport, extracellular		transport, extracellular	intercompartmental	98.6646382691007
XYLtly	421.269737511335	8.46883920240676	Transport, lysosomal		NA	intercompartmental	98.630831643002
LINKDEG3ly	421.269686377659	8.46883821670673	Chondroitin sulfate degradation		NA	[l]	98.6139283299527
r0541	421.269686365175	8.46883821670662	Tryptophan metabolism	2639.1	lysine metabolism	[m]	98.5970250169033
RE3587C	421.269686349918	8.46883821670649	Eicosanoid metabolism		NA	[c]	98.5801217038539
HMR_1390	421.269686349918	8.46883821670649	Eicosanoid metabolism	5743.1 or 5742.1	NA	[c]	98.5801217038539
HMR_1392	421.269686349918	8.46883821670649	Transport, endoplasmic reticular	5743.1 or 5742.1	NA	intercompartmental	98.5801217038539
EX_meoh[e]	421.269686337477	8.46883821670642	Exchange/demand reaction		NA	[e]	98.5294117647059
MEOHt2	421.269686337477	8.46883821670642	Transport, extracellular		NA	intercompartmental	98.5294117647059
RE3568C	421.269686323782	8.46883821670646	Eicosanoid metabolism		NA	[c]	98.4956051386072
