subSystem_BNRC	n.x	n.y	p.val	p.val.fdr
Bile acid synthesis	1	40	0.974792501872573	0.999997603890375
Eicosanoid metabolism	1	50	0.989995183776313	0.999997603890375
Folate metabolism	1	42	0.979043421606196	0.999997603890375
Glutathione metabolism	1	13	0.696828965098771	0.999997603890375
Glycine, serine, alanine, and threonine metabolism	1	18	0.808560161874884	0.999997603890375
Glycosphingolipid metabolism	1	25	0.899485257453135	0.999997603890375
NAD metabolism	1	16	0.769900957912687	0.999997603890375
Oxidative phosphorylation	1	7	0.473921333419676	0.999997603890375
Phenylalanine metabolism	1	9	0.562185551039019	0.999997603890375
Purine catabolism	1	24	0.889789761731405	0.999997603890375
Pyruvate metabolism	1	22	0.867509145171642	0.999997603890375
Steroid metabolism	1	25	0.899485257453135	0.999997603890375
Valine, leucine, and isoleucine metabolism	1	32	0.947265603384482	0.999997603890375
Vitamin A metabolism	1	22	0.867509145171642	0.999997603890375
Vitamin C metabolism	1	6	0.423338640979276	0.999997603890375
Aminosugar metabolism	2	15	0.383402857205687	0.999997603890375
Arachidonic acid metabolism	2	19	0.505708360229249	0.999997603890375
Exchange	2	16	0.415348915805156	0.999997603890375
Fructose and mannose metabolism	2	18	0.476585924272923	0.999997603890375
Inositol phosphate metabolism	2	42	0.893885344034516	0.999997603890375
Pentose phosphate pathway	2	31	0.769071512158796	0.999997603890375
Methionine and cysteine metabolism	3	31	0.518855058346346	0.999997603890375
Drug metabolism	4	91	0.964134638992679	0.999997603890375
Miscellaneous	4	112	0.991070682316612	0.999997603890375
Nucleotide interconversion	4	138	0.998593115397501	0.999997603890375
Sphingolipid metabolism	4	63	0.814895749674415	0.999997603890375
Transport, endoplasmic reticular	4	109	0.98903894066371	0.999997603890375
Transport, golgi apparatus	4	49	0.633380649975431	0.999997603890375
Peptide metabolism	5	242	0.999997603890375	0.999997603890375
Transport, peroxisomal	6	89	0.804205701074276	0.999997603890375
Transport, mitochondrial	12	260	0.99684475870458	0.999997603890375
Exchange/demand reaction	93	1072	0.563855232633784	0.999997603890375
Transport, extracellular	102	1363	0.975689734453823	0.999997603890375
Taurine and hypotaurine metabolism	1	4	0.307147315993603	0.903374458804715
Fatty acid synthesis	20	191	0.231308574111635	0.722839294098858
Butanoate metabolism	1	2	0.167596404939965	0.558654683133217
Chondroitin synthesis	6	39	0.121568996758049	0.434174988421605
Transport, lysosomal	10	69	0.0764842204279056	0.294170078568868
Histidine metabolism	2	5	0.0641276397396203	0.267198498915085
O-glycan metabolism	2	5	0.0641276397396203	0.267198498915085
Phosphatidylinositol phosphate metabolism	6	32	0.056187245672551	0.267198498915085
Glycerophospholipid metabolism	17	125	0.0444346262570909	0.246859034761616
Glyoxylate and dicarboxylate metabolism	3	7	0.0179145032195661	0.111965645122288
Cholesterol metabolism	24	158	0.00515725587129036	0.0368375419377883
Heparan sulfate degradation	9	27	0.000316650874361522	0.00263875728634602
Keratan sulfate synthesis	9	22	5.00995669618728e-05	0.000500995669618728
Tyrosine metabolism	13	41	2.75031342749278e-05	0.000343789178436597
Keratan sulfate degradation	18	60	1.96811039657303e-06	3.28018399428838e-05
Fatty acid oxidation	111	807	2.64079933896181e-07	6.60199834740452e-06
Chondroitin sulfate degradation	18	36	1.43580037823204e-10	7.17900189116019e-09
