subSystem_BRC	n.x	n.y	p.val	p.val.fdr
Eicosanoid metabolism	1	60	0.961716403932461	0.999820814769264
Glycerophospholipid metabolism	2	120	0.988924071073177	0.999820814769264
Fatty acid oxidation	23	799	0.999820814769264	0.999820814769264
Folate metabolism	1	41	0.892040217219583	0.962464444894813
Tyrosine metabolism	1	37	0.865763970374918	0.959360075280315
Miscellaneous	4	108	0.828702114354104	0.943799630236619
Methionine and cysteine metabolism	1	28	0.780969725551127	0.91485024993132
Transport, mitochondrial	12	258	0.715360441916201	0.862640532898949
Citric acid cycle	1	19	0.642875005938379	0.822952806650463
Exchange	1	18	0.622956657253333	0.822952806650463
Sink	1	18	0.622956657253333	0.822952806650463
Vitamin A metabolism	1	19	0.642875005938379	0.822952806650463
Drug metabolism	4	80	0.614671071321763	0.822952806650463
Transport, peroxisomal	4	85	0.66237664925525	0.822952806650463
Nucleotide interconversion	7	141	0.619430284617055	0.822952806650463
Exchange/demand reaction	55	1080	0.635015558360041	0.822952806650463
Phenylalanine metabolism	1	12	0.477922360529977	0.783792671269162
Pyrimidine synthesis	1	12	0.477922360529977	0.783792671269162
Bile acid synthesis	3	48	0.467563779923871	0.783792671269162
Heme synthesis	1	9	0.385737352249432	0.718874156464851
Pyruvate metabolism	2	22	0.324021562699092	0.632613527174418
Beta-Alanine metabolism	1	6	0.277333527005409	0.568533730361088
Vitamin B2 metabolism	1	5	0.237116854045997	0.527593186575503
Lysine metabolism	2	18	0.244494403534989	0.527593186575503
Taurine and hypotaurine metabolism	1	4	0.194669353520138	0.469496676136804
Nucleotide salvage pathway	1	3	0.149867682743272	0.384035937029635
Butanoate metabolism	1	2	0.102581701609388	0.3728773096304
Propanoate metabolism	2	11	0.111154779828522	0.3728773096304
Purine synthesis	2	12	0.128918989783783	0.3728773096304
Arginine and proline metabolism	3	24	0.129745602323335	0.3728773096304
Purine catabolism	3	22	0.106451520962825	0.3728773096304
Transport, nuclear	5	46	0.0925207467338399	0.3728773096304
Peptide metabolism	17	242	0.136418527913561	0.3728773096304
Glycine, serine, alanine, and threonine metabolism	3	16	0.0486794062398596	0.24948195697928
Urea cycle	4	22	0.0260354891095849	0.152493579070426
Fatty acid synthesis	19	189	0.00480068538683265	0.0328046834766897
Fructose and mannose metabolism	5	19	0.0024779781328485	0.0203194206893577
ROS detoxification	3	5	0.00133764890662899	0.0145791085263145
Starch and sucrose metabolism	5	16	0.00106077482038906	0.0145791085263145
Cholesterol metabolism	18	157	0.00142235205134775	0.0145791085263145
Transport, extracellular	103	1373	3.4086803664409e-05	0.00139755895024077
