name	BD_NR_top	BD_R_top	BD_top	Ctrl_unchanged
10FTHF7GLUtl	0	0	0	1
10FTHF7GLUtm	0	0	0	1
10FTHFtl	0	0	0	1
10FTHFtm	0	0	1	1
11DOCRTSLte	1	1	1	0
12DHCHOLt	1	1	1	0
13_CIS_RETNte	1	0	1	1
13DAMPPOX	1	0	0	0
13DAMPPte	0	0	1	1
15KPROSTGF2c	0	1	0	0
15KPROSTGF2t	0	1	0	0
17AHPRGSTRNte	1	1	1	0
1A25DHVITD3te	1	1	1	0
1a25DHVITD3TRn	1	1	1	0
2H3MVc	0	0	0	1
2H3MVte	0	0	0	1
2HATVLACtep	0	1	0	0
2HATVLACthc	0	1	0	0
2HBO	0	1	1	1
2HBt2	0	1	1	0
2HCO3_NAt	1	0	0	0
2HIVc	0	0	0	1
2HIVte	0	0	0	1
2M3HBUc	0	0	0	1
2M3HBUte	0	0	0	1
2M3HBUtm	0	0	0	1
2M3HVACc	0	0	1	1
2M3HVACte	0	0	1	1
2M3OVACm	0	0	1	1
2M3OVACtm	0	0	1	1
2M3OVCOAm	0	0	1	1
2MB2COAc	1	0	1	1
2MOPtm	0	1	0	1
2OBUTt	0	1	0	1
2OXOADOXm	0	0	1	1
2OXOADPt	0	0	1	0
2OXOADPTm	0	0	1	1
2PGtr	0	1	1	1
34DHOXMANDte	1	1	1	1
34DHOXPEGOX	1	1	0	1
34DHOXPEGt	1	1	0	1
34DHPHAMT	1	0	0	1
34DHPHEt	1	0	1	1
34DHPLACOX_NADP_	0	0	0	1
34DHXMANDACOX_NADP_	1	1	0	1
34HPLFM	0	1	0	0
34HPLte	0	1	0	0
34HPLtm	0	1	0	0
35DHPVStep	0	1	0	0
35DHPVSthc	0	1	0	0
3AIB_Dtm	0	0	0	1
3AIBt1	0	0	0	1
3AIBTm	0	0	0	1
3AIBtmi	0	0	0	1
3DHCDCHOLt	0	1	0	0
3DHCHOLt	0	1	0	0
3DHCHOLt2	0	1	0	0
3DHLCAt	1	1	0	0
3DSPHR	1	0	0	1
3HADICOAx	1	1	1	0
3HADPACte	1	1	1	0
3HADPACtxc	1	1	1	0
3HADPACx	1	1	1	0
3HBCDm	1	0	0	1
3HBCOAHLm	0	1	0	0
3HBCOARc	1	0	0	1
3HCO3_NAt	1	1	0	1
3HPPt	0	0	0	1
3HPPtm	0	0	0	1
3HPVSCOAhc	1	0	1	0
3HPVSCOAitm	1	0	1	0
3HPVSCOAitx	1	0	1	0
3HPVStep	0	1	0	0
3HPVSTETCOAhcm	1	0	1	0
3HPVSTETCOAhcx	1	0	1	0
3HPVSTETCOAitm	1	0	1	0
3HPVSTETCOAitx	1	0	1	0
3HPVSTEThc	1	0	1	0
3HPVSTETtev	1	0	1	0
3HPVSthc	0	1	0	0
3ISPVStep	0	1	0	0
3ISPVSthc	0	1	0	0
3M4HDXPAC	0	0	1	0
3MHISc	0	0	0	1
3MHISt1	0	0	0	1
3MHISt2	0	0	0	1
3MHISt3	0	1	0	1
3MOBt2im	0	0	1	1
3MOBte	0	1	1	1
3MOPte	0	0	1	1
3MOX4HOXMte	0	1	1	0
3MOX4HOXPGALDOX	0	1	0	1
3MOX4HOXPGALDOX_NADP_	0	0	0	1
3MOXTYROX	0	0	1	0
3MOXTYRt	1	0	1	1
3OHSEBACte	1	1	1	1
3OHSEBACtxc	1	1	1	1
3OHSEBACx	1	1	1	1
3OHSEBCOAx	1	1	1	1
3OHSUBACte	1	0	1	0
3OHSUBACtxc	1	0	1	0
3OHSUBACx	1	0	1	0
3OHSUBCOAx	1	0	1	0
3PGtr	0	0	1	1
3SALAASPm	0	0	0	1
3SALACBOXL	1	0	0	0
3SALATAi	1	0	1	0
3SPYRSP	1	0	1	0
4AABUTNt	1	0	0	0
4HGLSDm	0	1	1	1
4HOXPACDOX_NADP_	0	0	1	0
4HPRO_LTte	1	1	0	1
4HPROLTASCT1	1	1	1	0
4MOPte	0	0	1	0
4TMEABUTNt1	0	1	0	1
4TMEABUTNt2	0	1	0	1
56DURAt	0	0	1	0
56DURAtd	0	0	1	0
5ADTSTSTERONESte	1	1	1	0
5ADTSTSTERONEte	1	1	1	0
5AOPt	0	1	1	1
5AOPtm	0	0	1	1
5EIPENCm	1	0	0	0
5EIPENCte	1	0	0	0
5EIPENCtm	1	0	0	0
5FTHFt2	0	1	1	0
5HOXINDOAtr	1	1	1	0
5HPETtd	1	1	0	0
5MTAte	1	1	1	0
5MTHFt	1	0	0	1
5MTHFt2	1	0	0	1
5MTHFt2le	0	0	0	1
5OHHEXAc	1	1	0	0
5OHHEXAte	1	1	0	0
5OXPROt	1	0	0	0
6HOXMELATNte	0	0	1	0
7DHCDCHOLt	1	1	1	0
7DHCHOLt	1	1	1	0
7DHCHSTEROLtd	0	1	1	1
7DHCHSTEROLtr	0	0	0	1
7DHFtl	0	0	0	1
7KILTCHOLt	0	0	1	0
7THFtl	0	0	0	1
A_MANASEly	1	0	1	0
A4GALTg	1	1	1	0
AATAi	0	0	1	1
ABO9g	1	1	1	1
ABTD	1	1	1	0
ABTD1	1	0	0	1
ABUTD	1	1	0	1
ABUTt2r	1	1	1	0
ABUTt2rL	1	0	0	1
ACACT10m	0	0	1	1
ACACT1r	1	0	0	0
ACACT1rm	0	0	1	1
ACACT1x	0	1	0	1
ACACt2	0	0	1	0
ACACt2m	0	0	1	1
ACACT4p	0	0	0	1
ACACT5p	0	0	1	1
ACACT6p	1	0	0	1
ACACT7p	1	1	0	0
ACACT8p	0	0	0	1
ACACT9p	1	1	0	1
ACACtx	0	0	1	1
ACALDt	1	0	1	1
ACALDtm	0	0	1	1
ACCOAC	0	0	0	1
ACCOAL	0	1	0	0
ACCOAtn	0	0	0	1
ACETONEt2	0	1	0	1
ACETONEt2m	0	1	0	1
ACGALtly	1	0	0	0
ACGALtr	1	1	1	0
ACGAM2E	1	0	0	1
ACGAM6PSi	1	1	0	0
ACGAMPM	1	1	0	0
ACGAMtly	0	0	0	1
ACGPID	1	0	0	0
ACHOMm	0	0	1	0
ACHOMte	0	0	1	0
ACHOMtm	0	0	1	0
ACHtn	0	0	0	1
ACITL	0	0	1	1
ACLYSHYc	0	0	0	1
ACLYSt	0	0	0	1
ACN13ACNGALGBSIDEte	0	0	1	0
ACN13ACNGALGBSIDEtg	0	0	1	0
ACN23ACNGALGBSIDEte	1	1	0	0
ACN23ACNGALGBSIDEtg	1	1	0	0
ACNACNGAL14ACGLCGALGLUSIDEte	0	0	1	0
ACNACNGAL14ACGLCGALGLUSIDEtg	0	0	0	1
ACNAMlt	1	0	1	0
ACNAMtn	0	0	1	0
ACNAMtr	1	0	0	0
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg	1	0	0	0
ACNMLr	1	0	0	1
ACOAD10m	0	0	0	1
ACOAD1fm	0	1	0	1
ACOAD9m	0	0	0	1
ACOAO7p	0	0	0	1
ACONT	0	0	0	1
ACONTm	0	0	0	1
ACOX22x	1	0	0	0
ACP1_FMN_	0	1	0	1
ACRNte	1	0	0	0
ACS	0	0	1	1
ACS2	1	0	1	0
ACSRTNMT	0	0	1	0
ACt2m	0	0	1	1
ACt2r	0	0	1	1
ACtg	1	0	0	0
ACYP	1	1	0	0
ADCim	0	1	0	1
ADEt	0	0	0	1
ADK1m	0	0	0	1
ADK3m	0	0	0	1
ADNCNT3tc	0	1	0	1
ADNCYC	0	0	0	1
ADNK1	0	0	0	1
ADNK1m	0	0	0	1
ADNt	0	1	0	1
ADNtl	0	0	0	1
ADNtm	0	0	0	1
ADPACDAc	1	1	1	0
ADPACtd	1	1	1	0
ADPCOACROT	1	1	1	0
ADPMAN	0	1	0	0
ADPOHc	0	1	0	0
ADPOHt	0	1	0	0
ADPtx	0	0	1	1
ADRNCOAtx	1	0	0	0
ADRNCPT1	1	0	1	0
ADRNCPT2	1	0	1	1
ADRNCRNt	0	0	0	1
ADRNLtu	0	1	1	0
ADRNt	0	0	0	1
ADSK	0	1	1	1
ADSL1	0	0	0	1
ADSS	0	0	0	1
AG13T16g	1	0	0	1
AG13T17g	1	0	0	1
AG13T18g	1	0	0	1
AG13T1g	1	1	1	0
AG13T2g	1	1	1	0
AG13T3g	1	1	1	1
AGMTm	0	1	0	0
AGPAT1	0	0	1	1
AGRMte	0	1	0	0
AGRMtm	0	1	0	0
AGTim	1	1	0	0
AHC	0	0	0	1
AHCYStd	0	0	0	1
AHCYSte	0	0	1	0
AHEXASE2ly	1	1	1	0
AHEXASEly	1	1	1	0
AICART	0	1	0	1
AICARte	1	0	1	1
AKGDm	0	0	0	1
AKGMALtm	0	0	0	1
AKGt4_3	0	0	1	0
AKGtp	0	0	0	1
AKR1D2	0	1	0	0
ALAALACNc	0	0	0	1
ALAARGCYSr	0	0	1	1
ALAARGCYSt	0	0	1	1
ALAARGGLYr	0	0	1	0
ALAARGGLYt	0	0	1	0
ALAASNLEUr	0	0	0	1
ALAASNLEUt	0	0	0	1
ALADGLNexR	1	0	1	1
ALADGLYexR	1	1	1	1
ALAGLNexR	1	0	1	1
ALAGLYexR	1	0	1	0
ALAGLYLYSr	0	0	1	1
ALAGLYLYSt	0	0	1	1
ALAHISALAr	0	1	0	1
ALAHISALAt	0	1	0	1
ALALYSTHRr	0	0	0	1
ALALYSTHRt	0	0	0	1
