subSystem_BNRC	n.x	n.y	p.val	p.val.fdr
Transport, mitochondrial	1	234	0.999973330019802	0.999973330019802
Fatty acid oxidation	20	691	0.984084037469082	0.999973330019802
Glycerophospholipid metabolism	1	53	0.904098245271955	0.966449848394159
Sphingolipid metabolism	1	49	0.885442040271693	0.966449848394159
Tyrosine metabolism	1	33	0.767063565481781	0.966449848394159
Transport, lysosomal	2	60	0.737934467229135	0.966449848394159
Transport, peroxisomal	2	79	0.861254617712966	0.966449848394159
Miscellaneous	3	93	0.771533660413746	0.966449848394159
Transport, endoplasmic reticular	3	102	0.822858616671674	0.966449848394159
Fatty acid synthesis	5	180	0.894463955034137	0.966449848394159
Steroid metabolism	1	23	0.637424588619498	0.940960107009735
Sink	1	18	0.547786752370193	0.8490694661738
Transport, nuclear	2	37	0.477772355146931	0.81380877573565
Nucleotide interconversion	6	131	0.498786023837979	0.81380877573565
Glutamate metabolism	1	9	0.327306620704507	0.596853249519983
Pyruvate metabolism	2	22	0.244336694518556	0.473402345629702
Exchange	2	21	0.228161840641291	0.471534470658668
Citric acid cycle	2	19	0.196093051786615	0.434206043241791
Glycine, serine, alanine, and threonine metabolism	2	16	0.149340804627295	0.356120380265088
Pyrimidine catabolism	2	16	0.149340804627295	0.356120380265088
Transport, extracellular	60	1219	0.131662939261533	0.356120380265088
Purine synthesis	2	10	0.0661563825969502	0.208354341699941
Cholesterol metabolism	11	154	0.0672110779677229	0.208354341699941
Exchange/demand reaction	51	937	0.0391937478872581	0.151875773063125
Folate metabolism	5	40	0.0273050868885907	0.120922527649473
Phenylalanine metabolism	3	11	0.0100620593757567	0.0519873067747428
CoA synthesis	3	10	0.00755535103081265	0.0468431763910384
Arginine and proline metabolism	4	18	0.0063645613728387	0.0468431763910384
Methionine and cysteine metabolism	5	28	0.00618778005350629	0.0468431763910384
Peptide metabolism	22	242	0.000648300786639283	0.0100486621929089
Inositol phosphate metabolism	9	32	5.14553191644816e-06	0.000159511489409893
