subSystem_BC	n.x	n.y	p.val	p.val.fdr
Aminosugar metabolism	1	15	0.754867633134658	0.999999999905688
Citric acid cycle	1	19	0.831623144801684	0.999999999905688
Glycerophospholipid metabolism	1	53	0.993164288299638	0.999999999905688
Glycolysis/gluconeogenesis	1	24	0.894752623257651	0.999999999905688
Glyoxylate and dicarboxylate metabolism	1	6	0.429878738258495	0.999999999905688
Heme synthesis	1	8	0.527326002537841	0.999999999905688
Leukotriene metabolism	1	5	0.3738786616614	0.999999999905688
Methionine and cysteine metabolism	1	28	0.927753712469278	0.999999999905688
Peptide metabolism	1	241	0.999999999905688	0.999999999905688
Purine catabolism	1	22	0.872982707722248	0.999999999905688
Taurine and hypotaurine metabolism	1	4	0.312390113743312	0.999999999905688
Transport, lysosomal	1	61	0.996793242470186	0.999999999905688
Tryptophan metabolism	1	17	0.796831246738481	0.999999999905688
Eicosanoid metabolism	2	51	0.950002182180783	0.999999999905688
Glutamate metabolism	2	10	0.222941885678758	0.999999999905688
NAD metabolism	2	12	0.291835763908322	0.999999999905688
Pyrimidine catabolism	2	17	0.456837835963225	0.999999999905688
Pyrimidine synthesis	2	11	0.257356031738144	0.999999999905688
Pyruvate metabolism	2	19	0.516578295308613	0.999999999905688
Sink	2	18	0.487251213420983	0.999999999905688
Starch and sucrose metabolism	2	12	0.291835763908322	0.999999999905688
Steroid metabolism	2	24	0.645758829349385	0.999999999905688
Transport, nuclear	2	41	0.892684095446996	0.999999999905688
Tyrosine metabolism	2	33	0.807831752547051	0.999999999905688
Arginine and proline metabolism	3	22	0.313383743903486	0.999999999905688
Folate metabolism	3	39	0.690244782937749	0.999999999905688
Inositol phosphate metabolism	3	30	0.509918195895136	0.999999999905688
Sphingolipid metabolism	3	50	0.837033932957016	0.999999999905688
Transport, endoplasmic reticular	3	107	0.997231522774875	0.999999999905688
Keratan sulfate degradation	4	60	0.796834563743374	0.999999999905688
Transport, peroxisomal	4	87	0.958792755472997	0.999999999905688
Cholesterol metabolism	12	152	0.717619148917735	0.999999999905688
Fatty acid synthesis	12	185	0.911486627606241	0.999999999905688
Transport, mitochondrial	15	226	0.917210585137847	0.999999999905688
Fatty acid oxidation	42	776	0.999968085707635	0.999999999905688
Exchange/demand reaction	78	976	0.886010458816916	0.999999999905688
Exchange	4	20	0.096978545432381	0.595725350513198
Urea cycle	4	20	0.096978545432381	0.595725350513198
Vitamin A metabolism	4	20	0.096978545432381	0.595725350513198
Miscellaneous	13	95	0.0786282987560554	0.595725350513198
Nucleotide interconversion	23	137	0.00212427954048615	0.0304480067469681
Drug metabolism	18	76	8.95527752310119e-05	0.00192538466746676
Transport, extracellular	215	1223	5.39046327041364e-29	2.31789920627786e-27
