name	BD_NR_top	BD_R_top	BD_top	Ctrl_unchanged
10FTHF7GLUtl	0	0	0	1
10FTHFtl	0	0	0	1
11DOCRTSLte	0	1	1	0
12DHCHOLt	0	1	1	0
12PPDRte	1	1	1	0
13_CIS_RETNte	0	1	1	1
13DAMPPOX	1	1	1	0
13DAMPPte	1	1	0	0
17AHPRGSTRNte	0	1	1	0
1PPDCRp	0	1	0	0
2AMACHYD	0	0	1	0
2DR1PP	0	0	1	0
2H3MVc	0	0	0	1
2H3MVte	0	0	0	1
2HATVACIDtep	0	0	1	0
2HATVACIDthc	0	0	1	0
2HATVLACtep	0	0	1	1
2HATVLACthc	0	0	1	1
2HBO	0	1	1	0
2HBt2	0	0	1	0
2HCO3_NAt	0	0	1	1
2HIVc	0	0	0	1
2HIVte	0	0	0	1
2M3HVACc	0	0	0	1
2M3HVACte	0	0	0	1
2M3OVACm	0	0	0	1
2M3OVACtm	0	0	0	1
2M3OVCOAm	0	0	0	1
2MB2COAc	0	1	1	0
2MOPtm	0	1	0	1
2OBUTt	0	1	1	0
2OXOADOXm	1	0	0	0
2OXOADPt	0	0	1	1
2OXOADPTm	1	1	1	0
2PGtr	1	0	0	0
34DHOXMANDte	1	1	1	0
34DHOXPEGOX	1	1	0	0
34DHOXPEGt	1	1	0	0
34DHPHAMT	1	0	0	1
34DHPHAte	0	0	1	0
34DHPHEt	1	1	1	0
34DHPLACOX_NADP_	0	0	0	1
34DHXMANDACOX_NADP_	1	1	0	1
34HPLFM	0	1	0	1
34HPLte	0	1	0	1
34HPLtm	0	1	0	1
34HPPte	0	0	0	1
35DHPVStep	0	1	0	1
35DHPVSthc	0	1	0	1
35DIODTYRte	0	0	1	0
3AIBSYMPt	0	1	1	1
3AIBt1	0	1	1	1
3DSPHR	1	1	0	1
3HADICOAx	0	1	1	0
3HADPACte	0	1	1	0
3HADPACtxc	0	1	1	0
3HADPACx	0	1	1	0
3HBCDm	1	1	1	0
3HBCOAHLm	1	1	0	0
3HBCOARc	1	1	1	0
3HCO3_NAt	0	1	1	0
3HLYTCL	1	1	1	0
3HMPtd	1	1	0	0
3HMPtm	1	1	0	0
3HPVSCOAhc	1	1	1	0
3HPVSCOAitm	1	1	0	0
3HPVSCOAitx	1	0	0	0
3HPVStep	0	0	0	1
3HPVSTETCOAhcm	1	1	0	0
3HPVSTETCOAhcx	1	0	0	0
3HPVSTETCOAitm	1	1	0	0
3HPVSTETCOAitx	1	0	0	0
3HPVSTEThc	1	1	1	0
3HPVSTETtev	1	1	1	0
3HPVSthc	0	0	0	1
3ISPVStep	0	0	1	1
3ISPVSthc	0	0	1	1
3ITYR_Lte	0	0	1	0
3MHISc	0	0	0	1
3MHISt1	0	0	0	1
3MHISt2	0	0	0	1
3MHISt3	0	0	0	1
3MOBt2im	0	0	0	1
3MOBte	1	0	0	1
3MOPte	0	0	0	1
3MOX4HOXMte	0	0	1	0
3MOX4HOXPGALDOX	0	0	0	1
3MOX4HOXPGALDOX_NADP_	0	1	0	1
3MOXTYRt	1	1	1	0
3OHSEBACte	0	1	1	0
3OHSEBACtxc	0	1	1	0
3OHSEBACx	0	1	1	0
3OHSEBCOAx	0	1	1	0
3OHSUBACte	0	1	1	0
3OHSUBACtxc	0	1	1	0
3OHSUBACx	0	1	1	0
3OHSUBCOAx	0	1	1	0
3PGtr	1	0	0	1
3SALAASPm	1	1	0	0
3SALACBOXL	1	0	0	0
3SALATAi	1	1	0	0
3SALATAim	1	1	0	0
3SPYRSP	1	1	0	0
3SPYRSPm	1	1	0	0
4AABUTNt	1	0	0	1
4ABUTtcn	0	1	1	0
4ABUTtm	0	1	1	1
4HATVACIDtep	0	0	1	0
4HATVACIDthc	0	0	1	0
4HATVLACtep	0	1	0	1
4HATVLACthc	0	1	0	1
4HGLSDm	0	0	1	1
4HPRO_LTte	1	0	0	0
4HPROLTASCT1	0	1	0	0
4MOPt2im	0	0	0	1
4MOPte	0	0	0	1
4TMEABUTNt1	0	0	1	1
4TMEABUTNt2	0	0	1	1
56DTHMt	0	1	0	1
56DTHMtd	0	1	0	1
56DURAt	0	1	1	1
56DURAtd	0	1	1	1
5ADTSTSTERONESte	0	1	1	0
5ADTSTSTERONEte	0	1	1	0
5AOPt	1	1	1	0
5AOPtm	1	1	1	1
