subSystem_BRC	n.x	n.y	p.val	p.val.fdr
Galactose metabolism	1	10	0.605059926995375	0.999998128341014
Glutathione metabolism	1	12	0.672093288813519	0.999998128341014
Glycolysis/gluconeogenesis	1	27	0.91891047825137	0.999998128341014
Keratan sulfate degradation	1	60	0.996299743187781	0.999998128341014
Methionine and cysteine metabolism	1	29	0.932712271430831	0.999998128341014
N-glycan degradation	1	10	0.605059926995375	0.999998128341014
NAD metabolism	1	13	0.701221771576992	0.999998128341014
Steroid metabolism	1	24	0.892736193785809	0.999998128341014
Tryptophan metabolism	1	19	0.829081957913256	0.999998128341014
Citric acid cycle	2	19	0.512123693344994	0.999998128341014
Folate metabolism	2	41	0.889919233665003	0.999998128341014
Heparan sulfate degradation	2	27	0.704894854487118	0.999998128341014
Phosphatidylinositol phosphate metabolism	2	31	0.774857782474696	0.999998128341014
Purine catabolism	2	20	0.540258987430186	0.999998128341014
Pyrimidine catabolism	2	18	0.482878214799862	0.999998128341014
Pyruvate metabolism	2	21	0.567250810657858	0.999998128341014
Sink	2	18	0.482878214799862	0.999998128341014
Transport, lysosomal	2	54	0.959043419685846	0.999998128341014
Bile acid synthesis	3	36	0.630634957554598	0.999998128341014
Chondroitin synthesis	3	39	0.684812732930803	0.999998128341014
Glycerophospholipid metabolism	3	56	0.885033285881909	0.999998128341014
Sphingolipid metabolism	3	57	0.892161147423212	0.999998128341014
Transport, nuclear	3	47	0.799829665120686	0.999998128341014
Transport, peroxisomal	3	84	0.983240865597885	0.999998128341014
Tyrosine metabolism	3	40	0.701498941130124	0.999998128341014
Peptide metabolism	5	242	0.999998128341014	0.999998128341014
Transport, endoplasmic reticular	6	113	0.943650148760925	0.999998128341014
Nucleotide interconversion	10	131	0.736645375452834	0.999998128341014
Fatty acid synthesis	11	188	0.953063849731107	0.999998128341014
Transport, mitochondrial	11	240	0.996580854956679	0.999998128341014
Exchange/demand reaction	52	980	0.999998009533662	0.999998128341014
Leukotriene metabolism	1	5	0.371426174278428	0.919721955356108
Thiamine metabolism	1	3	0.243105196888912	0.66130688175648
Glutamate metabolism	2	11	0.254348800675569	0.66130688175648
Pentose phosphate pathway	4	28	0.232876750897398	0.66130688175648
Inositol phosphate metabolism	6	45	0.204909206325681	0.626781101702084
Arginine and proline metabolism	4	22	0.124758630974903	0.405465550668435
Ubiquinone synthesis	1	1	0.0886488340192045	0.307315957933242
Exchange	4	19	0.0812804145880892	0.30189868275576
Oxidative phosphorylation	2	5	0.0654831617590786	0.267061108095711
Vitamin B2 metabolism	2	4	0.0417080722319725	0.267061108095711
CoA synthesis	3	11	0.0667652770239278	0.267061108095711
Propanoate metabolism	3	10	0.0518715751871539	0.267061108095711
Fructose and mannose metabolism	4	17	0.0573630128458068	0.267061108095711
Lysine metabolism	4	16	0.0470472337893598	0.267061108095711
Chondroitin sulfate degradation	5	21	0.0331328819783599	0.267061108095711
Eicosanoid metabolism	9	50	0.0295685124390623	0.267061108095711
Fatty acid oxidation	84	803	0.0519927765446819	0.267061108095711
Miscellaneous	19	102	0.00135191945484856	0.0175749529130313
Vitamin A metabolism	7	18	0.000552058097280743	0.00956900701953288
Drug metabolism	27	79	2.52353511746609e-10	6.56119130541184e-09
Transport, extracellular	182	1327	9.8086134897517e-12	5.10047901467089e-10
