del_rxnID_KO	prctile_CP	prctile_PC	prctile_CB	prctile_BC	prctile_CBR	prctile_BRC	prctile_CBNR	prctile_BNRC	subSystem_CP	subSystem_PC	subSystem_CB	subSystem_BC	subSystem_CBR	subSystem_BRC	subSystem_CBNR	subSystem_BNRC	MetabolicUnits_CP	MetabolicUnits_PC	MetabolicUnits_CB	MetabolicUnits_BC	MetabolicUnits_CBR	MetabolicUnits_BRC	MetabolicUnits_CBNR	MetabolicUnits_BNRC	Localization_CP	Localization_PC	Localization_CB	Localization_BC	Localization_CBR	Localization_BRC	Localization_CBNR	Localization_BNRC
r0671	65.4384672070744	38.7604623355919	52.5239498894621	61.7372577171572	55.6560250968813	62.0194960456134	59.4101382488479	82.8041842539916	CoA synthesis	CoA synthesis	CoA synthesis	CoA synthesis	CoA synthesis	CoA synthesis	CoA synthesis	CoA synthesis	NA	NA	NA	NA	NA	NA	NA	NA	[c]	[c]	[c]	[c]	[c]	[c]	[c]	[c]
CYSTS	64.0198968312454	36.2495017935432	84.3957258658806	58.9195979899497	45.5619117918435	35.6814419716756	96.9769585253456	86.309414571481	Methionine and cysteine metabolism	Methionine and cysteine metabolism	Methionine and cysteine metabolism	Methionine and cysteine metabolism	Methionine and cysteine metabolism	Methionine and cysteine metabolism	Methionine and cysteine metabolism	Methionine and cysteine metabolism	cysteine metabolism	cysteine metabolism	cysteine metabolism	cysteine metabolism	cysteine metabolism	cysteine metabolism	cysteine metabolism	cysteine metabolism	[c]	[c]	[c]	[c]	[c]	[c]	[c]	[c]
LHCYSTIN	63.9646278555637	64.6273415703468	52.0817980840088	60.2476669059584	63.4803469274774	59.2974066580835	82.9861751152074	63.3510735914847	Methionine and cysteine metabolism	Methionine and cysteine metabolism	Methionine and cysteine metabolism	Methionine and cysteine metabolism	Methionine and cysteine metabolism	Methionine and cysteine metabolism	Methionine and cysteine metabolism	Methionine and cysteine metabolism	NA	NA	NA	NA	NA	NA	NA	NA	[c]	[c]	[c]	[c]	[c]	[c]	[c]	[c]
PMI12346PHn	60.3537214443626	65.5440414507772	55.5084745762712	66.7085427135678	63.406532570585	60.8423763104653	90.9308755760369	86.7682143512571	Inositol phosphate metabolism	Inositol phosphate metabolism	Inositol phosphate metabolism	Inositol phosphate metabolism	Inositol phosphate metabolism	Inositol phosphate metabolism	Inositol phosphate metabolism	Inositol phosphate metabolism	NA	NA	NA	NA	NA	NA	NA	NA	[n]	[n]	[n]	[n]	[n]	[n]	[n]	[n]
MI1345PKc	59.9484156226971	42.2279792746114	54.7162859248342	40.6137832017229	57.8335486252076	45.3926797866471	38.9308755760369	98.1831528720866	Inositol phosphate metabolism	Inositol phosphate metabolism	Inositol phosphate metabolism	Inositol phosphate metabolism	Inositol phosphate metabolism	Inositol phosphate metabolism	Inositol phosphate metabolism	Inositol phosphate metabolism	NA	NA	NA	NA	NA	NA	NA	NA	[c]	[c]	[c]	[c]	[c]	[c]	[c]	[c]
MI13456PK	59.9484156226971	42.2279792746114	54.7162859248342	40.6137832017229	57.8335486252076	45.3926797866471	38.9308755760369	98.1831528720866	Inositol phosphate metabolism	Inositol phosphate metabolism	Inositol phosphate metabolism	Inositol phosphate metabolism	Inositol phosphate metabolism	Inositol phosphate metabolism	Inositol phosphate metabolism	Inositol phosphate metabolism	NA	NA	NA	NA	NA	NA	NA	NA	[c]	[c]	[c]	[c]	[c]	[c]	[c]	[c]
APRTO2	58.9719970523213	59.7249900358709	52.7450257921886	61.5039483129935	59.2913821738328	70.9766415302557	97.4009216589862	57.7170122958341	Arginine and proline metabolism	Arginine and proline metabolism	Arginine and proline metabolism	Arginine and proline metabolism	Arginine and proline metabolism	Arginine and proline metabolism	Arginine and proline metabolism	Arginine and proline metabolism	NA	NA	NA	NA	NA	NA	NA	NA	[c]	[c]	[c]	[c]	[c]	[c]	[c]	[c]
NABTNO	58.9719970523213	59.7249900358709	52.7450257921886	61.5039483129935	59.2913821738328	70.9766415302557	97.4009216589862	57.7170122958341	Arginine and proline metabolism	Arginine and proline metabolism	Arginine and proline metabolism	Arginine and proline metabolism	Arginine and proline metabolism	Arginine and proline metabolism	Arginine and proline metabolism	Arginine and proline metabolism	NA	NA	NA	NA	NA	NA	NA	NA	[c]	[c]	[c]	[c]	[c]	[c]	[c]	[c]
PTRCAT1	58.9719970523213	59.7249900358709	52.7450257921886	61.5039483129935	59.2913821738328	70.9766415302557	97.4009216589862	57.7170122958341	Arginine and proline metabolism	Arginine and proline metabolism	Arginine and proline metabolism	Arginine and proline metabolism	Arginine and proline metabolism	Arginine and proline metabolism	Arginine and proline metabolism	Arginine and proline metabolism	NA	NA	NA	NA	NA	NA	NA	NA	[c]	[c]	[c]	[c]	[c]	[c]	[c]	[c]
HISMETGLNr	58.1429624170965	64.8664806695895	47.0707442888725	58.1119885139986	49.0127329765639	52.0875482803016	55.4101382488479	85.3918150119288	Peptide metabolism	Peptide metabolism	Peptide metabolism	Peptide metabolism	Peptide metabolism	Peptide metabolism	Peptide metabolism	Peptide metabolism	NA	NA	NA	NA	NA	NA	NA	NA	[c]	[c]	[c]	[c]	[c]	[c]	[c]	[c]
