name	Ctrl_vs_HT_Unchanged	Ctrl_vs_Primary_Unchanged	Ctrl_vs_ST
12PPDRte	0	1	1
13_CIS_RETNte	0	1	1
13DAMPPOX	0	0	1
13DAMPPte	0	0	1
15KPROSTGF2t	0	0	1
2HBO	1	0	1
2OBUTt	1	0	1
34DHPLACOX_NADP_	1	0	1
3SALATAi	1	1	1
3SALATAim	1	1	1
3SPYRSP	1	1	1
3SPYRSPm	1	1	1
4HOXPACDOX_NADP_	0	0	1
56DTHMtd	0	1	1
5AOPt	1	1	1
5AOPtm	1	1	1
5HOXINDOAtr	0	0	1
5HOXINOXDA	0	0	1
5MTAte	0	0	1
ABUTD	0	0	1
ACACT10m	0	1	1
ACACT1rm	0	0	1
ACACT1x	1	0	1
ACACT4p	0	1	1
ACALDt	1	0	1
ACALDtm	1	0	1
ACETONEt2	1	0	1
ACETONEt2m	1	0	1
ADEt	0	0	1
ADNtm	0	0	1
AGPAT1	0	0	1
AICART	0	0	1
ALCD21_L	0	1	1
ALDD2x	1	0	1
ALDD2xm	1	0	1
ALDD2y	1	0	1
ALR2	0	1	1
ALR3	0	1	1
AMETAMte	0	0	1
APAT2rm	0	0	1
ARACHDCOAtx	0	0	1
ASAH1	1	0	1
ASNCYSCYSr	1	1	1
ASNCYSCYSt	1	1	1
ASPt6	0	1	1
BALAtmr	0	0	1
BAMPPALDOX	0	0	1
BGAL1e	1	1	1
BHMT	0	1	1
BILGLCURtr	1	0	1
BILIRUBtr	1	0	1
BTNt2	1	0	1
C02356t	1	0	1
C02712te	0	0	1
C06314t	1	1	1
C06315t	1	1	1
C12DCACT	0	1	1
C160CPT2	1	0	1
C161CPT1	1	0	1
C204CPT1	0	0	1
C40CPT1	1	0	1
C80CPT1	0	0	1
CE1617te	0	1	1
CE2510ABCt	1	1	1
CE4890te	1	1	1
CERT1gt	1	0	1
CERT1rt	1	1	1
CHLPCTD	0	1	1
CLPNDCPT1	0	0	1
CLPNDCPT2	0	0	1
CO2ter	0	0	1
CRVNCtr	1	1	1
CYSCYSr	1	1	1
CYSCYSt	1	1	1
CYSO	1	1	1
CYSTA	1	1	1
D_LACtm	0	1	1
DAG_HStg	1	0	1
DAGt	0	1	1
DCIm	0	0	1
DGK1	1	0	1
DGK2m	0	0	1
DGNSKm	0	0	1
DGSNtm	0	0	1
DHCHOLESTANATEt	1	0	1
DHFtm	0	0	1
DHPR	0	0	1
DM_dttp_m_	1	0	1
DM_Lcystin	1	1	1
DM_tym[c]	0	0	1
DTMPK	0	0	1
DURAD2	1	1	1
DURIt	0	0	1
ECOAH9m	0	0	1
EIC21114TRc	0	0	1
EIC21114TRte	0	0	1
ETHAMPtr	0	1	1
ETHAt	0	1	1
EX_12ppd_R[e]	0	1	1
EX_13_cis_retn[e]	0	1	1
EX_13dampp[e]	0	0	1
EX_15kprostgf2[e]	0	0	1
EX_2hb[e]	1	0	1
EX_2obut[e]	1	0	1
EX_4abutn[e]	0	0	1
EX_4hphac[e]	0	0	1
EX_56dthm[e]	0	1	1
EX_5aop[e]	1	1	1
EX_5hoxindoa[e]	0	0	1
EX_5mta[e]	0	0	1
EX_5mthf[e]	0	0	1
