name	Ctrl_vs_HT_Unchanged	Ctrl_vs_Primary_Unchanged	Ctrl_vs_ST
12PPDRte	1	0	1
15KPROSTGF2t	1	0	1
1MNCAMt	0	0	1
2OXOADPTm	0	1	1
34DHPHAMT	0	0	1
34DHPHAte	0	0	1
34DHXMANDACOX_NADP_	0	1	1
3MOX4HOXPGALDOX	0	0	1
4HPROLTASCT1	1	0	1
5AOPtm	1	0	1
AATAi	0	1	1
ABUTD	0	0	1
ACACT1rm	0	1	1
ACACT1x	0	1	1
ACACT4p	0	0	1
ACACT5p	0	0	1
ACACT6p	0	0	1
ACACT7p	0	0	1
ACALDt	0	0	1
ACER12r	0	0	1
ACGAM2E	0	0	1
ACGAM6PSi	0	0	1
ACGAMPM	0	0	1
ACGPID	1	0	1
ACNAMlt	1	0	1
ACNAMtr	0	0	1
ACNMLr	0	0	1
ACOAO7p	0	0	1
ACRNte	1	0	1
ADKd	0	0	1
AG13T16g	1	0	1
AG13T17g	1	0	1
AG13T18g	1	0	1
AG13T1g	1	0	1
AG13T2g	1	0	1
AG13T3g	1	0	1
AGPAT1	0	0	1
ALCD21_L	1	0	1
ALDD2x	0	0	1
ALDD2y	0	0	1
ALR2	1	0	1
ALR3	1	0	1
ARACHDCOAtx	0	0	1
ASPGLUPROr	1	1	1
ASPGLUPROt	1	1	1
BGAL1e	1	0	1
BILGLCURtr	1	0	1
BILIRUBtr	1	1	1
BMTer_U	1	0	1
BPNT	1	0	1
C101CPT1	1	0	1
C102CPT1	1	0	1
C12DCACT	1	1	1
C142CPT1	1	0	1
C160CPT2	0	1	1
C161CPT12	1	0	1
C204CPT1	0	0	1
C204CPT2	0	0	1
C30CPT1	1	0	1
C4DCCACT	1	1	1
C80CPT1	0	0	1
CE1261t	1	1	1
CE5026t	1	1	1
CERT1gt	1	0	1
CERT2gt	0	0	1
CERT2rt	1	0	1
CHLPCTD	0	0	1
CHOLPtr	0	0	1
CLOXAtex2	0	0	1
CLPNDCPT1	0	1	1
CLPNDCPT2	0	1	1
CMPACNAtg	1	0	1
CORE2GTg	1	0	1
CORE3GTg	1	0	1
CORE4GTg	1	0	1
CRMte	1	0	1
D_LACtm	1	0	1
DAG_HSter	1	0	1
DAG_HStg	1	0	1
DAGKn_hs	0	0	1
DASCBR	1	0	1
DCMPDA	0	0	1
DESAT18_10	0	0	1
DESAT20_1	0	0	1
DGK2m	0	0	1
DHAAt1r	1	0	1
