rxnList	subSystem	GPR	Fluxspan_a	Fluxspan_b	FluxSpanRatio	Flux	MetabolicUnits	Localization	RxnFormula
3SALATAi	Methionine and cysteine metabolism	2805.1	20	35	0.571428571428571	H	cysteine metabolism	[c]	h[c] + akg[c] + 3sala[c]  -> glu_L[c] + 3snpyr[c] 
3SALATAim	Methionine and cysteine metabolism	2806.1	20	35	0.571428571428571	H	NA	[m]	h[m] + akg[m] + 3sala[m]  -> glu_L[m] + 3snpyr[m] 
3SPYRSP	Methionine and cysteine metabolism		20	35	0.571428571428571	H	cysteine metabolism	[c]	h2o[c] + 3snpyr[c]  -> h[c] + pyr[c] + so3[c] 
3SPYRSPm	Methionine and cysteine metabolism		20	35	0.571428571428571	H	NA	[m]	h2o[m] + 3snpyr[m]  -> h[m] + pyr[m] + so3[m] 
CYSTA	Methionine and cysteine metabolism	2805.1	20	37.5	0.533333333333333	H	NA	[c]	akg[c] + cys_L[c]  <=> glu_L[c] + mercppyr[c] 
GCALDDm	Glyoxylate and dicarboxylate metabolism	4329.1 or 7915.1 or 8659.1 or 5832.1 or 217.1 or 7915.2 or 219.1 or 8659.2	310.72403887774	113.076923076923	2.74789966354464	L	NA	[m]	h2o[m] + nad[m] + gcald[m]  -> 2 h[m] + nadh[m] + glyclt[m] 
HPYRDCm	Glyoxylate and dicarboxylate metabolism		310.72403887774	113.076923076923	2.74789966354464	L	NA	[m]	h[m] + hpyr[m]  -> co2[m] + gcald[m] 
HPYRR2x	Glyoxylate and dicarboxylate metabolism	3948.1 or 197257.1 or 3945.1 or 160287.1 or (3945.1 and 3939.1) or 92483.1 or 3939.1 or 197257.2 or 3948.2	184.061477721376	55.3571428571429	3.32498153303131	L	NA	[c]	3 h[c] + nadh[c] + 2 hpyr[c]  -> nad[c] + 2 glyc_S[c] 
LCYSTAT	Methionine and cysteine metabolism	2805.1	0	23.3333333333334	0	H	NA	[c]	Lcyst[c] + akg[c]  <=> glu_L[c] + 3spyr[c] 
MCLACCYSR	Methionine and cysteine metabolism		10	20	0.5	H	NA	[c]	nad[c] + cys_L[c] + mercplac[c]  -> h[c] + nadh[c] + mercplaccys[c] 
MCLOR	Methionine and cysteine metabolism	92483.1 or (3945.1 and 3939.1) or 55293.1 or 3948.2 or 3948.1 or 3945.1 or 160287.1 or 3939.1	10	20	0.5	H	NA	[c]	nad[c] + mercplac[c]  <=> h[c] + nadh[c] + mercppyr[c] 
SFCYSc	Methionine and cysteine metabolism		10	20	0.5	H	NA	[c]	h[c] + so3[c] + cys_L[c]  <=> slfcys[c] 
SLDt	Methionine and cysteine metabolism		0	23.3333333333333	0	H	NA	intercompartmental	sl_L[c]  -> sl_L[e] 
SLDx	Methionine and cysteine metabolism	4190.1 or 130752.1	0	23.3333333333334	0	H	NA	[c]	nad[c] + sl_L[c]  <=> h[c] + nadh[c] + 3spyr[c] 
r0193	Methionine and cysteine metabolism	1491.1	790.609137055838	165.714285714286	4.77091720637144	L	NA	[c]	h2o[c] + cys_L[c]  <=> nh4[c] + h[c] + pyr[c] + HC00250[c] 
r0210	Methionine and cysteine metabolism	875.1 or 102724560.1	753.942470389171	110.714285714286	6.8098029583538	L	NA	[c]	h[c] + ser_L[c] + HC00250[c]  -> h2o[c] + cys_L[c] 
r0595	Methionine and cysteine metabolism	4357.1 or 7263.1	20	35	0.571428571428571	H	NA	[c]	h[c] + so3[c] + mercppyr[c]  -> pyr[c] + HC01501[c] 
