rxnList	subSystem	GPR	Fluxspan_a	Fluxspan_b	FluxSpanRatio	Flux	MetabolicUnits	Localization	RxnFormula
C12DCACT	Fatty acid oxidation		0	394.166666666667	0	H	fatty acid activation, cytosol	[c]	atp[c] + coa[c] + dodecanac[c]  -> amp[c] + ppi[c] + c12dccoa[c] 
C4DCCACT	Fatty acid oxidation	788.1	0	775	0	H	NA	intercompartmental	c4dc[x]  <=> c4dc[c] 
FACOAL1821	Fatty acid oxidation	2180.1 or 2182.1 or 81616.1 or 2181.1	394.166666666667	10	39.4166666666667	L	fatty acid activation, cytosol	[c]	atp[c] + coa[c] + lnlc[c]  -> amp[c] + ppi[c] + lnlccoa[c] 
FACOAL1831	Fatty acid oxidation	2180.1 or 2182.1 or 2181.1 or 81616.1 or 23305.1 or 51703.1	0	394.166666666667	0	H	fatty acid activation, cytosol	[c]	atp[c] + coa[c] + lnlncg[c]  -> amp[c] + ppi[c] + lnlncgcoa[c] 
FACOAL204	Fatty acid oxidation	2181.2 or 2181.1 or 2180.1 or 2182.1 or 2182.2 or 81616.1	10	394.166666666667	0.025369978858351	H	fatty acid activation, cytosol	[c]	atp[c] + coa[c] + arachd[c]  -> amp[c] + ppi[c] + arachdcoa[c] 
FAOXC10C10OHm	Fatty acid oxidation	34.1 and 1892.1	504.455223880597	635.833333333333	0.793376498894779	H	betaoxidation	[m]	h2o[m] + fad[m] + dcacoa[m]  -> fadh2[m] + 3hdcoa[m] 
FAOXC12C12OHm	Fatty acid oxidation	34.1 and 1892.1	504.455223880597	635.833333333333	0.79337649889478	H	betaoxidation	[m]	h2o[m] + fad[m] + ddcacoa[m]  -> fadh2[m] + 3hddcoa[m] 
FAOXC12DCTc	Fatty acid oxidation	788.1	0	394.166666666667	0	H	NA	intercompartmental	c12dc[x]  <=> c12dc[c] 
FAOXC12DCc	Fatty acid oxidation	1374.1 or 1375.1 or 126129.1	0	394.166666666667	0	H	carnitine shuttle	[c]	crn[c] + c12dccoa[c]  <=> coa[c] + c12dc[c] 
FAOXC12DCx	Fatty acid oxidation	54677.1	0	394.166666666667	0	H	carnitine shuttle	[x]	crn[x] + c12dccoa[x]  <=> coa[x] + c12dc[x] 
FAOXC162C142m	Fatty acid oxidation	37.1 and 3030.1 and 3032.1	40	20	2	L	betaoxidation	[m]	h2o[m] + nad[m] + coa[m] + fad[m] + hexddcoa[m]  -> h[m] + nadh[m] + accoa[m] + fadh2[m] + tetdecdicoa[m] 
FAOXC164C143m	Fatty acid oxidation	3030.1 and 3032.1	30	10	3	L	betaoxidation	[m]	h2o[m] + nad[m] + coa[m] + 2hexdtetcoa[m]  -> h[m] + nadh[m] + accoa[m] + 5tedtricoa[m] 
FAOXC164C165m	Fatty acid oxidation	37.1	30	10	3	L	betaoxidation	[m]	fad[m] + 4hexdtetcoa[m]  -> fadh2[m] + hexdpencoa[m] 
FAOXC164m	Fatty acid oxidation	1632.1	30	10	3	L	betaoxidation	[m]	3hexdtetcoa[m]  -> 2hexdtetcoa[m] 
FAOXC165C164m	Fatty acid oxidation	1666.1	30	10	3	L	betaoxidation	[m]	h[m] + nadph[m] + hexdpencoa[m]  -> nadp[m] + 3hexdtetcoa[m] 
FAOXC182806m	Fatty acid oxidation	34.1 or 35.1	40	20	2	L	betaoxidation	[m]	5 h2o[m] + 5 nad[m] + 5 coa[m] + 3 fad[m] + lnlccoa[m]  -> 5 h[m] + 5 nadh[m] + 5 accoa[m] + 3 fadh2[m] + occoa[m] 
FAOXC182C162m	Fatty acid oxidation	37.1 and 3030.1 and 3032.1	40	20	2	L	betaoxidation	[m]	h2o[m] + nad[m] + coa[m] + fad[m] + lnlccoa[m]  -> h[m] + nadh[m] + accoa[m] + fadh2[m] + hexddcoa[m] 
FAOXC18480m	Fatty acid oxidation	34.1 or 35.1	30	10	3	L	betaoxidation	[m]	5 h2o[m] + 5 nad[m] + 5 coa[m] + fad[m] + strdnccoa[m]  -> 5 h[m] + 5 nadh[m] + 5 accoa[m] + fadh2[m] + occoa[m] 
FAOXC184C164m	Fatty acid oxidation	37.1 and 3030.1 and 3032.1	30	10	3	L	betaoxidation	[m]	h2o[m] + nad[m] + coa[m] + fad[m] + strdnccoa[m]  -> h[m] + nadh[m] + accoa[m] + fadh2[m] + 4hexdtetcoa[m] 
FAOXC4C4DCc	Fatty acid oxidation	1374.1 or 1375.1 or 126129.1	0	775	0	H	carnitine shuttle	[c]	crn[c] + succoa[c]  <=> coa[c] + c4dc[c] 
HMR_3115	Fatty acid oxidation	37.1 or 33.1 or 34.1 or 28976.1	504.455223880597	635.833333333333	0.793376498894778	H	NA	[m]	fad[m] + stcoa[m]  -> fadh2[m] + od2coa[m] 
HMR_3121	Fatty acid oxidation	37.1 or 33.1 or 34.1 or 28976.1	504.455223880596	635.833333333333	0.793376498894778	H	NA	[m]	fad[m] + pmtcoa[m]  -> fadh2[m] + hdd2coa[m] 
HMR_3128	Fatty acid oxidation	37.1 or 33.1 or 34.1 or 28976.1	504.455223880597	635.833333333333	0.793376498894779	H	NA	[m]	fad[m] + tdcoa[m]  -> fadh2[m] + HC01412[m] 
HMR_3135	Fatty acid oxidation	37.1 or 33.1 or 34.1 or 28976.1	504.455223880597	635.833333333333	0.793376498894779	H	NA	[m]	fad[m] + ddcacoa[m]  -> fadh2[m] + dd2coa[m] 
HMR_3142	Fatty acid oxidation	34.1 or 28976.1	504.455223880597	635.833333333333	0.793376498894779	H	NA	[m]	fad[m] + dcacoa[m]  -> fadh2[m] + dc2coa[m] 
HMR_3149	Fatty acid oxidation	34.1 or 28976.1	504.455223880597	635.833333333333	0.793376498894779	H	NA	[m]	fad[m] + occoa[m]  -> fadh2[m] + HC01415[m] 
HMR_9719	Fatty acid oxidation	30.1 or 3028.1 or 37.1 or 3030.1 or 33.1 or 34.1 or 1892.1 or 3032.1 or 3033.1 or 10449.1 or 28976.1	30	10	3	L	NA	[m]	8 h2o[m] + 8 nad[m] + 8 coa[m] + 4 fad[m] + strdnccoa[m]  -> 8 h[m] + 8 nadh[m] + 9 accoa[m] + 4 fadh2[m] 
LNLCCPT2	Fatty acid oxidation	1376.1	40	20	2	L	carnitine shuttle	[m]	coa[m] + lnlccrn[m]  <=> crn[m] + lnlccoa[m] 
LNLNCGCPT1	Fatty acid oxidation	1375.1 or 1375.3 or 1375.4 or 126129.1 or 1374.1 or 1375.2	2000	40	50	L	carnitine shuttle	[c]	crn[c] + lnlncgcoa[c]  <=> coa[c] + lnlncgcrn[c] 
RE0512M	Fatty acid oxidation	3030.1 or 3295.1 or 1962.1 or 3033.1 or 3028.1 or 3032.1	40	20	2	L	betaoxidation	[m]	nad[m] + CE2421[m]  -> h[m] + nadh[m] + CE0713[m] 
RE1516M	Fatty acid oxidation	33.1 or 51.1	40	20	2	L	betaoxidation	[m]	fad[m] + lnlccoa[m]  <=> fadh2[m] + CE2434[m] 
RE1517M	Fatty acid oxidation	33.1 or 51.1	40	20	2	L	betaoxidation	[m]	fad[m] + CE0849[m]  <=> fadh2[m] + CE2433[m] 
RE1523M	Fatty acid oxidation	1892.1 or 3030.1 or 1962.1 or 3032.1	40	20	2	L	betaoxidation	[m]	h2o[m] + CE2434[m]  <=> CE2421[m] 
RE1531M	Fatty acid oxidation	10449.1 or 3032.1 or 3030.1	40	20	2	L	betaoxidation	[m]	coa[m] + CE0713[m]  <=> accoa[m] + CE0849[m] 
SUCCCROT	Fatty acid oxidation	54677.1	0	775	0	H	carnitine shuttle	[x]	crn[x] + succoa[x]  <=> coa[x] + c4dc[x] 
