del_rxnID_KO	mta_score	alt_score	subSystem	GPR	MetabolicUnits	Localization	RxnFormula
10FTHF6GLUtm	0.00850811949189739	0.00446605585267518	Transport, mitochondrial		NA	intercompartmental	
10FTHF7GLUtl	0.00850811949189739	0.00446605585267518	Transport, lysosomal		NA	intercompartmental	
10FTHFtl	0.00850811949189739	0.00446605585267518	Transport, lysosomal		NA	intercompartmental	
10FTHFtm	0.00049580458935161	-0.353069517710854	Transport, mitochondrial		NA	intercompartmental	
13DAMPPOX	0.0420134269565374	0.00705132054389353	Beta-Alanine metabolism	8639.1 or 26.1 or 314.2 or 314.1	NA	[c]	
2AMACHYD	0.0552252252895933	0.00715002691874466	Glycine, serine, alanine, and threonine metabolism	10993.1	glycine metabolism	[c]	
2HBO	0.0552252331569806	0.00715002696145565	Propanoate metabolism	92483.1 or 3948.2 or 55293.1 or (3945.1 and 3939.1) or 3939.1 or 160287.1 or 3945.1 or 3948.1	NA	[c]	
2HBt2	4.97582964902893e-05	-0.0567781098702425	Transport, extracellular	9123.1 or 9194.1 or 6566.1	NA	intercompartmental	
2HCO3_NAt	0.0009458191690321	-0.351733799233402	Transport, extracellular	57835.3 or 8671.1 or 57835.2 or 57835.1 or 57835.4	NA	intercompartmental	
2OXOADOXm	0.0317542375216947	0.00697994815310958	Lysine metabolism	(4967.2 and 1738.1 and 8050.1 and 1743.1) or (4967.1 and 1738.1 and 8050.1 and 1743.1)	lysine metabolism	[m]	
2OXOADPTm	0.00581955043129345	0.00457498343714108	Tryptophan metabolism	89874.1	NA	intercompartmental	
34DHOXPEGOX	0.0552252331804447	0.00715002696162426	Tyrosine metabolism	130.1 or 127.1 or (125.1 and 124.1) or 131.1 or (126.1 and 124.1) or 128.1 or 137872.1 or (125.1 and 126.1)	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]	
34DHOXPEGt	0.0552252331804447	0.00715002696162426	Transport, extracellular		tyrosine metabolism, cytosol/ degradation of catechoamines	intercompartmental	
34DHPHAMT	0.0402905730682049	0.00699376836162204	Tyrosine metabolism	1312.1 or 1312.2	NA	[c]	
34DHPHEt	0.0552251766570843	0.00715002655028771	Transport, extracellular	117247.1	NA	intercompartmental	
