del_rxnID_KO	mta_score	alt_score	subSystem	GPR	MetabolicUnits	Localization	RxnFormula
10FTHF6GLUtm	365.229418600302	71.0250391755141	Transport, mitochondrial		NA	intercompartmental	
10FTHF7GLUtl	365.229418600302	71.0250391755141	Transport, lysosomal		NA	intercompartmental	
10FTHFtl	365.229418600302	71.0250391755141	Transport, lysosomal		NA	intercompartmental	
10FTHFtm	2.79450009177009	92.6622679770802	Transport, mitochondrial		NA	intercompartmental	
13DAMPPOX	1464.68796758634	113.774823496117	Beta-Alanine metabolism	8639.1 or 26.1 or 314.2 or 314.1	NA	[c]	
2AMACHYD	646324591065.849	117.674281534733	Glycine, serine, alanine, and threonine metabolism	10993.1	glycine metabolism	[c]	
2HBO	641002382693.408	117.674281534733	Propanoate metabolism	92483.1 or 3948.2 or 55293.1 or (3945.1 and 3939.1) or 3939.1 or 160287.1 or 3945.1 or 3948.1	NA	[c]	
2HBt2	2.45610850159896	115.717913609033	Transport, extracellular	9123.1 or 9194.1 or 6566.1	NA	intercompartmental	
2HCO3_NAt	0.731366221499161	65.5091245064056	Transport, extracellular	57835.3 or 8671.1 or 57835.2 or 57835.1 or 57835.4	NA	intercompartmental	
2OXOADOXm	1949.90265549186	176.330804873873	Lysine metabolism	(4967.2 and 1738.1 and 8050.1 and 1743.1) or (4967.1 and 1738.1 and 8050.1 and 1743.1)	lysine metabolism	[m]	
2OXOADPTm	121.17245848728	117.668159931827	Tryptophan metabolism	89874.1	NA	intercompartmental	
34DHOXPEGOX	580652979267.661	107.688738119243	Tyrosine metabolism	130.1 or 127.1 or (125.1 and 124.1) or 131.1 or (126.1 and 124.1) or 128.1 or 137872.1 or (125.1 and 126.1)	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]	
34DHOXPEGt	580652979267.661	107.688738119243	Transport, extracellular		tyrosine metabolism, cytosol/ degradation of catechoamines	intercompartmental	
34DHPHAMT	6376.41714806922	117.673991156926	Tyrosine metabolism	1312.1 or 1312.2	NA	[c]	
34DHPHEt	649846422205.803	117.674281534733	Transport, extracellular	117247.1	NA	intercompartmental	
34DHPLACOX	1.08226231981612	80.189402245592	Tyrosine metabolism	218.1 or 222.1 or 220.1 or 221.1	NA	[c]	
34DHPLACOX_NADP_	1.09954584946237	80.2415891699312	Tyrosine metabolism	222.1 or 221.1 or 218.1	NA	[c]	
34DHXMANDACOX_NADP_	658859916786.22	117.674281534733	Tyrosine metabolism	221.1 or 222.1	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]	
34HPLFM	389.157538590253	91.1243956264521	Ubiquinone synthesis		NA	[m]	
3AIBTm	2107.07927430754	116.112915709754	Valine, leucine, and isoleucine metabolism	18.1 or 18.2	3-aminoisobutyrate transaminase, mitochondria	[m]	
3AIBtmi	2107.07927430754	116.112915709754	Transport, mitochondrial	18.1 or 18.2	NA	intercompartmental	
3DSPHR	50.7626455524843	116.09863614523	Sphingolipid metabolism	2531.1	new to recon	[c]	
3HBCDm	637432395541.804	117.674281534733	Butanoate metabolism	55268.1	lysine metabolism	[m]	
3HBCOAHLm	239.132890163453	131.476969370375	Valine, leucine, and isoleucine metabolism		valine metabolism	[m]	
3M4HDXPAC	828385068813.705	150.057128996375	Tyrosine metabolism	218.1 or 221.1 or 222.1 or 220.1	NA	[c]	
3MLDAt	1110.92751614063	72.7164480353506	Transport, extracellular		histidine metabolism, cytosol	intercompartmental	
3MOBt2im	2.37026152880982	150.317273606027	Transport, mitochondrial		NA	intercompartmental	
3MOX4HOXPGALDOX	0.739455484180212	81.1680767648701	Tyrosine metabolism	222.1 or 220.1 or 221.1 or 218.1	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]	
3MOX4HOXPGALDOX_NADP_	0.739455484180212	81.1680767648701	Tyrosine metabolism	222.1 or 220.1 or 221.1 or 218.1	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]	
3MOXTYROX	828385068813.705	150.057128996375	Tyrosine metabolism	4128.1 or 4129.1	NA	[c]	
3SALAASPm	5.53751327663831	51.5461929320884	Transport, mitochondrial	10165.1 or 8604.1	NA	intercompartmental	
3SALATAi	823.077268596448	96.5076091660486	Methionine and cysteine metabolism	2805.1	cysteine metabolism	[c]	
3SALATAim	18459.1189476638	165.29328023014	Methionine and cysteine metabolism	2806.1	NA	[m]	
3SPYRSP	823.077268596448	96.5076091660486	Methionine and cysteine metabolism		cysteine metabolism	[c]	
3SPYRSPm	18459.1189476638	165.29328023014	Methionine and cysteine metabolism		NA	[m]	
41R1H2MAE12BOOX	646324591065.849	117.674281534733	Tyrosine metabolism	4128.1 or 4129.1	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]	
41R2A1H12BOOX	611173507640.673	117.67428153473	Tyrosine metabolism	4128.1 or 4129.1	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]	
42A12BOOX	675773358776.758	126.098657735649	Tyrosine metabolism	4129.1 or 8639.1 or 26.1 or 314.2 or 314.1 or 4128.1	NA	[c]	
4ABUTtm	164.511058356514	229.513773361793	Transport, mitochondrial		NA	intercompartmental	
4HBZCOAFm	652641582852.907	117.674281534733	Ubiquinone synthesis		ubiquinone synthesis, mitochondria	[m]	
4HBZFm	652641582852.907	117.674281534733	Ubiquinone synthesis		ubiquinone synthesis, mitochondria	[m]	
4HGLSDm	2.77923369317617	147.665360415596	Arginine and proline metabolism	8659.1 or 8659.2	NA	[m]	
4HOXPACDOX_NADP_	2140.01144837641	116.112730528447	Tyrosine metabolism	222.1 or 220.1 or 221.1 or 218.1	NA	[c]	
4MOPt2im	3.98804292072801	153.785395610827	Transport, mitochondrial		NA	intercompartmental	
5ADTSTSTERONESte	646324591065.849	117.674281534733	Transport, extracellular		NA	intercompartmental	
5ADTSTSTERONEte	646324591065.849	117.674281534733	Transport, extracellular		NA	intercompartmental	
5AOPtm	12.1222689681251	92.0895674169087	Heme synthesis		NA	intercompartmental	
5HLTDL	491.617341436948	102.162904977407	Tryptophan metabolism	1644.1	tryptophan degradation, cytosol/ tryptophan decarboxylase	[c]	
5HOXINOXDA	795.393128178541	165.291359612336	Tryptophan metabolism	4128.1 or 4129.1	tryptophan degradation, cytosol/ tryptophan decarboxylase	[c]	
5MTHFt	3.2373556218124	102.559971373724	Transport, extracellular	2348.5 or 2348.3 or 2348.1 or 2348.6 or 2352.1 or 2348.4 or 2348.2	NA	intercompartmental	
5MTHFt2	0.999652292393151	71.2055767057577	Transport, extracellular	6573.1 or 6573.2	NA	intercompartmental	
5THFtl	197.885094749659	90.1105597211534	Transport, lysosomal		NA	intercompartmental	
5THFtm	197.885094749659	90.1105597211534	Transport, mitochondrial		NA	intercompartmental	
7DHCHSTEROLtr	227.648203110574	116.110886483705	Transport, endoplasmic reticular		NA	intercompartmental	
7DHFtl	338.79387971081	107.684592048068	Transport, lysosomal		NA	intercompartmental	
7DHFtm	338.79387971081	107.684592048068	Transport, mitochondrial		NA	intercompartmental	
7THFtl	218.433277796684	89.2498933914462	Transport, lysosomal		NA	intercompartmental	
7THFtm	141.493532696796	107.67928320074	Transport, mitochondrial		NA	intercompartmental	
A_MANASEly	640159473748.288	117.674281534733	N-glycan degradation	4125.1	NA	[l]	
A4GALTg	639928717238.719	116.113114320158	Sphingolipid metabolism	53947.1	NA	[g]	
AATAi	672.588625866653	113.773356012284	Lysine metabolism	51166.1 or 51166.2	NA	[c]	
ABO9g	213574645951.681	110.315292707512	Blood group synthesis	28.1	NA	[g]	
