del_rxnID_KO	mta_score	alt_score	subSystem	GPR	MetabolicUnits	Localization	RxnFormula
10FTHF5GLUtm	0.0188203519556136	0.00541449624804033	Transport, mitochondrial		NA	intercompartmental	
10FTHF7GLUtl	0.0188203519556136	0.00541449624804033	Transport, lysosomal		NA	intercompartmental	
10FTHFtl	0.0188203519556136	0.00541449624804033	Transport, lysosomal		NA	intercompartmental	
10FTHFtm	0.0117257035132806	3.52069720737763	Transport, mitochondrial		NA	intercompartmental	
13DAMPPOX	0.0745306198492365	0.00637345919285717	Beta-Alanine metabolism	8639.1 or 26.1 or 314.2 or 314.1	NA	[c]	
2HBO	0.00856497315191622	0.003953148054466	Propanoate metabolism	92483.1 or 3948.2 or 55293.1 or (3945.1 and 3939.1) or 3939.1 or 160287.1 or 3945.1 or 3948.1	NA	[c]	
2HBt2	1.23034588151333e-05	-0.350921478035244	Transport, extracellular	9123.1 or 9194.1 or 6566.1	NA	intercompartmental	
2HCO3_NAt	0.0366087343695413	1.24148458905442	Transport, extracellular	57835.3 or 8671.1 or 57835.2 or 57835.1 or 57835.4	NA	intercompartmental	
2OXOADOXm	0.0495180439478705	0.00805022774586459	Lysine metabolism	(4967.2 and 1738.1 and 8050.1 and 1743.1) or (4967.1 and 1738.1 and 8050.1 and 1743.1)	lysine metabolism	[m]	
2OXOADPTm	0.0319035370334392	0.0328178045000233	Tryptophan metabolism	89874.1	NA	intercompartmental	
34DHOXPEGOX	0.074530619885701	0.00637345919272952	Tyrosine metabolism	130.1 or 127.1 or (125.1 and 124.1) or 131.1 or (126.1 and 124.1) or 128.1 or 137872.1 or (125.1 and 126.1)	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]	
34DHOXPEGt	0.074530619885701	0.00637345919272952	Transport, extracellular		tyrosine metabolism, cytosol/ degradation of catechoamines	intercompartmental	
34DHPHAMT	0.0595436746369591	0.00628738107107807	Tyrosine metabolism	1312.1 or 1312.2	NA	[c]	
34DHPHEt	0.0745306198423083	0.00637345919283227	Transport, extracellular	117247.1	NA	intercompartmental	
34DHPLACOX_NADP_	0.0266056014585923	0.00568427155248281	Tyrosine metabolism	222.1 or 221.1 or 218.1	NA	[c]	
34DHXMANDACOX_NADP_	0.0745306197992887	0.00637345919273514	Tyrosine metabolism	221.1 or 222.1	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]	
