del_rxnID_KO	mta_score	alt_score	subSystem	GPR	MetabolicUnits	Localization	RxnFormula
10FTHF7GLUtl	-0.00076137772024544	-0.00706603039704924	Transport, lysosomal		NA	intercompartmental	
10FTHFtl	-0.00076137772024544	-0.00706603039704924	Transport, lysosomal		NA	intercompartmental	
10FTHFtm	-0.00153933438424513	-2.33984694546581	Transport, mitochondrial		NA	intercompartmental	
13DAMPPOX	0.131505664588275	0.0070481352000639	Beta-Alanine metabolism	8639.1 or 26.1 or 314.2 or 314.1	NA	[c]	
2AMADPTm	-0.000929785178410139	-0.23476912912788	Lysine metabolism	89874.1	NA	intercompartmental	
2HBO	0.131505664569994	0.00704813520006863	Propanoate metabolism	92483.1 or 3948.2 or 55293.1 or (3945.1 and 3939.1) or 3939.1 or 160287.1 or 3945.1 or 3948.1	NA	[c]	
2HCO3_NAt	0.00251117092158426	0.1762628239071	Transport, extracellular	57835.3 or 8671.1 or 57835.2 or 57835.1 or 57835.4	NA	intercompartmental	
2MCITt	0.000164287269654372	-0.00264267382623054	Transport, extracellular		NA	intercompartmental	
2OXOADOXm	0.13150566455559	0.00704813519990373	Lysine metabolism	(4967.2 and 1738.1 and 8050.1 and 1743.1) or (4967.1 and 1738.1 and 8050.1 and 1743.1)	lysine metabolism	[m]	
2OXOADPTm	-0.000929785178408593	-0.234769129127728	Tryptophan metabolism	89874.1	NA	intercompartmental	
34DHOXPEGOX	0.131505664582136	0.00704813520005866	Tyrosine metabolism	130.1 or 127.1 or (125.1 and 124.1) or 131.1 or (126.1 and 124.1) or 128.1 or 137872.1 or (125.1 and 126.1)	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]	
34DHOXPEGt	0.131505664582136	0.00704813520005866	Transport, extracellular		tyrosine metabolism, cytosol/ degradation of catechoamines	intercompartmental	
34DHPHAMT	0.000338560451706421	-0.00663740939995344	Tyrosine metabolism	1312.1 or 1312.2	NA	[c]	
34DHPHEt	0.131505664596297	0.00704813520005041	Transport, extracellular	117247.1	NA	intercompartmental	
34DHPLACOX_NADP_	0.000338560451706421	-0.00663740939995344	Tyrosine metabolism	222.1 or 221.1 or 218.1	NA	[c]	
34DHXMANDACOX_NADP_	0.131505664582136	0.00704813520005866	Tyrosine metabolism	221.1 or 222.1	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]	
34HPLFM	0.00698709629490626	0.00493891444774923	Ubiquinone synthesis		NA	[m]	
3AIBTm	0.00245926784761842	0.00103663428206709	Valine, leucine, and isoleucine metabolism	18.1 or 18.2	3-aminoisobutyrate transaminase, mitochondria	[m]	
3AIBtmi	0.00245926784761842	0.00103663428206709	Transport, mitochondrial	18.1 or 18.2	NA	intercompartmental	
3HBCDm	0.131505664590675	0.00704813520004561	Butanoate metabolism	55268.1	lysine metabolism	[m]	
3HBCOAHLm	0.13150566460451	0.0070481352001083	Valine, leucine, and isoleucine metabolism		valine metabolism	[m]	
3MOBt2im	-0.000470504517278768	-0.267988176062888	Transport, mitochondrial		NA	intercompartmental	
3MOX4HOXPGALDOX	0.00287840974083224	0.133682975891001	Tyrosine metabolism	222.1 or 220.1 or 221.1 or 218.1	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]	
3MOX4HOXPGALDOX_NADP_	0.00287840974083224	0.133682975891001	Tyrosine metabolism	222.1 or 220.1 or 221.1 or 218.1	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]	
4ABUTtm	0.00250939595199946	0.0145512243470385	Transport, mitochondrial		NA	intercompartmental	
4HOXPACDOX_NADP_	0.00285584808501581	0.0904964996364829	Tyrosine metabolism	222.1 or 220.1 or 221.1 or 218.1	NA	[c]	
5ADTSTSTERONESte	0.131505664581158	0.00704813520001713	Transport, extracellular		NA	intercompartmental	
5ADTSTSTERONEte	0.131505664581158	0.00704813520001713	Transport, extracellular		NA	intercompartmental	
5AOPtm	-0.00723711676331213	-0.261195622019963	Heme synthesis		NA	intercompartmental	
5MTHFt	-0.00128065158990464	-1.46336514727498	Transport, extracellular	2348.5 or 2348.3 or 2348.1 or 2348.6 or 2352.1 or 2348.4 or 2348.2	NA	intercompartmental	
5MTHFt2	-0.000947688778077695	-0.948614871035338	Transport, extracellular	6573.1 or 6573.2	NA	intercompartmental	
5THFtm	0.00335162723763641	0.00282237722301602	Transport, mitochondrial		NA	intercompartmental	
6DHFtm	0.00352214705275999	0.00320642331379084	Transport, mitochondrial		NA	intercompartmental	
7DHCHSTEROLtr	-0.000192895191223805	-0.0123453260326476	Transport, endoplasmic reticular		NA	intercompartmental	
7DHFtl	0.00352214705275999	0.00320642331379084	Transport, lysosomal		NA	intercompartmental	
7THFtl	0.00582462548756737	0.00461382251056304	Transport, lysosomal		NA	intercompartmental	
A_MANASEly	0.131505664581854	0.00704813520004824	N-glycan degradation	4125.1	NA	[l]	
A4GALTg	0.131505664587832	0.00704813520002283	Sphingolipid metabolism	53947.1	NA	[g]	
AACTtm	0.00210402116808147	0.000291314963047826	Transport, mitochondrial		NA	intercompartmental	
AATAi	-0.000929785178410139	-0.23476912912788	Lysine metabolism	51166.1 or 51166.2	NA	[c]	
ABTArm	0.00250939595199946	0.0145512243470385	Glutamate metabolism	18.1 or 18.2	GABA aminotransferase	[m]	
ABTD	0.131505664581158	0.00704813520001713	Pentose phosphate pathway		NA	[c]	
ABUTt2rL	0.00225536031900696	0.00534791200763837	Transport, lysosomal	206358.1	NA	intercompartmental	
ABUTt4_2_r	0.00176270418023619	-0.135271972177851	Transport, extracellular	6529.1 or 6538.1 or 6540.1 or 6539.1	NA	intercompartmental	
ACACT10m	0.000957490852376099	-0.0134850533030381	Valine, leucine, and isoleucine metabolism	38.1 or 3032.1 or 10449.1	isoleucine metabolism	[m]	
ACACT1rm	-0.0024004673511031	-0.336361446778262	Tryptophan metabolism	(3030.1 and 3032.1) or 38.1	NA	[m]	
ACACT1x	0.0123469396134894	0.766844125406622	Cholesterol metabolism	39.1	NA	[x]	
ACACt2m	0.000634487528312563	-0.0665630596006899	Transport, mitochondrial	6566.1	NA	intercompartmental	
ACACT4p	0.00589200381255733	0.00474909086726423	Fatty acid oxidation	30.1	betaoxidation	[x]	
ACACT5p	0.00743275149956213	0.00516513633419303	Fatty acid oxidation	30.1	betaoxidation	[x]	
ACACT6p	0.00743275221735138	0.00516513653873261	Fatty acid oxidation	30.1	betaoxidation	[x]	
ACACT7p	0.00743275221735138	0.00516513653873261	Fatty acid oxidation	30.1	betaoxidation	[x]	
